Frame,MonotonicTimeMs
0,138779656
1,138779692
2,138779733
3,138779773
4,138779791
5,138779808
6,138779854
7,138779858
8,138779889
9,138779897
10,138779908
11,138779924
12,138779946
13,138779975
14,138780000
15,138780014
16,138780033
17,138780044
18,138780066
19,138780080
20,138780097
21,138780114
22,138780133
23,138780150
24,138780167
25,138780192
26,138780225
27,138780235
28,138796074
29,138796120
30,138796127
31,138796139
32,138796172
33,138796177
34,138796219
35,138796276
36,138796307
37,138796363
38,138796420
39,138796439
40,138796451
41,138796459
42,138796475
43,138796490
44,138796508
45,138796528
46,138796546
47,138796562
48,138796580
49,138796596
50,138796613
51,138796624
52,138796642
53,138796659
54,138796675
55,138796692
56,138796707
57,138796721
58,138796731
59,138796756
60,138796775
61,138796790
62,138796803
63,138796826
64,138796852
65,138796880
66,138796896
67,138796910
68,138796922
69,138796942
70,138796949
71,138796959
72,138796973
73,138796991
74,138797008
75,138797025
76,138797043
77,138797060
78,138797076
79,138797091
80,138797107
81,138797123
82,138797139
83,138797155
84,138797178
85,138797194
86,138797217
87,138797243
88,138797264
89,138797286
90,138797320
91,138797340
92,138797357
93,138797373
94,138797387
95,138797404
96,138797422
97,138797439
98,138797456
99,138797473
100,138797490
101,138797507
102,138797525
103,138797547
104,138797560
105,138797576
106,138797592
107,138797609
108,138797626
109,138797641
110,138797656
111,138797677
112,138797688
113,138797709
114,138797723
115,138797743
116,138797758
117,138797781
118,138797805
119,138797834
120,138797858
121,138797877
122,138797891
123,138797906
124,138797924
125,138797940
126,138797957
127,138797974
128,138797990
129,138798008
130,138798025
131,138798041
132,138798058
133,138798075
134,138798091
135,138798106
136,138798125
137,138798136
138,138798152
139,138798172
140,138798186
141,138798202
142,138798226
143,138798242
144,138798257
145,138798277
146,138798305
147,138798314
148,138798338
149,138798346
150,138798372
151,138798388
152,138798413
153,138798421
154,138798434
155,138798457
156,138798470
157,138798487
158,138798504
159,138798521
160,138798539
161,138798555
162,138798573
163,138798590
164,138798606
165,138798623
166,138798639
167,138798654
168,138798670
169,138798688
170,138798702
171,138798729
172,138798736
173,138798753
174,138798772
175,138798784
176,138798799
177,138798832
178,138798846
179,138798858
180,138798880
181,138798897
182,138798912
183,138798927
184,138798943
185,138798958
186,138798975
187,138798990
188,138799006
189,138799023
190,138799040
191,138799057
192,138799073
193,138799089
194,138799106
195,138799122
196,138799139
197,138799156
198,138799172
199,138799186
200,138799205
201,138799241
202,138799262
203,138799270
204,138799305
205,138799319
206,138799344
207,138799375
208,138799383
209,138799390
210,138799411
211,138799423
212,138799440
213,138799457
214,138799474
215,138799491
216,138799507
217,138799524
218,138799539
219,138799556
220,138799574
221,138799591
222,138799608
223,138799623
224,138799640
225,138799658
226,138799672
227,138799691
228,138799710
229,138799723
230,138799742
231,138799757
232,138799781
233,138799796
234,138799826
235,138799849
236,138799872
237,138799887
238,138799900
239,138799908
240,138799925
241,138799944
242,138799958
243,138799974
244,138799991
245,138800007
246,138800024
247,138800042
248,138800059
249,138800075
250,138800093
251,138800108
252,138800125
253,138800144
254,138800159
255,138800177
256,138800190
257,138800208
258,138800230
259,138800254
260,138800284
261,138800312
262,138800333
263,138800371
264,138800382
265,138800396
266,138800412
267,138800425
268,138800442
269,138800458
270,138800478
271,138800493
272,138800508
273,138800525
274,138800542
275,138800559
276,138800576
277,138800593
278,138800610
279,138800630
280,138800644
281,138800666
282,138800676
283,138800693
284,138800725
285,138800741
286,138800759
287,138800781
288,138800789
289,138800800
290,138800824
291,138800838
292,138800852
293,138800872
294,138800886
295,138800904
296,138800921
297,138800937
298,138800953
299,138800970
300,138800985
301,138801001
302,138801017
303,138801034
304,138801050
305,138801066
306,138801081
307,138801096
308,138801116
309,138801130
310,138801148
311,138801163
312,138801180
313,138801204
314,138801218
315,138801229
316,138801255
317,138801266
318,138801287
319,138801299
320,138801316
321,138801338
322,138801355
323,138801375
324,138801386
325,138801403
326,138801418
327,138801435
328,138801453
329,138801470
330,138801487
331,138801501
332,138801517
333,138801533
334,138801550
335,138801565
336,138801582
337,138801599
338,138801617
339,138801633
340,138801651
341,138801665
342,138801684
343,138801713
344,138801727
345,138801740
346,138801754
347,138801773
348,138801795
349,138801813
350,138801831
351,138801845
352,138801862
353,138801887
354,138801906
355,138801920
356,138801936
357,138801954
358,138801971
359,138801987
360,138802005
361,138802022
362,138802040
363,138802055
364,138802072
365,138802088
366,138802104
367,138802125
368,138802140
369,138802155
370,138802168
371,138802185
372,138802203
373,138802216
374,138802238
375,138802258
376,138802270
377,138802301
378,138802329
379,138802357
380,138802376
381,138802404
382,138802423
383,138802442
384,138802455
385,138802475
386,138802488
387,138802505
388,138802522
389,138802538
390,138802555
391,138802572
392,138802588
393,138802605
394,138802623
395,138802640
396,138802656
397,138802672
398,138802688
399,138802705
400,138802733
401,138802757
402,138802773
403,138802795
404,138802805
405,138802823
406,138802847
407,138802860
408,138802871
409,138802887
410,138802905
411,138802923
412,138802939
413,138802957
414,138802973
415,138802989
416,138803006
417,138803023
418,138803039
419,138803057
420,138803074
421,138803090
422,138803106
423,138803123
424,138803140
425,138803156
426,138803173
427,138803189
428,138803206
429,138803223
430,138803245
431,138803258
432,138803274
433,138803294
434,138803325
435,138803356
436,138803375
437,138803395
438,138803413
439,138803424
440,138803446
441,138803461
442,138803474
443,138803490
444,138803507
445,138803524
446,138803540
447,138803558
448,138803574
449,138803593
450,138803609
451,138803625
452,138803641
453,138803658
454,138803686
455,138803697
456,138803715
457,138803733
458,138803745
459,138803768
460,138803799
461,138803811
462,138803826
463,138803846
464,138803876
465,138803893
466,138803913
467,138803926
468,138803941
469,138803961
470,138803975
471,138803992
472,138804009
473,138804025
474,138804041
475,138804057
476,138804077
477,138804091
478,138804113
479,138804125
480,138804141
481,138804162
482,138804175
483,138804194
484,138804207
485,138804226
486,138804249
487,138804285
488,138804318
489,138804336
490,138804347
491,138804378
492,138804407
493,138804418
494,138804434
495,138804447
496,138804460
497,138804476
498,138804493
499,138804510
500,138804525
501,138804542
502,138804559
503,138804575
504,138804594
505,138804609
506,138804628
507,138804649
508,138804659
509,138804675
510,138804700
511,138804711
512,138804727
513,138804752
514,138804773
515,138804794
516,138804831
517,138804848
518,138804866
519,138804877
520,138804884
