time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,66,63,55,44,41
1.0,72,70,69,48,44
1.5,83,73,74,51,47
2.0,78,79,80,53,49
2.5,80,82,80,55,51
3.0,80,79,81,57,52
3.5,81,82,80,57,53
4.0,76,78,80,59,54
4.5,75,77,77,57,55
5.0,73,76,73,57,55
5.5,66,78,78,57,55
6.0,80,77,75,57,55
6.5,65,78,75,57,55
7.0,72,78,78,57,55
7.5,63,76,75,57,55
8.0,73,79,77,58,55
8.5,84,80,75,58,55
9.0,63,79,75,58,55
9.5,72,78,76,58,56
10.0,66,77,75,58,56
10.5,70,77,78,58,56
11.0,76,72,71,58,56
11.5,65,74,71,58,56
12.0,73,72,71,58,56
12.5,62,73,72,58,56
13.0,67,73,69,58,56
13.5,65,72,71,58,56
14.0,63,72,71,58,56
14.5,69,71,70,58,56
15.0,63,73,71,58,56
15.5,69,71,70,58,56
16.0,72,74,70,58,56
16.5,67,72,72,59,56
17.0,65,74,72,58,56
17.5,69,72,71,58,56
18.0,75,71,69,58,56
18.5,66,70,69,58,56
19.0,73,72,70,58,56
19.5,72,69,67,58,56
20.0,68,70,68,58,56
20.5,75,69,69,59,56
21.0,65,71,69,58,56
21.5,74,72,71,59,56
22.0,73,73,72,61,57
22.5,73,72,70,61,57
23.0,73,73,71,62,58
23.5,76,72,70,62,58
24.0,73,71,68,62,59
24.5,72,72,71,62,59
25.0,72,72,68,62,58
25.5,69,72,70,62,58
26.0,72,68,70,62,59
26.5,73,70,72,62,59
27.0,69,76,70,63,59
27.5,76,73,70,62,59
28.0,77,69,71,64,59
28.5,76,73,71,63,59
29.0,72,73,70,63,59
29.5,75,75,71,63,59
30.0,75,72,69,64,59
30.5,74,70,71,64,60
31.0,72,74,71,63,60
31.5,74,72,69,63,59
32.0,73,70,71,63,59
32.5,72,72,71,64,60
33.0,73,71,68,62,59
33.5,76,72,70,64,60
34.0,68,72,70,63,60
34.5,71,70,69,63,60
35.0,76,72,68,63,59
35.5,73,72,68,63,60
36.0,72,69,69,63,59
36.5,74,72,69,64,60
37.0,76,70,70,64,60
37.5,78,72,70,64,60
38.0,77,69,69,64,60
38.5,76,70,70,64,60
39.0,73,71,68,64,60
39.5,72,69,69,64,60
40.0,73,70,69,64,60
40.5,74,70,69,64,60
41.0,75,72,70,63,60
41.5,75,72,70,64,60
42.0,73,70,69,64,60
42.5,75,71,70,64,60
43.0,76,72,68,63,60
43.5,74,72,69,64,60
44.0,76,70,69,63,60
44.5,73,70,70,64,60
45.0,76,72,70,64,60
45.5,73,71,70,64,60
46.0,73,72,69,62,60
46.5,73,70,69,64,60
47.0,72,70,69,63,60
47.5,70,72,70,63,60
48.0,71,70,69,63,59
48.5,72,70,69,63,60
49.0,72,70,69,63,60
49.5,69,70,68,62,59
50.0,72,67,68,62,59
50.5,72,70,68,62,59
51.0,72,70,68,62,59
51.5,70,70,68,62,59
52.0,69,69,68,62,59
52.5,71,69,69,62,59
53.0,69,69,68,61,59
53.5,71,69,68,62,59
54.0,70,70,67,62,59
54.5,69,68,68,62,59
55.0,68,69,68,62,59
55.5,69,68,68,62,59
56.0,70,69,68,62,59
56.5,70,70,68,62,59
57.0,70,69,68,62,59
57.5,69,70,68,62,59
58.0,70,69,68,62,59
58.5,67,69,68,62,59
59.0,68,69,68,62,59
59.5,69,70,68,62,59
60.0,71,69,69,62,59
60.5,72,69,69,63,59
61.0,70,69,69,62,59
61.5,69,69,68,62,59
62.0,69,68,68,62,59
62.5,70,69,68,62,59
63.0,67,68,68,62,59
63.5,72,70,67,61,58
64.0,69,68,68,62,59
64.5,70,70,68,62,59
65.0,70,69,68,62,59
65.5,70,69,68,62,59
66.0,71,70,68,62,59
66.5,70,69,68,62,59
67.0,69,69,68,62,59
67.5,70,68,68,62,59
68.0,70,69,68,62,59
68.5,68,69,68,62,59
69.0,71,69,68,62,59
69.5,70,69,68,63,59
70.0,69,69,68,62,59
70.5,70,69,68,62,59
71.0,70,68,68,62,59
71.5,69,69,68,62,59
72.0,70,69,68,62,59
72.5,70,69,67,62,59
73.0,70,69,68,63,59
73.5,67,68,68,62,59
74.0,69,68,68,62,59
74.5,66,67,68,62,59
75.0,68,67,67,62,59
75.5,67,67,68,61,59
76.0,67,67,67,61,59
76.5,67,67,67,62,59
77.0,67,67,68,61,59
77.5,66,67,67,61,58
78.0,66,67,67,61,59
78.5,68,67,67,61,59
79.0,67,66,67,61,58
79.5,67,67,67,61,59
80.0,66,66,66,61,58
80.5,66,66,66,61,58
81.0,65,66,65,60,58
81.5,65,65,65,61,57
82.0,65,66,65,61,57
82.5,65,65,65,60,58
83.0,65,66,65,60,58
83.5,65,66,65,60,57
84.0,65,65,65,60,57
84.5,65,65,65,59,57
85.0,65,65,65,60,57
85.5,65,65,65,60,57
86.0,65,65,64,59,57
86.5,65,65,65,60,57
87.0,64,65,65,59,57
87.5,64,65,65,59,57
88.0,64,64,65,59,57
88.5,64,65,65,60,57
89.0,63,64,65,59,57
89.5,63,64,65,59,57
90.0,64,65,64,59,57
90.5,64,64,64,59,57
91.0,64,65,64,59,57
91.5,63,65,64,59,57
92.0,64,65,65,59,56
92.5,63,64,64,59,57
93.0,63,64,64,59,57
93.5,63,65,65,59,57
94.0,65,65,65,59,57
94.5,64,65,64,59,56
95.0,63,64,64,59,57
95.5,64,64,64,59,56
96.0,64,65,64,59,56
96.5,64,65,64,58,56
97.0,63,64,64,59,57
97.5,63,65,64,59,56
98.0,63,63,64,59,57
98.5,64,64,64,59,57
99.0,63,64,64,59,57
99.5,63,65,64,59,56
100.0,63,64,64,59,56
100.5,63,64,64,58,56
101.0,63,64,64,59,56
101.5,63,65,64,58,56
102.0,63,64,64,59,56
102.5,63,64,64,59,56
103.0,63,64,64,59,56
103.5,63,64,64,59,56
104.0,63,64,64,58,56
104.5,63,63,64,59,56
105.0,63,64,64,59,56
105.5,64,64,64,58,56
106.0,64,63,64,59,56
106.5,63,64,64,59,56
107.0,63,64,64,58,56
107.5,63,63,64,58,56
108.0,62,64,64,59,56
108.5,63,64,64,58,56
109.0,63,63,64,58,56
109.5,63,63,64,58,56
110.0,62,63,63,59,56
110.5,63,64,64,59,56
111.0,63,64,64,59,56
111.5,63,64,64,59,56
112.0,63,63,64,58,56
112.5,63,63,64,59,57
113.0,63,63,64,58,56
113.5,63,63,64,58,56
114.0,63,64,64,58,56
114.5,63,63,64,59,56
115.0,63,63,64,58,57
115.5,63,63,64,58,56
116.0,63,64,64,59,56
116.5,63,64,64,58,56
117.0,63,64,64,59,56
117.5,63,64,64,59,56
118.0,63,63,64,58,56
118.5,63,64,64,59,56
119.0,64,65,64,58,56
119.5,63,64,64,59,57
120.0,63,64,64,59,57
120.5,63,64,64,59,56
121.0,63,63,64,59,57
121.5,64,64,64,59,57
122.0,63,64,64,59,56
122.5,63,64,64,58,56
123.0,63,65,64,58,57
123.5,63,64,64,59,57
124.0,63,64,64,59,56
124.5,64,64,64,58,56
125.0,63,64,64,59,56
125.5,64,65,64,59,57
126.0,63,64,64,58,56
126.5,63,64,64,58,56
127.0,63,64,64,59,57
127.5,63,65,64,58,56
128.0,63,63,64,59,57
128.5,63,64,64,59,56
129.0,63,64,64,59,56
129.5,63,64,64,59,57
130.0,63,64,64,59,56
130.5,63,64,64,59,56
131.0,64,65,64,59,57
131.5,63,64,64,59,57
132.0,63,64,64,59,57
132.5,63,64,64,59,57
133.0,64,64,64,59,56
133.5,63,64,64,59,56
134.0,64,64,65,59,57
134.5,64,65,64,59,57
135.0,63,64,64,59,56
135.5,63,64,65,59,57
136.0,64,64,65,59,57
136.5,63,64,64,58,57
137.0,63,63,64,58,56
137.5,63,63,63,58,56
138.0,63,63,64,59,56
138.5,63,63,63,58,56
139.0,63,63,64,59,56
139.5,63,63,63,59,57
140.0,63,63,63,58,56
140.5,63,63,63,59,56
141.0,63,63,63,59,56
141.5,63,63,64,58,56
142.0,63,62,64,58,56
142.5,63,63,63,59,56
143.0,63,63,64,59,56
143.5,63,63,63,59,56
144.0,63,63,63,58,56
144.5,62,63,63,58,56
145.0,62,63,63,59,56
145.5,63,63,63,58,56
146.0,63,63,63,58,56
146.5,62,63,63,58,56
147.0,63,63,63,58,56
147.5,63,63,63,58,56
148.0,63,63,63,58,56
148.5,62,63,62,58,56
149.0,63,63,63,58,56
149.5,62,63,63,59,56
150.0,62,63,62,58,56
150.5,63,63,63,58,56
151.0,63,63,63,59,56
151.5,62,63,63,58,56
152.0,63,63,63,59,56
152.5,63,63,63,58,56
153.0,63,63,63,58,56
153.5,63,63,63,59,56
154.0,62,63,63,58,56
154.5,63,63,63,59,56
155.0,62,63,62,58,56
155.5,63,63,63,59,56
156.0,63,63,63,59,56
156.5,63,63,63,58,56
157.0,63,63,63,59,56
157.5,63,63,63,58,56
158.0,63,63,63,59,56
158.5,63,63,63,58,56
159.0,63,63,63,58,56
159.5,62,63,63,58,56
160.0,63,62,63,58,56
160.5,62,63,63,58,56
161.0,62,63,63,58,56
161.5,63,63,63,58,56
162.0,63,63,63,58,56
162.5,63,63,63,58,56
163.0,62,63,63,58,56
163.5,63,63,63,57,56
164.0,62,63,62,58,56
164.5,63,63,63,58,56
165.0,62,62,63,58,55
165.5,62,63,63,58,56
166.0,62,63,62,58,56
166.5,62,63,63,58,56
167.0,62,63,63,58,56
167.5,63,63,63,58,55
168.0,62,63,63,58,56
168.5,62,63,63,58,56
169.0,63,63,63,58,56
169.5,63,63,63,58,56
170.0,63,63,63,58,56
170.5,62,63,63,58,56
171.0,63,63,63,58,56
171.5,62,63,63,58,56
172.0,62,62,63,58,56
172.5,62,62,63,58,56
173.0,63,63,63,58,56
173.5,62,62,62,58,56
174.0,63,63,62,58,56
174.5,62,63,63,58,56
175.0,63,63,63,58,56
175.5,62,63,63,58,56
176.0,63,63,63,58,56
176.5,62,63,62,58,56
177.0,62,63,63,58,56
177.5,62,63,63,58,56
178.0,62,63,63,58,56
178.5,62,63,63,58,56
179.0,62,63,63,58,56
179.5,62,63,63,58,56
180.0,63,63,63,59,56
180.5,63,63,63,58,56
181.0,62,63,63,58,56
181.5,63,62,63,58,56
182.0,63,63,63,58,56
182.5,62,63,63,58,56
183.0,63,63,63,58,56
183.5,62,63,63,58,56
184.0,63,62,63,58,55
184.5,62,62,63,58,56
185.0,63,63,63,58,56
185.5,62,63,63,58,56
186.0,62,63,63,58,56
186.5,63,63,62,58,56
187.0,62,63,63,58,56
187.5,63,63,63,58,56
188.0,62,63,63,58,56
188.5,63,63,62,58,56
189.0,63,63,63,58,56
189.5,63,63,63,58,56
190.0,63,63,63,58,56
190.5,62,63,63,58,56
191.0,63,63,63,58,56
191.5,62,63,63,58,56
192.0,62,63,63,58,56
192.5,62,63,63,58,56
193.0,63,63,63,58,56
193.5,62,63,63,58,56
194.0,62,63,63,58,56
194.5,63,63,63,58,56
195.0,63,62,63,58,56
195.5,62,63,63,58,56
196.0,62,64,63,58,56
196.5,62,63,62,59,56
197.0,63,63,63,57,56
197.5,62,63,63,58,56
198.0,63,63,62,58,56
198.5,63,62,62,58,56
199.0,61,63,62,58,56
199.5,62,62,62,58,56
200.0,63,62,61,58,56
200.5,62,62,62,58,56
201.0,62,62,61,58,56
201.5,62,62,61,58,56
202.0,61,62,62,58,56
202.5,62,62,61,58,56
203.0,62,62,62,58,56
203.5,62,62,62,58,56
204.0,62,62,61,58,56
204.5,62,62,62,57,56
205.0,62,62,61,57,55
205.5,62,62,62,57,56
206.0,62,62,62,58,56
206.5,62,62,62,58,56
207.0,62,62,61,58,56
207.5,62,62,61,58,56
208.0,62,62,61,58,56
208.5,62,62,61,58,56
209.0,62,62,61,58,56
209.5,62,62,61,57,56
210.0,61,61,61,58,56
210.5,61,62,61,57,55
211.0,62,62,61,58,55
211.5,62,61,61,58,56
212.0,62,62,61,57,55
212.5,61,61,61,57,56
213.0,61,60,61,58,55
213.5,61,61,61,57,55
214.0,61,62,60,57,56
214.5,61,62,61,57,56
215.0,61,61,61,57,55
215.5,60,60,61,57,55
216.0,60,61,61,57,55
216.5,61,61,61,57,55
217.0,61,60,61,57,55
217.5,61,60,60,57,55
218.0,61,60,60,57,55
218.5,61,60,61,57,55
219.0,61,60,61,57,55
219.5,61,60,60,57,55
220.0,60,61,60,57,55
220.5,61,61,61,57,55
221.0,61,61,60,58,55
221.5,60,60,60,57,55
222.0,61,60,60,57,55
222.5,61,60,61,57,55
223.0,60,60,60,57,55
223.5,60,61,60,57,55
224.0,61,60,60,57,55
224.5,61,60,61,57,55
225.0,61,61,60,57,55
225.5,60,61,60,57,55
226.0,61,60,60,57,55
226.5,60,60,60,57,55
227.0,60,60,60,57,55
227.5,60,60,61,57,55
228.0,60,60,61,57,55
228.5,60,60,60,57,55
229.0,61,60,60,57,55
229.5,60,60,60,57,55
230.0,61,60,60,57,55
230.5,61,60,60,57,55
231.0,60,60,60,57,55
231.5,60,60,60,57,55
232.0,61,60,60,56,55
232.5,60,60,60,57,55
233.0,60,60,60,57,55
233.5,60,60,60,57,55
234.0,61,60,60,57,55
234.5,60,60,60,57,55
