time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,67,63,58,43,41
1.0,79,70,68,48,45
1.5,80,75,74,51,47
2.0,79,77,79,54,49
2.5,81,82,82,55,51
3.0,82,82,82,57,52
3.5,82,78,79,58,53
4.0,72,78,80,58,54
4.5,73,76,77,57,53
5.0,72,78,74,56,53
5.5,72,79,76,58,54
6.0,83,75,77,57,55
6.5,67,77,75,57,55
7.0,71,77,76,57,55
7.5,73,78,73,57,55
8.0,70,79,75,58,55
8.5,72,76,75,57,55
9.0,74,77,75,58,55
9.5,74,79,77,58,55
10.0,66,78,79,58,56
10.5,79,78,76,58,56
11.0,73,78,79,58,56
11.5,74,80,79,58,56
12.0,68,79,80,58,56
12.5,68,76,78,59,56
13.0,79,79,76,59,56
13.5,64,78,78,59,56
14.0,72,76,73,59,56
14.5,74,74,71,59,56
15.0,63,73,71,58,57
15.5,76,74,72,59,57
16.0,70,73,73,58,56
16.5,70,72,71,59,56
17.0,69,74,75,59,56
17.5,70,72,71,58,56
18.0,70,72,71,58,57
18.5,72,74,69,58,57
19.0,63,74,73,58,56
19.5,77,72,71,58,56
20.0,71,75,72,59,56
20.5,77,74,74,59,56
21.0,82,72,71,60,57
21.5,79,72,71,62,58
22.0,74,70,70,62,58
22.5,73,72,70,62,58
23.0,81,76,72,63,59
23.5,81,70,72,62,59
24.0,80,72,71,64,59
24.5,72,75,71,64,59
25.0,74,75,71,63,60
25.5,77,75,71,64,60
26.0,72,72,70,64,60
26.5,75,72,71,64,60
27.0,71,71,70,63,60
27.5,68,70,71,64,60
28.0,73,72,71,64,60
28.5,73,70,70,64,60
29.0,75,72,70,64,60
29.5,73,73,69,64,60
30.0,79,73,71,64,60
30.5,72,71,71,64,60
31.0,73,71,70,64,60
31.5,72,72,70,63,60
32.0,77,75,68,64,60
32.5,69,70,70,64,60
33.0,73,73,70,63,60
33.5,73,72,70,64,60
34.0,69,72,71,64,60
34.5,76,70,68,64,60
35.0,77,75,72,64,60
35.5,73,72,71,64,60
36.0,75,73,71,64,60
36.5,76,73,69,64,60
37.0,75,72,70,64,60
37.5,73,70,69,64,60
38.0,78,73,69,64,60
38.5,77,72,71,64,60
39.0,72,71,69,64,60
39.5,75,73,69,64,60
40.0,73,72,69,64,60
40.5,73,70,71,64,60
41.0,75,70,69,64,60
41.5,79,73,71,64,60
42.0,72,72,70,64,60
42.5,76,72,68,63,60
43.0,75,72,69,64,60
43.5,72,70,70,64,60
44.0,71,71,70,64,60
44.5,70,70,70,64,60
45.0,73,70,70,64,60
45.5,73,70,70,63,60
46.0,73,70,69,63,60
46.5,75,71,69,64,60
47.0,73,71,70,64,60
47.5,73,71,70,64,60
48.0,75,72,69,63,60
48.5,71,69,69,63,60
49.0,69,70,69,63,60
49.5,69,69,70,62,59
50.0,69,69,69,63,60
50.5,69,69,69,62,59
51.0,70,69,69,62,60
51.5,72,69,70,62,59
52.0,70,69,68,63,60
52.5,71,70,69,62,59
53.0,72,69,67,61,59
53.5,72,69,68,62,59
54.0,69,69,67,62,59
54.5,70,69,68,62,59
55.0,70,70,69,62,59
55.5,67,69,68,62,59
56.0,72,70,68,62,59
56.5,68,69,68,62,59
57.0,70,69,69,62,59
57.5,71,70,68,62,59
58.0,72,70,68,62,59
58.5,72,69,69,62,59
59.0,72,69,68,62,59
59.5,69,69,69,62,59
60.0,70,71,69,62,59
60.5,70,69,68,62,59
61.0,69,69,69,62,59
61.5,69,70,68,62,60
62.0,69,70,69,62,59
62.5,70,70,69,62,59
63.0,72,69,68,62,59
63.5,72,70,68,62,59
64.0,70,68,68,62,59
64.5,70,69,68,62,59
65.0,71,69,68,63,59
65.5,70,69,68,62,59
66.0,69,69,68,62,59
66.5,70,70,67,62,59
67.0,70,69,68,62,59
67.5,70,69,69,62,59
68.0,71,69,68,63,59
68.5,71,69,68,62,59
69.0,71,69,68,62,59
69.5,69,69,68,62,59
70.0,67,67,67,62,59
70.5,68,67,67,62,59
71.0,67,67,68,62,59
71.5,67,67,67,62,59
72.0,67,67,68,61,59
72.5,66,67,67,61,59
73.0,68,67,67,61,59
73.5,67,67,67,61,59
74.0,67,67,67,62,59
74.5,66,67,67,61,59
75.0,67,67,67,61,59
75.5,67,67,67,61,59
76.0,67,67,67,62,58
76.5,66,67,66,61,58
77.0,65,66,66,61,58
77.5,65,66,66,60,58
78.0,65,66,66,61,58
78.5,64,65,65,60,57
79.0,65,65,65,61,57
79.5,63,65,65,61,57
80.0,64,65,65,60,57
80.5,65,65,65,60,57
81.0,65,65,65,59,57
81.5,65,65,65,60,57
82.0,65,65,65,59,57
82.5,65,65,65,60,57
83.0,65,65,65,59,57
83.5,65,64,65,59,57
84.0,63,65,65,60,57
84.5,65,65,64,60,57
85.0,64,65,64,59,57
85.5,64,65,65,59,57
86.0,64,65,64,59,57
86.5,64,65,65,59,57
87.0,64,64,64,59,57
87.5,63,65,65,60,57
88.0,63,65,64,59,57
88.5,63,65,64,59,57
89.0,64,64,65,60,57
89.5,64,65,64,60,56
90.0,64,64,64,59,57
90.5,64,65,64,59,57
91.0,65,65,65,59,57
91.5,65,64,64,59,57
92.0,63,65,65,59,57
92.5,64,64,65,59,57
93.0,65,64,64,60,57
93.5,65,65,65,59,57
94.0,64,65,65,59,57
94.5,64,65,64,59,57
95.0,64,64,64,59,57
95.5,64,65,64,59,57
96.0,64,65,64,58,56
96.5,63,64,64,58,56
97.0,64,64,65,59,56
97.5,63,65,65,59,56
98.0,63,64,65,59,57
98.5,63,64,65,59,57
99.0,63,65,64,59,56
99.5,63,64,64,59,56
100.0,63,65,64,59,56
100.5,63,64,64,59,57
101.0,64,64,65,59,57
101.5,65,65,64,59,56
102.0,63,64,64,59,56
102.5,64,64,64,59,56
103.0,63,64,64,58,56
103.5,63,64,64,59,56
104.0,63,64,64,59,57
104.5,63,64,64,59,56
105.0,63,64,64,59,56
105.5,63,64,64,58,57
106.0,63,64,64,58,56
106.5,63,63,64,59,56
107.0,63,64,64,59,57
107.5,63,65,64,59,56
108.0,63,64,64,58,56
108.5,63,64,64,59,56
109.0,63,64,64,59,56
109.5,63,64,64,59,57
110.0,62,64,64,59,57
110.5,63,64,64,59,56
111.0,64,64,64,59,56
111.5,63,64,64,58,56
112.0,63,64,64,58,56
112.5,63,64,64,59,57
113.0,64,64,64,59,57
113.5,63,63,64,58,57
114.0,64,64,64,58,56
114.5,63,63,64,59,56
115.0,63,65,64,59,57
115.5,63,64,64,58,56
116.0,63,64,64,58,56
116.5,63,64,64,58,56
117.0,63,64,64,59,56
117.5,64,64,64,58,56
118.0,63,64,64,58,56
118.5,63,63,64,58,56
119.0,63,63,63,58,56
119.5,63,63,63,58,57
120.0,63,63,63,59,56
120.5,63,63,63,59,56
121.0,63,63,63,58,56
121.5,63,63,63,58,56
122.0,62,63,64,58,56
122.5,63,63,64,58,56
123.0,63,63,63,58,56
123.5,63,63,63,58,56
124.0,63,63,63,58,56
124.5,63,63,63,58,56
125.0,63,63,63,58,56
125.5,62,63,63,58,56
126.0,63,63,63,58,56
126.5,63,63,63,58,56
127.0,62,63,63,58,56
127.5,62,63,63,58,56
128.0,63,63,63,58,56
128.5,62,63,62,58,56
129.0,63,63,63,58,56
129.5,63,63,63,58,56
130.0,62,62,63,58,56
130.5,62,63,63,58,56
131.0,63,63,63,59,56
131.5,62,62,63,59,56
132.0,62,63,63,58,56
132.5,62,63,63,59,56
133.0,63,63,63,58,56
133.5,63,63,63,58,56
134.0,63,63,63,59,56
134.5,62,63,63,58,56
135.0,63,63,63,58,56
135.5,62,63,63,58,56
136.0,63,63,63,58,56
136.5,63,63,63,58,56
137.0,63,63,63,58,56
137.5,63,63,63,59,56
138.0,63,63,63,59,56
138.5,63,63,63,59,56
139.0,62,63,63,58,56
139.5,62,63,63,58,56
140.0,62,63,63,58,56
140.5,63,63,63,58,56
141.0,62,63,63,58,56
141.5,63,63,63,58,56
142.0,63,63,63,58,56
142.5,62,63,63,58,56
143.0,62,63,63,58,56
143.5,62,63,63,58,56
144.0,62,63,63,58,56
144.5,62,62,63,58,56
145.0,63,63,63,58,56
145.5,62,63,63,59,56
146.0,62,63,63,58,56
146.5,63,63,63,58,56
147.0,62,62,63,58,56
147.5,63,63,63,58,56
148.0,62,63,63,58,56
148.5,62,63,63,58,56
149.0,63,63,63,58,57
149.5,63,63,63,58,56
150.0,63,63,63,58,56
150.5,62,63,63,58,56
