time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,68,61,60,44,42
1.0,77,73,69,49,44
1.5,83,73,74,51,47
2.0,83,80,79,54,49
2.5,77,82,82,55,51
3.0,80,82,81,57,52
3.5,82,80,81,58,54
4.0,77,75,78,58,55
4.5,74,76,75,57,54
5.0,65,74,71,57,54
5.5,69,72,71,57,54
6.0,67,71,72,56,54
6.5,60,72,71,56,53
7.0,66,71,69,56,54
7.5,63,71,69,56,53
8.0,69,72,71,56,54
8.5,63,71,69,56,54
9.0,65,71,69,56,54
9.5,69,70,68,56,54
10.0,66,71,67,57,55
10.5,70,71,70,56,54
11.0,66,71,67,57,55
11.5,72,71,68,56,54
12.0,77,70,69,56,55
12.5,69,68,66,57,54
13.0,63,68,66,56,55
13.5,67,69,65,56,54
14.0,66,67,66,56,54
14.5,65,70,65,56,54
15.0,70,69,65,57,54
15.5,73,69,66,56,54
16.0,65,68,66,56,55
16.5,61,67,68,56,54
17.0,63,71,66,57,55
17.5,75,67,67,57,55
18.0,68,67,66,57,55
18.5,64,68,67,57,55
19.0,72,64,65,56,55
19.5,69,63,64,57,54
20.0,62,64,63,57,55
20.5,63,66,64,56,55
21.0,66,64,64,56,55
21.5,67,63,63,56,54
22.0,62,66,64,56,54
22.5,67,63,63,55,54
23.0,73,69,67,58,55
23.5,78,71,67,59,56
24.0,76,71,67,59,56
24.5,74,70,67,60,56
25.0,71,69,67,60,57
25.5,68,69,67,61,57
26.0,73,71,68,61,57
26.5,72,69,65,61,57
27.0,73,68,65,61,57
27.5,72,68,67,61,58
28.0,75,70,68,61,57
28.5,70,69,68,61,58
29.0,69,67,67,61,57
29.5,72,69,68,61,57
30.0,69,69,66,62,58
30.5,73,70,67,61,58
31.0,75,70,67,62,58
31.5,70,69,68,62,58
32.0,70,70,67,61,58
32.5,76,69,65,62,59
33.0,72,69,68,62,58
33.5,74,69,66,62,59
34.0,72,68,67,61,58
34.5,76,69,67,62,58
35.0,72,70,68,62,59
35.5,72,69,67,62,59
36.0,74,69,68,62,59
36.5,70,67,68,62,59
37.0,75,70,69,62,59
37.5,75,71,69,62,59
38.0,75,70,69,62,59
