time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,64,61,57,44,42
1.0,77,72,69,48,44
1.5,80,76,76,51,47
2.0,82,77,79,54,50
2.5,82,83,79,55,51
3.0,79,82,82,57,53
3.5,80,77,78,58,53
4.0,80,81,80,59,55
4.5,83,78,78,59,55
5.0,69,77,75,58,55
5.5,70,79,80,58,55
6.0,73,77,79,57,55
6.5,74,76,77,57,55
7.0,69,78,77,57,55
7.5,72,77,72,57,55
8.0,63,78,79,58,56
8.5,70,78,78,58,56
9.0,75,78,78,58,56
9.5,71,76,77,58,56
10.0,70,78,77,58,56
10.5,63,74,73,59,56
11.0,74,72,73,58,56
11.5,72,72,72,58,56
12.0,70,73,70,58,56
12.5,69,73,72,58,56
13.0,69,73,72,58,56
13.5,73,72,72,58,56
14.0,67,72,72,58,56
14.5,69,73,72,58,56
15.0,77,75,70,58,56
15.5,73,72,70,58,56
16.0,63,73,73,58,56
16.5,62,72,72,58,56
17.0,79,72,73,58,56
17.5,63,71,68,58,56
18.0,68,71,69,58,56
18.5,66,70,68,58,56
19.0,75,69,69,58,56
19.5,73,69,70,58,56
20.0,66,70,67,57,56
20.5,62,73,69,58,56
21.0,64,70,69,58,56
21.5,69,69,70,58,56
22.0,76,70,69,58,56
22.5,67,69,68,57,56
23.0,71,69,71,58,56
23.5,65,69,68,58,56
24.0,69,70,69,58,56
24.5,70,68,69,58,56
25.0,73,67,66,58,56
25.5,73,70,71,60,56
26.0,76,73,70,61,57
26.5,75,72,69,61,57
27.0,73,70,68,62,57
27.5,69,70,70,62,58
28.0,75,73,71,62,58
28.5,80,70,70,62,59
29.0,70,71,72,62,59
29.5,77,73,72,63,59
30.0,77,73,70,63,59
30.5,73,72,70,63,59
31.0,72,72,71,63,59
31.5,79,72,68,64,59
32.0,76,70,68,63,59
32.5,76,71,70,62,59
33.0,74,70,70,64,60
33.5,73,72,70,64,59
34.0,72,73,70,63,60
34.5,75,71,68,63,60
35.0,77,72,71,64,60
35.5,79,68,71,63,60
36.0,74,71,68,63,60
36.5,79,72,68,64,60
37.0,73,72,71,64,60
37.5,71,71,71,63,60
38.0,82,71,70,64,60
38.5,71,69,69,64,60
39.0,73,70,69,64,60
39.5,74,72,69,63,60
40.0,75,70,68,63,60
40.5,75,72,70,64,60
41.0,72,71,67,63,60
41.5,76,70,68,63,59
42.0,68,71,70,63,60
42.5,77,71,70,64,59
43.0,75,71,70,64,60
43.5,73,70,69,64,60
44.0,73,70,69,64,60
44.5,72,70,68,63,60
45.0,79,73,70,64,60
45.5,73,72,69,64,60
46.0,73,69,69,62,60
46.5,73,70,68,62,60
47.0,73,70,69,62,59
47.5,70,69,70,62,60
48.0,69,69,67,63,59
48.5,71,70,69,63,59
49.0,71,72,69,62,59
49.5,73,70,68,63,60
50.0,73,70,69,62,60
50.5,72,70,69,63,59
51.0,70,70,69,62,60
51.5,70,69,68,62,59
52.0,71,70,68,62,59
52.5,70,70,70,62,59
53.0,70,69,68,62,59
53.5,70,71,69,62,59
54.0,69,68,68,62,59
54.5,70,70,69,62,59
55.0,70,70,68,62,59
55.5,70,69,69,62,59
56.0,70,70,69,62,59
56.5,70,70,68,62,59
57.0,70,69,67,61,59
57.5,67,68,68,62,59
58.0,70,69,69,62,59
58.5,70,69,69,61,59
59.0,71,69,69,62,59
59.5,70,70,68,62,59
60.0,70,69,69,62,59
60.5,68,69,68,62,59
61.0,69,70,69,62,59
61.5,70,69,68,62,59
62.0,67,68,69,62,59
62.5,72,69,69,62,59
63.0,71,69,69,62,59
63.5,70,70,68,62,59
64.0,68,70,68,62,59
64.5,71,69,68,62,59
65.0,71,69,68,62,59
65.5,70,70,69,62,59
66.0,67,69,68,62,59
66.5,70,69,68,62,59
67.0,69,69,68,62,59
67.5,69,69,68,62,59
68.0,71,69,67,61,59
68.5,70,69,68,62,59
69.0,69,69,68,62,59
69.5,70,69,69,62,59
70.0,69,69,68,62,59
70.5,70,68,68,62,59
71.0,69,68,68,62,59
71.5,70,68,67,62,59
72.0,68,68,68,62,59
72.5,67,69,68,62,59
73.0,69,69,68,62,59
73.5,67,67,67,61,59
74.0,66,67,66,62,59
74.5,68,67,66,62,58
75.0,67,67,66,61,59
75.5,66,67,66,61,58
76.0,67,66,66,61,59
76.5,66,66,66,61,59
77.0,67,66,66,61,58
77.5,66,66,66,61,58
78.0,67,66,66,61,58
78.5,67,66,66,61,58
79.0,67,66,65,60,58
79.5,67,66,65,61,58
80.0,65,66,66,61,58
80.5,65,66,65,60,57
81.0,65,66,65,60,58
81.5,65,65,65,60,57
82.0,65,65,65,60,58
82.5,65,65,65,61,57
83.0,64,65,65,59,57
83.5,65,65,65,60,57
84.0,65,65,65,61,57
84.5,63,65,65,60,57
85.0,64,65,65,59,57
85.5,65,64,64,60,57
86.0,65,64,65,59,57
86.5,64,65,65,59,57
87.0,63,64,65,59,57
87.5,64,65,64,59,56
88.0,63,65,64,59,57
88.5,63,65,64,59,56
89.0,64,65,65,59,57
89.5,63,64,65,59,57
90.0,63,65,65,59,56
90.5,64,64,64,59,57
91.0,63,65,64,59,57
91.5,64,65,64,59,56
92.0,64,64,65,59,57
92.5,63,64,65,59,57
93.0,64,64,64,59,57
93.5,64,64,64,59,57
94.0,63,64,64,59,57
94.5,64,64,65,59,57
95.0,63,64,64,59,57
95.5,64,64,64,59,57
96.0,63,65,65,59,57
96.5,63,64,64,59,57
97.0,64,65,64,59,57
97.5,64,64,64,59,57
98.0,64,65,64,59,56
98.5,63,64,64,59,56
99.0,64,64,64,59,57
99.5,64,65,64,58,56
100.0,64,64,65,59,57
100.5,63,64,65,59,57
101.0,63,64,64,59,56
101.5,65,64,64,59,56
102.0,64,65,64,58,56
102.5,63,64,64,58,56
103.0,62,63,64,59,57
