time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,67,56,57,40,38
1.0,76,67,67,45,41
1.5,83,72,71,48,44
2.0,91,82,76,51,47
2.5,88,82,81,54,49
3.0,91,85,82,57,50
3.5,94,80,81,57,52
4.0,76,81,81,58,53
4.5,79,78,76,56,53
5.0,66,76,73,55,53
5.5,81,76,78,56,53
6.0,78,75,75,55,53
6.5,72,75,73,55,53
7.0,65,75,76,55,53
7.5,79,75,76,56,53
8.0,80,78,79,56,53
8.5,65,75,73,55,53
9.0,77,75,77,56,53
9.5,79,75,73,57,54
10.0,62,77,75,56,53
10.5,77,75,75,57,54
11.0,67,76,75,57,55
11.5,72,75,77,57,54
12.0,66,76,77,57,55
12.5,75,77,78,57,55
13.0,77,77,75,57,55
13.5,73,77,78,57,55
14.0,68,77,74,57,55
14.5,73,76,76,57,55
15.0,75,78,79,58,55
15.5,71,77,78,58,55
16.0,73,78,79,58,55
16.5,69,78,75,58,55
17.0,75,78,75,58,56
17.5,78,77,76,58,56
18.0,74,78,76,58,56
18.5,83,79,78,58,56
19.0,76,80,78,58,56
19.5,64,79,78,59,56
20.0,79,78,79,59,56
20.5,87,78,80,59,57
21.0,81,80,80,59,57
21.5,82,78,77,59,56
22.0,67,81,80,59,57
22.5,77,79,80,59,57
23.0,85,83,83,62,58
23.5,90,83,76,62,59
24.0,72,83,79,64,59
24.5,92,75,78,63,59
25.0,81,82,80,64,60
25.5,94,90,80,64,60
26.0,87,82,76,64,60
26.5,97,80,85,64,60
27.0,81,78,81,64,60
27.5,75,76,83,65,60
28.0,76,80,79,65,61
28.5,87,73,85,64,61
29.0,75,80,82,65,60
29.5,75,77,78,65,60
30.0,89,80,76,65,60
30.5,85,79,74,65,61
31.0,86,79,78,65,61
31.5,79,81,77,65,61
32.0,85,76,83,65,61
32.5,79,79,78,65,61
33.0,74,86,75,65,61
33.5,82,74,83,65,61
34.0,87,77,80,65,62
34.5,87,85,82,65,61
35.0,78,82,81,66,61
35.5,77,80,78,66,62
36.0,92,73,81,66,62
36.5,82,86,80,66,62
37.0,83,74,78,66,62
37.5,77,79,79,66,62
38.0,86,79,79,66,63
38.5,80,79,80,66,63
39.0,80,82,79,66,63
39.5,81,80,79,66,63
40.0,88,76,78,66,63
40.5,76,85,79,66,63
41.0,82,90,78,66,63
41.5,74,80,80,66,63
42.0,75,79,83,66,63
42.5,90,87,87,67,63
43.0,88,84,82,67,63
43.5,88,76,81,66,63
44.0,87,80,83,66,63
44.5,93,84,84,67,63
45.0,77,86,78,67,63
45.5,83,79,83,67,63
46.0,86,78,78,67,63
46.5,88,81,84,67,63
47.0,85,85,86,66,63
47.5,86,88,83,67,63
48.0,83,79,77,68,64
48.5,82,83,82,68,64
49.0,79,82,80,68,64
49.5,77,79,78,67,64
50.0,83,85,77,68,64
50.5,82,82,79,68,64
51.0,78,80,80,67,63
51.5,77,81,82,67,63
52.0,79,82,76,67,63
52.5,76,77,79,66,63
53.0,77,79,76,66,63
53.5,77,77,79,66,63
54.0,87,82,79,66,63
54.5,79,76,78,66,63
55.0,78,75,76,66,63
55.5,72,77,80,66,63
56.0,75,79,80,66,63
56.5,82,78,75,66,63
57.0,83,78,76,66,62
57.5,78,80,74,66,63
58.0,73,77,76,66,63
58.5,76,79,75,66,62
59.0,78,77,75,66,62
59.5,81,77,75,65,62
60.0,79,76,72,65,62
60.5,82,75,73,65,62
61.0,74,79,73,65,61
61.5,75,80,76,65,61
62.0,83,79,76,65,62
62.5,77,77,72,65,62
63.0,77,76,75,65,62
63.5,76,78,74,65,61
64.0,76,75,75,65,61
64.5,78,77,74,65,61
65.0,77,75,74,65,62
65.5,72,77,76,65,61
66.0,73,73,73,65,61
66.5,83,77,74,65,61
67.0,80,77,75,65,61
67.5,81,75,73,65,61
68.0,80,77,74,64,61
68.5,82,76,74,65,61
69.0,75,74,75,65,61
69.5,80,76,73,65,61
70.0,77,72,73,65,61
70.5,72,75,73,65,61
71.0,79,77,75,65,61
71.5,81,75,73,65,61
72.0,77,77,73,65,61
72.5,79,76,74,65,61
73.0,73,75,74,65,61
73.5,81,76,75,65,61
74.0,77,75,72,65,61
74.5,79,76,72,65,61
75.0,75,75,74,64,61
75.5,76,74,74,65,61
76.0,82,77,74,65,61
76.5,75,73,74,65,61
77.0,70,73,71,64,61
77.5,76,76,74,64,61
78.0,80,74,74,64,61
78.5,72,76,72,65,61
79.0,81,77,71,64,61
79.5,79,73,70,64,61
80.0,77,76,70,64,61
80.5,71,72,71,64,60
81.0,74,72,71,64,60
81.5,73,74,71,64,60
82.0,78,72,71,64,60
82.5,71,70,71,64,60
83.0,71,72,70,63,60
83.5,79,71,71,64,60
84.0,78,73,71,64,60
84.5,73,72,71,63,60
85.0,74,70,71,62,60
85.5,69,72,71,63,60
86.0,72,71,69,63,60
86.5,77,70,70,63,60
87.0,73,71,70,62,60
87.5,72,70,71,63,60
88.0,75,71,70,62,60
88.5,72,72,70,62,60
89.0,73,70,70,62,60
89.5,71,70,70,62,60
90.0,73,70,68,62,60
90.5,75,70,68,62,59
91.0,73,72,70,62,59
91.5,75,70,69,62,59
92.0,74,70,69,62,59
92.5,69,70,68,62,59
93.0,72,70,69,62,59
93.5,73,70,69,62,59
94.0,69,70,68,61,59
94.5,71,69,68,62,59
95.0,70,70,69,62,59
95.5,70,70,69,61,59
96.0,69,69,68,61,59
96.5,68,69,68,61,59
97.0,70,70,69,61,58
97.5,71,70,68,61,59
98.0,70,69,69,61,59
98.5,69,69,68,61,58
99.0,67,69,67,61,58
99.5,67,67,68,61,58
100.0,66,67,67,61,58
100.5,69,68,67,60,58
101.0,69,67,66,60,58
101.5,70,68,67,60,58
102.0,69,67,67,60,57
102.5,69,67,67,60,57
103.0,70,67,68,60,58
103.5,69,68,67,61,57
104.0,69,66,67,59,57
104.5,66,67,67,60,57
105.0,69,67,68,60,57
105.5,69,69,67,60,57
106.0,69,68,67,60,57
106.5,67,68,67,61,57
107.0,70,67,68,60,57
107.5,68,68,67,60,57
108.0,67,68,67,60,57
108.5,70,67,67,60,57
109.0,66,67,67,60,57
109.5,69,66,67,60,57
110.0,67,67,67,59,57
110.5,69,67,67,60,57
111.0,69,68,66,61,57
111.5,68,67,66,60,57
112.0,70,68,66,59,57
112.5,67,67,66,60,57
113.0,68,67,67,60,57
113.5,70,67,66,59,57
114.0,70,67,66,60,57
114.5,67,66,66,59,57
115.0,66,66,66,59,57
115.5,66,65,65,59,57
116.0,67,66,65,59,57
116.5,66,66,65,58,56
117.0,66,65,65,58,57
117.5,66,65,65,59,57
118.0,65,65,66,58,57
118.5,66,65,65,58,56
119.0,65,66,65,58,56
119.5,65,65,65,58,56
120.0,65,66,65,58,56
120.5,64,65,65,58,56
121.0,65,65,64,58,56
121.5,65,65,65,58,56
122.0,63,64,65,58,56
122.5,63,64,65,58,56
123.0,63,63,65,58,56
123.5,63,64,64,58,56
124.0,63,64,64,58,56
124.5,63,63,64,58,55
125.0,62,63,64,58,56
125.5,63,63,64,58,55
126.0,63,63,64,57,56
126.5,62,63,65,58,55
127.0,62,63,64,58,55
127.5,62,63,64,57,55
128.0,62,63,64,57,55
128.5,63,63,64,57,55
129.0,62,63,64,57,55
129.5,62,63,64,58,55
130.0,62,63,64,57,55
130.5,62,63,64,57,55
131.0,63,63,64,57,55
131.5,62,63,64,57,55
132.0,62,63,64,57,55
132.5,62,62,64,57,55
133.0,62,63,64,57,55
133.5,62,63,64,57,55
134.0,62,63,64,57,55
134.5,62,63,64,57,55
135.0,62,63,63,57,55
135.5,62,63,64,57,55
136.0,61,63,64,57,55
136.5,62,63,64,57,55
137.0,62,63,63,57,54
137.5,62,62,64,57,55
138.0,62,63,64,57,55
138.5,62,63,64,57,55
139.0,62,63,64,57,55
139.5,62,63,63,57,55
140.0,62,62,64,57,55
140.5,62,63,64,57,55
141.0,62,62,63,57,55
141.5,62,62,63,57,55
142.0,62,63,64,57,55
142.5,62,62,63,57,54
143.0,62,62,63,57,55
143.5,62,63,63,57,55
144.0,62,62,63,57,55
144.5,62,63,63,57,55
145.0,62,62,64,57,55
145.5,62,63,63,56,55
146.0,62,63,64,57,54
146.5,62,63,63,56,55
147.0,62,63,63,57,55
147.5,62,62,63,56,55
148.0,60,62,63,57,54
148.5,61,63,63,57,55
149.0,61,63,63,56,55
149.5,62,62,63,57,55
150.0,62,62,64,57,55
150.5,62,62,63,57,55
151.0,62,63,63,57,55
151.5,62,63,63,57,55
152.0,62,62,63,56,54
152.5,62,62,63,57,54
153.0,62,62,63,57,54
153.5,62,62,63,56,54
154.0,61,62,63,57,54
154.5,62,62,63,57,55
155.0,62,62,63,56,54
155.5,61,62,63,56,55
156.0,62,62,63,56,54
156.5,61,62,62,56,54
157.0,62,62,63,56,54
157.5,62,62,63,56,54
158.0,61,63,63,57,54
158.5,62,63,63,57,54
159.0,61,62,63,57,54
159.5,62,62,63,57,54
160.0,61,62,63,57,54
160.5,62,62,63,56,55
161.0,62,62,63,57,55
161.5,62,63,63,57,54
162.0,62,62,63,57,54
162.5,62,62,64,57,55
163.0,62,62,63,56,55
163.5,62,62,63,57,54
164.0,61,62,63,57,55
164.5,62,62,63,57,54
165.0,62,63,63,56,54
165.5,62,62,63,56,54
166.0,61,63,63,57,54
166.5,61,62,62,57,54
167.0,62,62,63,57,54
167.5,61,62,63,57,54
168.0,61,63,63,57,54
168.5,62,62,63,57,54
169.0,61,62,64,57,55
169.5,61,62,63,56,54
170.0,62,62,63,57,54
170.5,62,62,63,57,54
171.0,62,62,63,56,54
171.5,61,63,64,57,55
172.0,62,62,63,56,54
172.5,62,63,64,57,54
173.0,62,62,63,57,55
173.5,62,62,63,57,54
174.0,62,63,63,57,55
174.5,62,63,63,56,54
175.0,62,63,63,57,55
175.5,62,63,63,57,55
176.0,62,62,63,57,55
176.5,62,62,63,56,54
177.0,62,62,63,57,54
177.5,61,62,63,56,54
178.0,62,63,63,57,55
178.5,61,62,63,56,54
179.0,62,62,64,56,54
179.5,62,62,63,57,54
180.0,62,62,63,57,55
180.5,62,62,63,57,54
181.0,61,63,63,56,54
181.5,61,63,63,56,54
182.0,62,62,63,56,55
182.5,62,62,63,56,54
183.0,62,63,63,56,55
183.5,62,62,63,57,54
184.0,61,62,63,57,54
184.5,62,62,63,57,55
185.0,61,62,63,56,54
185.5,62,62,62,56,54
186.0,61,62,63,56,54
186.5,61,62,63,56,54
187.0,62,62,63,56,54
187.5,61,62,63,56,54
188.0,62,62,63,56,54
188.5,62,62,63,56,54
189.0,61,62,63,56,54
189.5,62,62,64,56,54
190.0,62,63,63,56,54
190.5,62,62,63,55,54
191.0,61,62,63,56,54
191.5,62,62,63,56,54
192.0,62,62,63,57,54
192.5,62,62,63,57,54
193.0,62,62,63,56,54
193.5,62,62,63,57,54
194.0,62,62,62,56,54
194.5,62,62,63,56,54
195.0,61,62,63,56,54
195.5,62,62,63,57,54
196.0,62,62,63,56,54
196.5,61,62,63,57,55
197.0,61,62,63,56,54
197.5,61,62,62,56,54
198.0,62,62,64,56,54
198.5,62,62,63,56,54
199.0,62,62,63,56,54
199.5,62,63,63,56,54
200.0,62,62,63,56,54
200.5,62,62,63,57,54
201.0,62,62,62,56,54
201.5,62,62,63,57,55
202.0,62,62,63,56,54
202.5,61,63,63,57,54
203.0,61,62,63,56,54
203.5,61,62,63,57,54
204.0,60,62,63,56,54
204.5,62,62,63,57,54
205.0,61,62,63,56,55
205.5,61,62,63,56,55
206.0,62,62,63,57,54
206.5,60,63,63,57,54
207.0,61,62,63,57,54
207.5,60,62,63,56,54
208.0,62,62,63,57,54
208.5,62,62,63,56,55
209.0,61,62,63,56,54
209.5,61,62,63,57,54
210.0,61,62,63,56,55
210.5,61,62,63,56,54
211.0,62,62,64,57,55
211.5,61,62,62,56,54
212.0,62,62,63,56,54
212.5,62,62,63,57,54
213.0,62,62,63,57,55
213.5,61,62,63,57,54
214.0,62,62,63,56,54
214.5,60,62,63,56,54
215.0,62,62,63,57,55
215.5,61,62,63,56,54
216.0,62,62,63,57,55
216.5,62,62,63,56,55
217.0,61,62,63,56,54
217.5,61,62,63,56,54
218.0,62,62,63,56,54
218.5,61,62,63,56,54
219.0,62,62,62,56,54
219.5,62,62,63,56,54
220.0,62,62,63,57,54
220.5,62,62,63,57,55
221.0,60,62,63,57,54
221.5,62,62,64,56,55
222.0,62,62,63,56,54
222.5,62,62,63,56,54
223.0,61,62,62,57,54
223.5,61,62,63,56,53
224.0,61,62,62,57,54
224.5,62,62,63,57,54
225.0,62,62,63,56,54
225.5,61,63,63,57,54
226.0,61,62,62,56,54
226.5,61,62,63,56,54
227.0,61,62,63,56,55
227.5,62,63,63,57,54
228.0,61,63,63,56,54
228.5,60,62,63,57,54
229.0,60,63,62,56,55
229.5,61,62,63,56,54
230.0,62,62,63,56,55
230.5,62,62,63,56,54
231.0,62,62,64,57,54
231.5,60,63,63,57,54
232.0,62,62,63,57,54
232.5,62,62,63,57,55
233.0,61,63,64,57,55
233.5,62,62,63,57,54
234.0,62,63,64,57,55
234.5,62,62,63,56,54
235.0,62,62,63,57,55
235.5,62,62,63,56,54
236.0,62,62,63,56,54
236.5,61,63,63,56,54
237.0,62,63,63,56,55
237.5,62,62,63,56,54
238.0,62,62,63,56,54
238.5,61,62,63,57,54
239.0,62,62,63,56,54
239.5,61,62,63,56,54
240.0,61,62,62,57,54
