time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,68,56,50,40,35
1.0,78,68,62,43,38
1.5,77,69,68,46,41
2.0,87,79,73,49,44
2.5,84,81,76,51,46
3.0,83,78,80,53,48
3.5,80,82,78,54,49
4.0,80,77,80,55,50
4.5,71,74,71,54,50
5.0,75,72,72,53,50
5.5,76,72,74,53,50
6.0,65,72,72,53,51
6.5,59,72,72,52,50
7.0,71,72,74,52,50
7.5,59,72,73,53,50
8.0,72,72,75,53,50
8.5,78,73,70,54,51
9.0,75,72,70,53,51
9.5,65,75,73,54,51
10.0,64,74,73,54,51
10.5,62,75,73,54,51
11.0,83,74,75,54,52
11.5,73,74,73,55,52
12.0,64,74,72,54,52
12.5,61,76,73,55,52
13.0,67,74,75,55,53
13.5,63,74,75,55,53
14.0,76,75,76,54,52
14.5,76,75,75,55,52
15.0,66,77,76,55,53
15.5,79,75,75,55,53
16.0,63,76,71,55,53
16.5,80,75,75,55,53
17.0,76,75,73,55,53
17.5,73,74,73,57,54
18.0,86,76,74,56,53
18.5,77,78,75,56,53
19.0,62,78,78,57,54
19.5,81,75,77,57,53
20.0,78,78,76,57,54
20.5,74,77,78,57,54
21.0,80,76,73,57,54
21.5,73,75,75,58,55
22.0,73,75,79,60,56
22.5,86,80,75,61,56
23.0,76,79,76,62,57
23.5,76,75,76,62,57
24.0,79,70,74,62,57
24.5,68,75,74,61,58
25.0,77,77,75,62,57
25.5,83,77,76,63,58
26.0,73,85,75,63,59
26.5,84,75,73,64,59
27.0,84,79,76,63,59
27.5,86,78,73,63,59
28.0,88,79,73,64,59
28.5,76,83,77,64,59
29.0,76,77,74,64,59
29.5,82,78,80,64,60
30.0,80,76,78,64,59
30.5,85,79,75,65,60
31.0,80,75,72,64,60
31.5,80,79,78,64,60
32.0,73,76,78,64,60
32.5,85,79,76,65,60
33.0,72,75,78,65,60
33.5,77,76,80,65,60
34.0,77,83,82,65,61
34.5,83,80,75,66,61
35.0,73,81,80,65,61
35.5,92,79,76,66,61
36.0,88,85,81,66,61
36.5,81,84,80,66,61
37.0,77,75,80,66,61
37.5,84,85,82,66,61
38.0,76,75,79,66,61
38.5,83,82,83,66,61
39.0,78,76,80,66,61
39.5,75,83,79,66,61
40.0,76,85,85,66,62
40.5,76,82,80,66,62
41.0,90,83,78,66,62
41.5,86,77,83,66,62
42.0,75,84,78,66,62
42.5,97,89,82,67,62
43.0,83,76,80,66,63
43.5,79,82,78,66,62
44.0,82,86,78,67,63
44.5,82,81,77,66,62
45.0,90,83,78,66,62
45.5,85,82,78,67,62
46.0,73,84,80,66,63
46.5,87,89,83,67,63
47.0,80,81,81,68,63
47.5,86,83,83,67,63
48.0,75,87,82,68,63
48.5,82,84,85,68,63
49.0,85,80,79,67,63
49.5,87,78,81,68,63
50.0,82,84,83,68,63
50.5,81,77,80,67,64
51.0,75,80,80,68,63
51.5,81,86,79,67,63
52.0,90,80,82,68,63
52.5,87,79,80,68,64
53.0,79,84,83,67,63
53.5,99,79,87,68,63
54.0,93,87,80,68,63
54.5,81,79,83,68,63
55.0,85,80,84,68,63
55.5,85,86,81,68,64
56.0,87,86,83,69,64
56.5,80,79,83,68,64
57.0,89,85,81,68,64
57.5,76,84,82,68,64
58.0,77,79,86,68,64
58.5,86,86,83,68,64
59.0,83,82,86,69,64
59.5,79,83,82,68,64
60.0,84,83,81,69,64
60.5,80,82,80,69,64
61.0,83,87,83,68,64
61.5,96,85,82,68,64
62.0,76,86,85,68,64
62.5,76,86,85,69,64
63.0,80,79,81,69,64
63.5,90,84,80,69,64
64.0,90,84,79,70,64
64.5,94,87,84,69,65
65.0,84,87,76,69,65
65.5,93,84,83,69,64
66.0,89,91,83,69,64
66.5,90,87,81,70,65
67.0,83,85,84,70,65
67.5,89,79,80,70,65
68.0,99,86,82,69,65
68.5,96,89,82,71,65
69.0,85,87,82,69,65
69.5,96,83,88,70,65
70.0,87,81,89,71,65
70.5,77,83,83,70,66
71.0,93,86,90,71,66
71.5,89,80,86,71,65
72.0,77,85,85,70,65
72.5,77,88,82,70,65
73.0,82,84,85,71,65
73.5,89,87,87,71,66
74.0,90,89,86,70,66
74.5,82,88,86,71,66
75.0,83,86,89,71,66
75.5,93,82,88,70,66
76.0,96,84,89,71,66
76.5,82,85,85,71,65
77.0,92,83,83,71,66
77.5,86,80,85,71,66
78.0,85,83,87,71,66
78.5,92,87,85,71,66
79.0,80,93,81,70,65
79.5,80,86,84,70,65
80.0,88,83,82,70,65
80.5,80,82,89,70,65
81.0,79,85,80,70,66
81.5,81,86,83,70,65
82.0,86,85,80,69,65
82.5,82,89,80,70,65
83.0,90,87,82,70,65
83.5,80,80,82,70,65
84.0,82,88,85,69,65
84.5,89,82,82,70,65
85.0,91,85,84,69,65
85.5,85,86,90,71,65
86.0,81,81,84,70,66
86.5,87,81,83,70,65
87.0,90,87,82,70,65
87.5,87,84,81,70,65
88.0,85,85,80,69,65
88.5,78,84,80,69,65
89.0,89,82,81,69,65
89.5,89,79,81,69,65
90.0,82,84,81,69,64
90.5,78,77,79,69,64
91.0,82,82,80,68,64
91.5,84,84,79,69,64
92.0,84,77,79,68,64
92.5,81,80,79,68,64
93.0,82,76,78,68,64
93.5,85,75,78,68,64
94.0,83,82,79,68,64
94.5,77,79,76,68,63
95.0,83,80,78,68,63
95.5,77,79,77,67,64
96.0,80,76,76,68,63
96.5,75,76,78,67,63
97.0,77,77,75,67,64
97.5,82,75,78,66,63
98.0,82,78,74,66,63
98.5,79,79,75,67,63
99.0,78,80,75,68,63
99.5,77,76,76,67,63
100.0,82,75,75,67,63
100.5,82,79,76,66,63
101.0,73,77,74,67,63
101.5,78,80,75,67,63
102.0,83,79,74,66,63
102.5,79,76,72,66,63
103.0,82,79,74,67,63
103.5,85,73,75,66,63
104.0,72,74,74,66,63
104.5,77,76,75,67,63
105.0,74,77,75,66,63
105.5,76,76,72,66,62
106.0,76,76,73,66,62
106.5,77,74,72,66,62
107.0,87,77,74,66,63
107.5,75,79,73,66,62
108.0,77,76,74,67,63
108.5,79,76,74,66,62
109.0,77,76,74,66,62
109.5,80,76,76,66,63
110.0,85,76,75,66,63
110.5,76,75,74,66,63
111.0,80,76,76,66,62
111.5,82,77,73,66,63
112.0,73,75,74,66,62
112.5,76,75,75,66,62
113.0,80,77,74,67,62
113.5,73,77,74,66,63
114.0,76,75,74,66,62
114.5,87,74,74,66,63
115.0,86,77,74,66,62
115.5,74,75,74,66,62
116.0,83,76,75,66,63
116.5,77,75,73,66,62
117.0,77,75,74,66,62
117.5,78,75,73,66,62
118.0,77,75,72,66,62
118.5,73,75,73,66,62
119.0,81,75,71,66,61
119.5,85,76,72,65,61
120.0,72,72,71,65,61
120.5,77,74,72,65,61
121.0,76,75,72,65,61
121.5,82,77,73,65,61
122.0,82,76,71,65,61
122.5,82,76,72,65,61
123.0,82,75,71,65,61
123.5,72,73,71,65,61
124.0,78,73,71,64,61
124.5,76,73,71,65,61
125.0,74,72,71,64,60
125.5,77,71,71,64,61
126.0,73,72,71,64,61
126.5,74,70,70,64,60
127.0,76,72,71,64,60
127.5,74,71,70,65,60
128.0,76,72,69,64,60
128.5,77,73,71,64,60
129.0,71,70,70,64,60
129.5,72,72,69,64,60
130.0,75,72,70,64,60
130.5,73,71,71,64,60
131.0,72,71,70,63,60
131.5,73,71,71,64,60
132.0,71,71,70,64,60
132.5,72,70,68,63,60
133.0,72,69,69,62,60
133.5,73,70,69,62,59
134.0,72,71,68,62,59
134.5,72,70,69,62,60
135.0,74,70,68,62,59
135.5,70,67,68,62,59
136.0,72,69,69,62,59
136.5,70,70,69,62,59
137.0,72,68,68,62,59
137.5,73,69,68,62,59
138.0,73,69,69,62,59
138.5,71,70,69,62,59
139.0,70,70,68,62,59
139.5,69,70,69,62,59
140.0,74,71,69,61,59
140.5,72,70,68,62,59
141.0,67,70,68,62,59
141.5,72,69,68,62,59
142.0,70,70,68,62,59
142.5,70,69,68,62,59
143.0,72,70,69,62,58
143.5,71,69,67,62,59
144.0,69,69,68,62,59
144.5,70,70,68,62,59
145.0,70,69,68,62,59
145.5,70,69,68,62,59
146.0,69,67,66,61,58
146.5,69,69,67,62,58
147.0,69,68,68,62,58
147.5,69,68,68,62,59
148.0,70,69,68,62,59
148.5,68,69,68,62,58
149.0,68,69,67,62,58
149.5,70,69,67,62,59
150.0,70,68,67,62,59
150.5,70,69,67,61,59
151.0,69,69,67,62,58
151.5,69,68,68,62,59
152.0,69,69,68,61,59
152.5,68,68,67,62,58
153.0,70,67,68,61,58
153.5,67,68,68,61,59
154.0,71,69,67,62,59
154.5,67,67,67,61,58
155.0,69,69,68,62,58
155.5,70,69,67,61,58
156.0,67,68,68,61,58
156.5,69,69,67,62,58
157.0,69,68,68,61,58
157.5,70,67,67,61,58
158.0,68,69,67,61,58
158.5,66,68,66,61,58
159.0,69,68,67,61,57
159.5,67,68,68,61,57
160.0,69,68,67,61,57
160.5,68,68,67,61,57
161.0,69,68,66,61,58
161.5,67,67,67,61,58
162.0,69,68,68,61,57
162.5,69,69,67,61,57
163.0,67,68,67,61,58
163.5,67,69,67,61,58
164.0,70,68,67,61,58
164.5,71,68,67,61,57
165.0,70,68,67,60,57
165.5,67,67,66,61,57
166.0,67,67,66,60,57
166.5,69,68,66,60,57
167.0,67,67,67,61,57
167.5,66,67,66,60,57
168.0,68,69,67,61,57
168.5,69,67,67,60,57
169.0,68,67,67,60,57
169.5,67,67,66,61,57
170.0,68,66,67,61,57
170.5,66,66,66,60,57
171.0,69,67,67,61,57
171.5,67,67,66,60,57
172.0,69,67,67,61,57
172.5,69,68,66,61,57
173.0,67,67,66,60,57
173.5,68,69,66,61,57
174.0,67,67,66,60,57
174.5,67,67,66,61,57
175.0,68,67,66,61,57
175.5,69,67,67,60,57
176.0,67,68,67,60,57
176.5,67,66,66,60,57
177.0,65,66,66,60,57
177.5,67,67,66,60,57
178.0,69,67,66,60,57
178.5,68,67,67,60,57
179.0,69,68,67,60,57
179.5,67,69,67,61,57
180.0,69,67,67,61,57
180.5,68,69,66,60,57
181.0,69,67,67,61,57
181.5,67,66,66,60,57
182.0,67,65,66,60,57
182.5,69,67,66,60,57
183.0,68,68,66,60,57
183.5,69,67,66,60,57
184.0,69,67,67,61,57
184.5,68,67,66,60,57
185.0,67,67,67,60,57
185.5,66,67,66,60,57
186.0,68,66,67,60,57
186.5,68,66,67,59,57
187.0,63,67,66,59,57
187.5,69,67,66,60,57
188.0,70,67,66,60,57
188.5,66,67,65,61,57
189.0,65,66,66,61,57
189.5,69,67,67,61,57
190.0,68,67,66,60,57
190.5,69,66,65,61,57
191.0,69,67,66,61,57
191.5,67,66,66,61,57
192.0,68,67,66,61,57
192.5,69,67,66,61,57
193.0,68,67,67,61,57
193.5,66,67,66,61,57
194.0,67,67,67,61,57
194.5,67,66,66,60,57
195.0,67,66,66,61,57
