time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,62,57,53,38,36
1.0,71,65,62,43,39
1.5,80,72,66,47,42
2.0,84,77,72,50,44
2.5,83,77,76,51,46
3.0,65,70,73,51,47
3.5,59,71,70,50,47
4.0,68,70,66,50,47
4.5,65,68,70,50,48
5.0,78,70,68,50,48
5.5,75,69,67,51,48
6.0,68,70,69,51,48
6.5,67,70,71,51,49
7.0,75,71,69,51,49
7.5,72,70,69,51,49
8.0,73,72,72,51,49
8.5,76,71,71,52,49
9.0,74,70,71,52,50
9.5,72,76,72,52,50
10.0,81,70,70,53,50
10.5,60,71,73,52,50
11.0,66,74,73,53,50
11.5,70,72,73,54,51
12.0,74,72,72,54,50
12.5,68,74,75,53,51
13.0,65,73,75,54,51
13.5,76,76,71,54,52
14.0,59,75,72,54,52
14.5,59,75,73,54,52
15.0,73,74,74,54,52
15.5,63,75,71,54,52
16.0,71,73,72,55,52
16.5,75,74,74,55,52
17.0,73,74,72,55,53
17.5,61,74,76,55,53
18.0,61,74,73,55,53
18.5,61,77,71,55,53
19.0,73,77,75,55,53
19.5,66,81,75,56,53
20.0,86,76,79,57,53
20.5,83,83,83,60,55
21.0,85,76,79,60,56
21.5,79,75,80,61,56
22.0,77,79,75,61,57
22.5,79,77,72,61,57
23.0,69,75,77,61,57
23.5,84,73,76,62,57
24.0,71,76,73,62,58
24.5,77,73,78,62,57
25.0,77,72,74,62,58
25.5,77,73,76,62,59
26.0,77,77,79,63,59
26.5,83,81,80,64,59
27.0,76,77,79,63,59
27.5,76,77,76,63,59
28.0,83,77,79,64,59
28.5,80,80,77,64,59
29.0,74,70,76,63,59
29.5,86,79,79,64,59
30.0,85,79,75,64,60
30.5,73,83,77,64,60
31.0,84,84,78,64,60
31.5,79,84,80,64,60
32.0,77,79,74,64,60
32.5,85,79,74,65,60
33.0,73,74,80,64,60
33.5,84,77,80,65,60
34.0,78,77,78,65,60
34.5,83,82,80,65,61
35.0,86,83,80,65,61
35.5,85,73,83,65,61
36.0,80,79,76,65,61
36.5,87,83,74,65,61
37.0,72,75,79,65,61
37.5,82,75,83,66,61
38.0,75,76,79,66,61
38.5,88,86,78,66,61
39.0,75,80,79,66,61
39.5,79,76,77,66,61
40.0,86,80,83,66,61
40.5,85,82,79,66,61
41.0,74,83,78,65,61
41.5,83,82,82,66,61
42.0,92,86,78,66,62
42.5,82,76,85,66,62
43.0,76,74,85,66,62
43.5,75,80,80,66,62
44.0,84,79,78,67,62
44.5,76,78,78,66,62
45.0,79,76,80,66,62
45.5,85,83,84,67,62
46.0,87,83,84,67,63
46.5,86,83,80,66,63
47.0,84,82,80,67,63
47.5,79,82,84,68,62
48.0,79,82,80,67,63
48.5,86,81,86,67,63
49.0,77,80,82,68,63
49.5,81,90,82,68,63
50.0,80,82,82,66,63
50.5,80,82,84,67,63
51.0,75,83,87,67,63
51.5,75,85,82,67,63
