time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,57,53,48,38,36
1.0,71,67,61,43,39
1.5,79,70,66,46,42
2.0,86,75,71,50,44
2.5,79,80,76,51,46
3.0,60,70,72,51,47
3.5,60,70,69,50,47
4.0,66,70,71,50,47
4.5,67,67,70,50,48
5.0,64,70,67,50,48
5.5,67,72,72,51,48
6.0,62,69,67,51,48
6.5,66,71,71,51,49
7.0,56,70,71,51,49
7.5,76,70,71,51,49
8.0,67,73,72,52,49
8.5,72,73,68,52,49
9.0,76,70,73,52,50
9.5,70,70,73,53,50
10.0,72,72,73,53,50
10.5,76,72,72,53,50
11.0,75,74,73,54,50
11.5,65,73,72,54,51
12.0,67,74,72,54,51
12.5,83,72,72,54,51
13.0,65,74,73,54,52
13.5,75,75,74,55,52
14.0,73,72,72,55,52
14.5,62,76,73,54,52
15.0,75,73,75,55,52
15.5,70,72,73,55,52
16.0,71,76,75,55,52
16.5,61,73,74,55,53
17.0,85,75,76,56,53
17.5,79,78,78,55,53
18.0,81,80,82,58,54
18.5,89,77,78,59,55
19.0,70,76,77,60,56
19.5,87,73,77,61,56
20.0,77,73,78,61,57
20.5,86,81,75,62,57
21.0,73,75,78,62,57
21.5,77,77,76,62,58
22.0,75,75,72,62,57
22.5,72,83,76,63,58
23.0,75,75,77,63,59
23.5,88,73,75,63,59
24.0,78,73,77,64,59
24.5,80,75,76,64,59
25.0,80,78,72,64,60
25.5,79,80,78,64,59
26.0,79,82,79,64,60
26.5,76,80,81,64,60
27.0,86,73,75,64,60
27.5,77,73,80,65,60
28.0,78,75,80,64,60
28.5,72,77,76,64,60
29.0,85,78,80,65,60
29.5,75,76,76,65,60
30.0,86,80,75,65,60
30.5,88,83,74,65,60
31.0,77,79,83,65,60
31.5,85,78,83,65,60
32.0,85,80,79,65,60
32.5,76,86,78,66,61
33.0,86,82,82,66,61
33.5,76,75,79,66,61
34.0,79,80,78,66,61
34.5,73,82,78,66,61
35.0,83,82,81,66,61
35.5,85,83,80,66,61
36.0,74,86,79,66,61
36.5,86,75,80,66,61
37.0,82,79,79,66,61
37.5,84,85,81,66,62
38.0,80,75,79,65,62
38.5,79,78,76,66,61
39.0,82,78,83,65,61
39.5,85,83,75,66,62
40.0,87,82,80,66,62
40.5,83,83,78,66,62
41.0,75,75,81,66,62
41.5,77,79,76,66,61
42.0,79,83,81,66,62
42.5,84,79,79,66,61
43.0,74,79,79,67,62
43.5,80,80,81,66,62
44.0,73,83,83,67,62
44.5,90,83,83,66,63
45.0,92,79,79,67,63
45.5,74,82,82,66,63
46.0,84,86,83,68,62
46.5,83,79,80,67,63
47.0,87,87,81,67,63
47.5,84,81,82,67,63
48.0,78,87,82,67,63
48.5,75,76,83,67,63
49.0,95,87,80,67,63
49.5,84,83,84,68,63
50.0,83,82,79,68,63
50.5,92,79,80,68,63
51.0,79,83,79,68,63
51.5,78,79,85,68,63
52.0,87,85,83,68,63
52.5,79,77,83,68,64
53.0,93,79,79,68,63
53.5,81,77,86,68,64
54.0,96,82,79,68,64
54.5,89,79,79,68,63
55.0,97,83,86,68,64
55.5,93,85,79,68,64
56.0,77,81,82,67,64
56.5,88,84,78,68,63
57.0,92,77,82,68,64
57.5,87,78,83,68,64
58.0,94,80,83,68,64
58.5,83,82,80,68,64
59.0,82,85,79,68,64
59.5,80,83,82,69,64
60.0,76,83,81,69,64
60.5,79,85,82,68,64
61.0,85,80,79,68,64
61.5,92,84,84,69,64
62.0,87,86,86,69,64
62.5,82,78,82,69,64
63.0,78,89,82,69,64
63.5,77,79,84,69,64
64.0,85,86,85,69,65
64.5,93,87,85,69,64
65.0,77,84,85,69,64
65.5,76,83,88,69,65
66.0,88,83,83,69,64
66.5,88,79,83,69,65
67.0,80,86,83,69,65
67.5,80,86,83,70,65
68.0,87,84,80,70,65
68.5,80,80,84,69,65
69.0,89,83,80,71,65
69.5,79,78,85,70,65
70.0,86,77,83,70,65
70.5,92,82,89,69,65
71.0,82,82,83,70,65
71.5,80,83,79,71,66
72.0,79,87,85,70,65
72.5,81,85,83,71,65
73.0,82,88,85,71,65
73.5,95,83,83,71,65
74.0,96,83,85,70,65
74.5,92,87,85,71,65
75.0,86,86,88,71,66
75.5,90,89,85,71,66
76.0,86,82,86,71,65
76.5,86,79,85,71,66
77.0,78,84,85,69,65
77.5,78,88,86,69,65
78.0,93,87,87,70,65
78.5,93,90,79,70,65
79.0,85,79,83,70,65
79.5,102,79,80,71,66
80.0,89,82,83,70,66
80.5,80,85,87,70,66
81.0,83,83,85,70,65
81.5,82,83,89,70,65
82.0,81,87,82,71,65
82.5,90,87,81,69,65
83.0,99,79,84,70,65
83.5,92,89,83,70,65
84.0,94,89,82,71,65
84.5,83,85,85,70,65
85.0,89,77,81,70,66
85.5,95,86,78,71,65
86.0,80,80,85,71,65
86.5,81,82,86,71,65
87.0,78,87,84,70,66
87.5,100,80,83,70,65
88.0,80,77,87,70,65
88.5,86,81,81,71,65
89.0,82,80,80,70,65
89.5,86,86,89,70,65
90.0,87,82,86,69,65
90.5,81,86,79,69,65
91.0,84,85,83,70,65
91.5,81,79,81,70,65
92.0,81,83,79,69,65
92.5,82,79,78,69,65
93.0,78,82,82,69,64
93.5,76,79,80,69,64
94.0,85,81,76,68,64
94.5,83,83,77,69,64
95.0,79,77,81,68,64
95.5,74,82,81,68,64
96.0,79,80,81,68,64
96.5,83,77,79,68,64
97.0,82,75,79,68,64
97.5,83,79,77,68,64
98.0,82,79,78,68,64
98.5,80,79,76,68,64
99.0,77,75,75,68,64
99.5,75,75,76,68,64
100.0,79,78,76,68,64
100.5,87,80,76,68,63
101.0,75,76,76,68,63
101.5,85,75,72,67,63
102.0,81,79,76,67,63
102.5,76,77,75,68,63
103.0,75,77,75,67,63
103.5,79,75,73,67,63
104.0,80,77,74,68,63
104.5,82,76,76,67,63
105.0,83,78,76,66,63
105.5,76,79,73,67,63
106.0,72,75,75,66,63
106.5,73,75,75,67,63
107.0,83,75,74,67,63
107.5,80,80,75,67,63
108.0,77,76,74,67,63
108.5,80,77,74,66,63
109.0,75,75,74,66,62
109.5,76,79,74,66,63
110.0,76,77,74,66,63
110.5,79,76,73,66,63
111.0,82,77,75,67,62
111.5,83,79,74,67,63
112.0,77,73,75,66,62
112.5,78,77,74,66,63
113.0,81,77,76,66,62
113.5,83,79,76,67,63
114.0,77,76,76,66,63
114.5,79,79,75,66,63
115.0,78,74,75,66,62
115.5,82,74,72,66,63
116.0,73,76,74,66,62
116.5,75,77,74,66,62
117.0,80,75,73,66,62
117.5,82,80,73,66,62
118.0,77,75,72,66,62
118.5,75,76,74,66,62
119.0,78,74,74,66,62
119.5,77,74,72,65,61
120.0,80,76,72,66,62
120.5,80,76,72,65,62
121.0,77,75,74,65,61
121.5,71,75,72,66,61
122.0,80,77,72,66,62
122.5,74,72,72,65,61
