time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,62,55,52,37,36
1.0,73,65,63,43,39
1.5,79,72,65,47,42
2.0,79,78,72,49,44
2.5,81,72,71,50,46
3.0,63,70,69,50,46
3.5,62,68,69,49,46
4.0,70,67,66,50,46
4.5,67,68,69,49,47
5.0,75,68,69,49,47
5.5,75,68,68,50,47
6.0,57,68,68,51,48
6.5,55,70,71,50,48
7.0,77,71,71,51,48
7.5,56,71,68,51,49
8.0,71,72,71,51,49
8.5,73,71,72,52,49
9.0,70,72,69,51,49
9.5,66,74,72,52,50
10.0,65,74,70,52,50
10.5,70,71,71,53,50
11.0,71,72,70,53,50
11.5,67,72,73,53,50
12.0,69,72,73,53,51
12.5,65,74,75,54,51
13.0,76,73,74,54,51
13.5,72,75,71,54,52
14.0,61,75,73,54,52
14.5,64,75,73,54,52
15.0,72,74,76,54,52
15.5,75,74,75,54,52
16.0,67,74,74,55,52
16.5,77,75,76,55,53
17.0,70,74,73,55,53
17.5,65,76,74,55,52
18.0,73,73,75,55,53
18.5,90,85,83,59,55
19.0,77,85,80,60,55
19.5,89,79,75,60,56
20.0,85,80,81,61,56
20.5,86,82,76,62,57
21.0,87,79,78,62,57
21.5,72,73,76,62,58
22.0,72,78,78,62,58
22.5,85,76,78,62,59
23.0,73,82,76,64,59
23.5,82,82,78,63,59
24.0,86,73,73,63,59
24.5,85,74,77,64,59
25.0,86,80,74,63,59
25.5,77,79,78,64,59
26.0,80,79,75,64,59
26.5,85,79,78,63,59
27.0,74,78,78,64,59
27.5,73,75,79,64,60
28.0,83,75,73,64,60
28.5,72,80,79,65,60
29.0,76,83,79,65,61
29.5,92,79,82,65,60
30.0,85,83,76,65,60
30.5,84,73,73,64,60
31.0,81,77,76,65,61
31.5,83,78,79,65,60
32.0,86,75,79,65,60
32.5,87,80,83,65,61
33.0,85,83,76,66,61
33.5,90,82,78,65,61
34.0,77,76,75,65,61
34.5,86,81,79,66,61
35.0,84,82,75,65,61
35.5,95,82,77,66,61
36.0,86,85,83,66,61
36.5,85,81,82,66,61
37.0,81,82,76,66,61
37.5,76,75,78,66,62
38.0,77,85,80,66,61
38.5,73,78,79,66,62
39.0,85,85,81,66,62
39.5,86,80,79,66,61
40.0,89,77,78,66,61
40.5,79,77,85,66,61
41.0,87,76,75,66,62
41.5,77,83,78,66,62
42.0,92,85,86,67,62
42.5,95,82,80,66,62
43.0,89,80,85,67,63
43.5,96,85,84,67,63
44.0,75,86,76,66,62
44.5,87,84,82,66,63
45.0,92,82,84,68,63
45.5,84,79,76,67,63
46.0,82,79,82,68,63
46.5,89,87,82,68,63
47.0,90,85,78,68,63
47.5,75,87,79,68,63
48.0,75,82,80,67,63
48.5,77,87,83,67,63
49.0,87,92,81,68,63
49.5,73,80,78,68,63
50.0,89,77,85,68,63
50.5,86,83,82,67,63
