time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,60,51,52,38,37
1.0,70,65,63,43,39
1.5,80,69,67,46,42
2.0,85,78,74,50,44
2.5,86,82,78,51,46
3.0,75,80,79,53,48
3.5,92,82,82,55,50
4.0,82,78,76,55,50
4.5,64,75,73,54,50
5.0,74,73,71,53,50
5.5,69,75,72,52,50
6.0,67,71,71,52,50
6.5,70,73,71,52,50
7.0,74,75,72,53,50
7.5,63,74,75,53,50
8.0,63,74,71,53,50
8.5,69,73,73,53,51
9.0,79,72,70,52,50
9.5,64,72,73,53,51
10.0,69,71,74,54,51
10.5,65,75,74,54,51
11.0,67,74,75,54,52
11.5,59,75,74,54,52
12.0,60,75,72,54,52
12.5,72,75,71,55,52
13.0,79,74,72,55,52
13.5,81,76,73,55,52
14.0,64,75,75,55,53
14.5,61,75,76,55,52
15.0,68,76,76,55,53
15.5,72,74,73,55,53
16.0,86,79,76,55,53
16.5,66,76,73,56,53
17.0,72,75,72,56,53
17.5,76,78,73,56,53
18.0,61,75,76,56,53
18.5,73,79,73,57,54
19.0,78,78,78,56,54
19.5,70,76,77,57,54
20.0,62,76,76,56,54
20.5,72,78,74,57,54
21.0,72,77,76,57,54
21.5,82,79,72,57,55
22.0,83,77,80,58,55
22.5,82,82,78,61,56
23.0,75,73,76,61,57
23.5,85,75,75,62,57
24.0,83,76,77,62,57
24.5,74,73,80,62,57
25.0,85,71,75,62,58
25.5,87,84,74,62,58
26.0,84,80,72,62,59
26.5,72,76,73,62,59
27.0,80,80,73,63,59
27.5,74,83,74,63,59
28.0,86,79,75,64,59
28.5,76,80,77,64,59
29.0,70,77,79,64,60
29.5,85,80,77,64,60
30.0,72,73,76,64,60
30.5,80,77,76,64,60
31.0,79,75,79,65,60
31.5,79,77,79,65,60
32.0,77,77,75,65,60
32.5,87,78,81,65,60
33.0,82,83,80,65,60
33.5,83,79,72,65,61
34.0,85,87,81,65,61
34.5,82,80,79,65,61
35.0,76,78,80,66,61
35.5,72,82,80,65,61
36.0,82,77,79,66,61
36.5,83,79,80,66,61
37.0,88,85,82,66,61
37.5,78,73,75,66,61
38.0,77,83,80,66,61
38.5,91,83,78,66,61
39.0,88,79,80,66,61
39.5,76,80,78,66,62
40.0,77,80,77,66,62
40.5,91,84,82,66,62
41.0,85,81,75,66,62
41.5,85,86,82,66,62
42.0,85,82,79,66,63
42.5,91,83,82,67,63
43.0,79,80,78,67,63
43.5,79,83,83,67,63
44.0,87,89,83,67,63
44.5,98,86,79,68,63
