time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,63,50,49,38,37
1.0,72,67,63,44,39
1.5,82,66,66,47,42
2.0,90,77,72,50,45
2.5,88,79,77,52,48
3.0,66,75,75,52,48
3.5,63,71,71,51,49
4.0,70,72,70,51,49
4.5,66,71,70,51,49
5.0,62,70,69,51,49
5.5,70,71,72,52,49
6.0,65,70,70,52,49
6.5,60,72,71,52,50
7.0,57,71,71,52,49
7.5,70,73,71,52,49
8.0,67,73,73,53,50
8.5,72,72,71,53,50
9.0,73,72,72,53,50
9.5,63,74,71,53,51
10.0,70,72,72,53,51
10.5,66,74,74,54,52
11.0,83,73,73,54,52
11.5,79,73,71,54,52
12.0,80,74,73,55,52
12.5,67,75,75,54,52
13.0,67,76,73,54,52
13.5,64,75,71,55,52
14.0,74,74,71,55,53
14.5,69,72,72,55,53
15.0,62,75,76,56,53
15.5,63,76,73,56,53
16.0,65,76,74,56,53
16.5,75,74,75,57,53
17.0,83,75,77,56,54
17.5,65,76,77,57,54
18.0,78,76,73,56,54
18.5,70,78,77,57,54
19.0,89,84,83,61,55
19.5,73,79,81,61,56
20.0,71,80,75,61,57
20.5,88,79,82,62,57
21.0,83,72,76,62,58
21.5,86,85,80,62,59
22.0,73,80,79,63,59
22.5,81,83,78,63,59
23.0,82,77,79,64,59
23.5,83,86,78,64,59
24.0,75,76,77,64,59
24.5,79,76,75,64,60
25.0,70,77,80,64,60
25.5,76,79,79,64,60
26.0,80,74,80,65,60
26.5,90,75,81,65,60
27.0,72,80,82,64,60
27.5,74,81,79,65,60
28.0,82,78,75,65,60
28.5,79,77,78,65,60
29.0,76,82,79,65,61
29.5,72,80,82,65,61
30.0,89,82,75,65,60
30.5,82,79,76,65,61
31.0,73,82,79,65,61
31.5,73,85,82,65,61
32.0,72,77,78,65,61
32.5,86,80,80,66,61
33.0,86,84,78,66,61
33.5,83,79,79,65,61
34.0,75,81,81,65,61
34.5,88,78,80,66,62
35.0,92,85,77,66,61
35.5,92,80,80,67,62
36.0,79,81,78,66,61
36.5,87,81,82,67,62
37.0,87,80,85,67,62
37.5,82,80,82,67,62
38.0,81,76,79,67,63
38.5,95,86,79,66,63
39.0,95,85,77,68,63
39.5,78,79,79,66,63
40.0,82,82,85,67,63
40.5,77,78,82,67,63
41.0,89,83,80,67,63
41.5,85,85,80,68,63
42.0,84,82,80,68,63
42.5,82,84,83,67,63
43.0,81,79,78,68,63
