time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,62,58,55,38,37
1.0,73,67,64,44,40
1.5,83,72,68,48,43
2.0,80,82,76,51,46
2.5,92,82,79,52,48
3.0,82,79,77,54,49
3.5,72,79,78,55,50
4.0,67,76,76,54,51
4.5,64,74,74,53,50
5.0,65,74,72,54,50
5.5,69,74,72,54,51
6.0,72,71,69,54,51
6.5,73,75,72,54,51
7.0,61,75,72,53,51
7.5,73,74,72,54,51
8.0,69,74,73,54,52
8.5,70,76,72,54,52
9.0,83,72,76,54,52
9.5,76,75,75,54,52
10.0,76,75,75,55,52
10.5,80,77,72,54,52
11.0,76,73,70,55,52
11.5,65,75,76,55,53
12.0,76,76,72,55,53
12.5,61,75,75,55,53
13.0,64,77,78,55,53
13.5,61,76,75,55,53
14.0,72,78,75,56,53
14.5,74,74,76,56,54
15.0,69,76,75,56,53
15.5,73,76,77,56,53
16.0,63,76,77,57,54
16.5,74,75,75,57,54
17.0,76,76,75,57,54
17.5,80,78,73,57,54
18.0,64,79,78,57,55
18.5,76,78,75,57,55
19.0,71,80,80,58,55
19.5,81,76,80,57,55
20.0,70,74,79,59,55
20.5,93,80,80,61,57
21.0,87,86,79,62,57
21.5,80,74,76,63,58
22.0,82,78,78,63,59
22.5,80,82,74,64,59
23.0,88,84,75,63,59
23.5,71,79,80,64,59
24.0,79,76,80,64,59
24.5,77,82,78,64,60
25.0,87,82,75,64,60
25.5,75,78,82,64,60
26.0,82,80,77,65,60
26.5,75,85,80,64,60
27.0,83,79,77,65,60
27.5,81,80,80,65,60
28.0,76,76,79,66,61
28.5,79,74,79,65,61
29.0,83,85,83,65,61
29.5,75,79,80,66,61
30.0,77,83,77,65,61
30.5,74,80,76,65,61
31.0,83,79,79,66,61
31.5,76,79,79,66,61
32.0,80,80,83,66,61
32.5,83,73,83,66,62
33.0,79,75,82,66,61
33.5,87,75,82,66,62
34.0,86,80,80,66,62
34.5,77,80,79,67,62
35.0,77,82,82,67,63
35.5,76,75,79,67,63
36.0,79,83,83,66,63
36.5,79,78,85,67,63
37.0,75,76,81,67,63
37.5,79,80,77,66,63
38.0,79,76,81,67,63
38.5,76,90,82,67,62
39.0,85,83,85,68,63
39.5,83,76,78,67,63
40.0,82,89,82,68,63
40.5,79,76,80,68,63
41.0,76,83,80,67,63
41.5,79,77,79,68,63
42.0,78,82,80,67,63
42.5,95,83,80,68,63
43.0,77,85,79,68,63
43.5,81,79,82,68,64
44.0,77,76,80,68,63
44.5,83,83,80,68,63
45.0,92,90,80,68,64
45.5,83,76,82,68,64
46.0,77,85,83,68,64
46.5,85,89,83,68,64
47.0,76,83,83,69,64
47.5,92,83,83,69,64
48.0,84,81,86,69,64
48.5,80,85,84,68,64
49.0,82,76,82,68,64
49.5,86,79,84,69,64
50.0,90,78,85,69,64
50.5,78,89,84,69,64
51.0,76,82,80,69,64
51.5,88,82,83,68,65
52.0,85,84,82,69,64
52.5,85,81,79,69,64
53.0,83,83,87,69,65
53.5,77,86,83,69,64
54.0,93,81,82,69,65
54.5,89,90,83,69,65
55.0,83,81,82,69,65
55.5,78,83,83,69,65
56.0,79,85,85,69,65
56.5,82,87,79,69,65
57.0,79,82,86,69,65
57.5,84,89,85,70,65
58.0,92,81,88,69,65
58.5,78,86,80,70,65
59.0,81,87,80,71,65
59.5,89,89,81,70,65
60.0,92,82,86,70,65
60.5,93,86,85,70,65
61.0,86,88,83,70,65
61.5,81,79,83,70,65
62.0,79,84,82,70,65
62.5,85,83,85,70,65
63.0,92,87,85,71,65
63.5,79,92,80,71,66
64.0,92,85,83,70,66
64.5,90,83,87,71,66
65.0,83,80,85,71,66
65.5,92,82,84,71,65
66.0,79,83,86,71,66
66.5,85,80,85,71,66
67.0,81,83,83,70,66
67.5,85,81,86,71,66
68.0,87,80,87,71,67
68.5,80,82,85,71,66
69.0,88,85,85,71,66
69.5,79,85,82,70,65
70.0,78,85,86,71,66
70.5,84,87,80,71,65
71.0,83,87,82,71,65
71.5,79,81,80,71,65
72.0,87,85,80,71,65
72.5,85,82,75,69,65
73.0,86,79,79,69,65
73.5,83,80,83,69,65
74.0,82,82,81,69,65
74.5,80,79,79,69,65
75.0,79,78,78,69,64
75.5,78,76,81,68,64
76.0,81,83,79,68,64
76.5,82,78,79,68,64
77.0,77,80,76,68,64
77.5,82,81,79,68,64
78.0,81,79,76,68,64
78.5,82,80,78,68,64
79.0,78,77,77,68,64
79.5,76,77,76,68,63
80.0,77,77,77,68,63
80.5,82,76,75,68,64
81.0,82,78,74,67,63
81.5,76,81,78,68,63
82.0,76,80,74,67,63
82.5,77,81,75,67,63
83.0,76,74,76,67,63
83.5,79,79,78,67,63
84.0,72,76,75,67,63
84.5,75,79,75,67,63
85.0,76,76,76,67,63
85.5,81,78,76,68,63
86.0,80,77,72,66,63
86.5,73,77,74,67,63
87.0,79,74,74,67,63
87.5,73,76,73,67,63
88.0,72,77,74,66,63
88.5,76,74,76,67,63
89.0,76,77,76,67,63
89.5,76,76,74,66,62
90.0,76,73,76,66,63
90.5,79,76,75,66,63
91.0,77,77,75,66,63
91.5,75,74,74,66,63
92.0,80,76,73,66,63
92.5,79,76,73,66,62
93.0,73,75,72,65,62
93.5,75,73,74,66,62
94.0,73,73,72,66,62
94.5,82,75,72,66,62
95.0,82,75,72,66,62
95.5,77,72,74,66,62
96.0,77,73,73,65,62
96.5,75,76,73,65,61
97.0,75,73,71,65,61
97.5,72,72,71,66,62
98.0,82,75,70,64,61
98.5,81,75,72,65,61
99.0,79,73,72,65,61
99.5,73,73,72,66,61
100.0,76,73,71,66,61
100.5,75,72,71,66,61
101.0,77,75,71,66,61
101.5,79,71,72,65,61
102.0,77,75,73,66,62
102.5,79,74,71,65,61
103.0,71,76,72,65,61
103.5,74,73,71,65,61
104.0,75,72,72,65,61
104.5,77,72,72,65,61
105.0,79,73,72,65,61
105.5,76,74,72,66,61
106.0,75,73,71,65,61
106.5,75,72,71,65,61
107.0,76,72,71,65,61
107.5,71,73,71,65,61
108.0,73,72,71,65,61
108.5,76,72,70,65,60
109.0,76,72,70,65,61
109.5,72,69,69,64,60
110.0,73,70,70,64,60
110.5,74,72,70,64,60
111.0,75,72,70,64,60
111.5,75,72,70,64,60
112.0,74,72,71,64,60
112.5,77,72,70,64,60
113.0,72,71,70,64,60
113.5,71,70,71,64,60
114.0,70,71,70,63,60
114.5,72,70,70,63,60
115.0,71,70,69,64,60
115.5,72,70,69,63,60
116.0,71,70,69,63,60
116.5,70,69,68,63,60
117.0,70,70,68,63,60
117.5,70,70,68,62,59
118.0,67,69,68,63,60
118.5,70,69,68,63,59
119.0,71,71,68,63,59
119.5,71,70,68,62,59
120.0,70,70,69,63,59
120.5,70,70,68,63,59
121.0,71,69,68,62,59
121.5,70,69,69,62,59
122.0,70,69,68,62,59
122.5,69,68,67,62,59
123.0,67,69,67,62,59
123.5,69,69,68,62,59
124.0,70,70,67,62,59
124.5,71,69,68,62,59
125.0,67,68,67,61,59
125.5,70,68,68,61,59
126.0,70,69,68,61,59
126.5,70,70,68,62,59
127.0,70,70,68,61,59
127.5,70,69,68,62,58
128.0,69,70,68,61,59
128.5,70,69,68,62,59
129.0,70,69,68,62,59
129.5,67,69,69,62,59
130.0,67,68,68,61,58
130.5,68,69,68,62,58
131.0,69,69,67,62,58
131.5,68,68,68,62,58
132.0,69,67,67,62,58
132.5,69,68,68,61,59
133.0,68,69,68,61,57
133.5,69,68,67,61,58
134.0,70,69,67,61,58
134.5,69,68,68,62,58
135.0,70,68,68,61,57
135.5,68,67,68,61,58
136.0,69,67,68,61,58
136.5,70,69,68,61,58
137.0,69,69,68,62,59
137.5,70,68,68,62,58
138.0,69,69,68,62,59
