time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,62,60,57,40,38
1.0,78,68,64,44,41
1.5,80,70,67,48,43
2.0,90,79,75,51,45
2.5,86,81,78,52,48
3.0,69,72,74,52,49
3.5,58,71,69,51,49
4.0,78,70,68,51,49
4.5,63,71,69,51,49
5.0,81,71,73,51,49
5.5,65,73,73,52,50
6.0,63,71,72,52,50
6.5,70,71,73,52,50
7.0,62,72,72,54,50
7.5,66,73,70,53,50
8.0,66,74,72,53,51
8.5,66,72,72,54,51
9.0,77,73,75,54,51
9.5,65,74,71,54,52
10.0,72,74,71,55,52
10.5,82,74,76,55,52
11.0,65,76,75,55,53
11.5,72,74,75,55,53
12.0,71,75,71,55,53
12.5,79,75,76,55,53
13.0,68,74,74,55,53
13.5,68,75,75,56,53
14.0,67,76,76,56,53
14.5,75,74,74,56,53
15.0,62,76,72,56,53
15.5,81,76,75,57,54
16.0,77,75,75,57,54
16.5,71,77,78,57,55
17.0,74,77,74,57,54
17.5,67,76,78,57,55
18.0,67,78,75,58,55
18.5,65,78,77,57,55
19.0,93,88,86,60,56
19.5,79,80,78,61,57
20.0,76,78,75,62,57
20.5,89,82,80,64,59
21.0,87,80,79,63,59
21.5,83,73,78,64,59
22.0,73,81,83,64,60
22.5,75,73,78,64,60
23.0,83,79,80,65,60
23.5,86,75,80,65,60
24.0,71,83,78,65,60
24.5,89,82,78,65,60
25.0,73,80,75,64,60
25.5,82,79,82,65,61
26.0,73,81,79,66,61
26.5,77,78,83,65,61
27.0,86,81,78,65,61
27.5,73,84,84,66,61
28.0,81,85,80,65,61
28.5,73,79,80,66,61
29.0,76,81,78,66,62
29.5,76,75,78,66,61
30.0,86,82,78,66,61
30.5,84,78,84,66,61
31.0,84,82,81,65,61
31.5,91,73,76,66,61
32.0,83,86,83,67,61
32.5,95,76,82,67,62
33.0,79,81,84,66,63
33.5,91,81,84,66,63
34.0,79,79,85,66,63
34.5,78,80,82,67,63
35.0,80,80,82,68,63
35.5,87,76,77,67,63
36.0,73,80,79,68,63
36.5,90,86,84,68,63
37.0,89,80,82,68,63
37.5,89,83,82,68,63
38.0,83,83,80,68,64
38.5,83,83,86,68,64
39.0,83,76,80,68,63
39.5,80,83,79,68,63
40.0,77,83,85,68,63
40.5,87,86,81,68,64
41.0,81,82,85,68,64
41.5,87,83,82,68,63
42.0,81,86,82,68,63
42.5,76,87,83,69,64
43.0,80,89,83,68,64
43.5,90,87,79,68,64
44.0,78,80,79,68,64
44.5,82,80,86,68,64
45.0,79,87,79,69,64
45.5,81,83,78,69,65
46.0,77,86,83,69,64
46.5,89,81,85,69,64
47.0,86,83,83,69,64
47.5,85,83,80,69,65
48.0,80,82,83,69,65
48.5,89,87,82,69,64
49.0,76,88,83,69,65
49.5,82,89,87,69,65
50.0,83,76,82,69,65
50.5,84,83,80,69,65
51.0,86,79,82,69,65
51.5,88,86,87,69,65
52.0,94,78,83,69,65
52.5,79,79,89,69,65
53.0,80,80,84,69,64
53.5,82,80,83,69,65
54.0,84,86,80,70,65
54.5,88,79,80,69,65
55.0,80,86,80,69,65
55.5,79,83,83,69,65
56.0,79,83,83,69,65
56.5,88,81,83,69,65
57.0,77,77,83,69,65
57.5,84,87,79,69,65
58.0,80,82,78,69,65
58.5,82,79,83,70,65
59.0,80,79,83,69,65
59.5,79,80,86,69,65
60.0,82,77,79,69,65
60.5,87,77,83,69,65
61.0,82,80,78,69,65
61.5,85,85,77,69,65
62.0,86,80,78,69,65
62.5,83,80,80,69,65
63.0,79,81,80,69,65
63.5,74,79,80,69,64
64.0,86,78,80,69,64
64.5,82,79,78,68,64
65.0,84,83,78,68,64
65.5,78,80,78,68,64
66.0,80,81,76,68,64
66.5,80,78,76,68,64
67.0,82,76,79,68,64
67.5,81,77,76,68,64
68.0,80,79,76,68,64
68.5,76,81,77,68,64
69.0,80,80,74,68,64
69.5,81,77,77,68,64
70.0,83,76,77,68,64
70.5,77,77,76,68,64
71.0,85,77,77,68,63
71.5,76,77,75,68,63
72.0,86,79,75,68,63
72.5,80,75,76,67,63
73.0,76,78,76,67,63
73.5,85,75,77,67,63
74.0,85,79,76,68,63
74.5,80,76,74,67,63
75.0,80,80,74,68,64
75.5,80,75,74,68,63
76.0,84,80,76,67,63
76.5,78,79,76,67,63
77.0,75,77,75,67,63
77.5,74,76,75,67,63
78.0,83,75,74,67,63
78.5,79,79,74,67,63
79.0,79,73,74,66,63
79.5,87,77,72,66,62
80.0,77,77,72,66,63
80.5,78,75,74,66,62
81.0,78,74,73,66,62
81.5,82,77,72,66,63
82.0,80,75,72,66,63
82.5,82,76,74,66,62
83.0,73,78,72,66,62
83.5,75,75,72,66,63
84.0,85,76,74,66,63
84.5,81,75,72,66,62
85.0,80,75,71,66,62
85.5,82,75,73,66,62
86.0,76,77,73,66,62
86.5,79,73,73,66,62
87.0,75,75,73,66,62
87.5,84,75,74,66,62
88.0,77,76,72,66,62
88.5,84,77,72,66,62
89.0,76,73,72,65,62
89.5,78,72,71,66,62
90.0,77,75,71,66,61
90.5,80,76,72,65,62
91.0,81,75,72,66,61
91.5,85,76,72,66,62
92.0,76,74,72,66,62
92.5,79,75,72,65,61
93.0,80,75,72,65,61
93.5,80,76,73,66,62
94.0,75,76,72,66,62
94.5,82,74,71,65,62
95.0,80,76,70,65,61
95.5,84,74,72,66,62
96.0,72,73,72,65,62
96.5,75,72,71,65,61
97.0,76,73,71,65,61
97.5,72,72,70,64,61
98.0,74,72,71,65,61
98.5,78,72,71,64,61
99.0,74,72,70,65,61
99.5,74,71,71,65,61
100.0,73,71,70,65,61
100.5,74,72,70,65,61
101.0,77,71,68,65,61
101.5,75,73,70,64,61
102.0,70,73,68,65,61
102.5,72,71,70,64,61
103.0,73,71,71,64,61
103.5,75,71,70,64,60
104.0,72,70,70,64,60
104.5,74,70,70,64,60
105.0,72,71,70,64,60
105.5,72,72,70,64,60
106.0,73,71,69,64,60
106.5,70,71,70,64,60
107.0,74,70,68,64,60
107.5,72,71,70,64,60
108.0,70,71,69,64,60
108.5,73,70,69,64,60
109.0,71,72,70,63,60
109.5,70,70,69,63,60
110.0,71,69,68,64,60
110.5,71,70,69,64,60
111.0,72,70,69,63,60
111.5,71,70,70,63,60
112.0,72,70,70,64,60
112.5,72,71,68,62,60
113.0,72,71,69,62,59
113.5,71,70,69,63,59
114.0,70,70,69,63,60
114.5,70,70,68,62,60
115.0,70,70,68,62,59
115.5,72,69,68,62,59
116.0,69,70,68,63,59
116.5,71,69,68,62,59
117.0,71,70,68,63,59
117.5,67,69,68,62,59
118.0,70,70,68,62,59
118.5,72,70,68,62,59
119.0,69,69,69,62,59
119.5,71,70,69,62,59
120.0,71,69,68,62,59
120.5,70,68,69,62,59
121.0,70,70,69,62,59
121.5,69,69,69,62,59
122.0,71,70,68,62,59
122.5,69,68,68,62,59
123.0,71,69,68,61,59
123.5,69,69,68,61,58
124.0,69,69,68,61,59
124.5,69,69,67,62,59
125.0,67,70,68,62,59
125.5,70,69,69,62,58
126.0,72,70,68,62,59
