time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,60,57,50,40,38
1.0,79,69,64,44,41
1.5,85,69,71,48,44
2.0,89,77,75,51,46
2.5,87,82,79,52,48
3.0,86,85,82,55,49
3.5,79,76,78,55,51
4.0,73,76,76,55,52
4.5,70,74,73,54,51
5.0,72,73,74,54,51
5.5,71,74,75,54,52
6.0,74,73,72,54,51
6.5,60,73,73,54,51
7.0,77,74,72,54,52
7.5,69,73,72,54,52
8.0,69,74,72,54,52
8.5,60,74,74,54,52
9.0,77,75,73,55,52
9.5,62,75,71,55,53
10.0,76,74,72,55,53
10.5,67,75,72,55,53
11.0,66,74,76,55,53
11.5,82,76,72,56,53
12.0,80,77,75,56,53
12.5,73,74,75,56,54
13.0,62,76,76,56,53
13.5,63,76,75,56,53
14.0,63,77,75,57,54
14.5,78,78,75,57,54
15.0,73,76,76,57,55
15.5,76,75,76,57,55
16.0,67,78,78,57,55
16.5,76,76,76,57,55
17.0,71,79,77,57,55
17.5,87,77,80,57,55
18.0,83,84,79,61,56
18.5,73,76,72,61,57
19.0,84,76,79,61,57
19.5,78,85,74,62,58
20.0,84,79,76,62,59
20.5,83,73,76,63,59
21.0,79,81,80,63,58
21.5,80,79,74,64,59
22.0,70,82,77,64,59
22.5,87,82,74,64,59
23.0,77,84,82,65,60
23.5,89,83,79,65,60
24.0,79,82,76,65,60
24.5,76,78,79,65,61
25.0,79,73,76,64,60
25.5,97,82,79,65,61
26.0,80,75,78,65,61
26.5,88,82,77,66,61
27.0,77,75,81,65,61
27.5,77,77,81,66,61
28.0,76,82,75,66,61
28.5,77,83,80,65,61
29.0,76,80,76,66,61
29.5,79,75,84,66,61
30.0,99,78,77,66,61
30.5,76,82,74,66,62
31.0,87,82,76,66,62
31.5,85,83,76,66,62
32.0,79,82,79,66,62
32.5,83,86,76,66,62
33.0,77,77,83,67,63
33.5,79,79,83,66,63
34.0,77,80,79,66,63
34.5,92,83,79,68,63
35.0,77,79,83,67,63
35.5,99,79,78,67,63
36.0,89,79,80,67,63
36.5,80,79,83,67,63
37.0,79,83,84,67,63
37.5,90,81,79,67,63
38.0,85,81,80,68,63
38.5,86,79,86,67,63
39.0,99,76,85,67,63
39.5,82,81,78,68,64
40.0,80,78,80,67,63
40.5,91,80,76,67,63
41.0,86,79,77,68,63
41.5,78,76,79,67,63
42.0,83,80,76,68,63
42.5,86,82,85,68,64
43.0,83,83,83,68,64
43.5,76,79,87,68,64
44.0,83,92,80,68,64
44.5,79,83,80,69,64
45.0,77,84,81,68,64
45.5,89,81,81,69,64
46.0,83,85,78,68,64
46.5,77,80,82,69,64
47.0,82,77,80,68,64
47.5,81,82,85,69,64
48.0,83,82,85,69,64
48.5,82,77,84,69,64
49.0,95,81,80,68,64
49.5,80,81,83,69,64
50.0,96,82,82,69,64
50.5,88,83,83,69,65
51.0,81,85,85,69,64
51.5,97,86,84,69,65
52.0,83,84,84,69,65
52.5,89,85,86,69,65
53.0,89,80,83,69,65
53.5,82,83,87,70,65
54.0,80,87,83,69,65
54.5,96,86,81,70,65
55.0,89,83,85,70,65
55.5,79,80,88,69,65
56.0,91,83,85,70,65
56.5,90,86,82,70,65
57.0,82,84,80,70,65
57.5,94,82,89,71,65
58.0,93,90,83,70,66
58.5,79,89,86,71,66
59.0,85,78,86,71,66
59.5,78,85,87,71,65
60.0,85,80,86,71,65
60.5,79,80,79,71,66
61.0,83,77,80,70,65
61.5,92,82,82,71,65
62.0,80,83,83,70,65
62.5,96,85,87,71,65
63.0,86,81,82,71,65
63.5,82,82,83,70,65
64.0,76,80,83,70,65
64.5,87,85,82,70,66
65.0,79,82,82,70,65
65.5,88,80,77,69,65
66.0,82,80,80,69,65
66.5,78,80,79,69,65
67.0,79,84,79,69,65
67.5,83,80,78,69,64
68.0,80,79,78,68,64
68.5,75,79,80,69,64
69.0,77,81,79,69,64
69.5,78,79,79,68,64
70.0,82,79,76,68,64
70.5,76,76,79,68,64
71.0,79,80,78,69,64
71.5,77,80,77,68,64
72.0,82,79,75,68,64
72.5,79,80,78,68,64
73.0,78,79,76,68,64
73.5,80,80,78,68,64
74.0,77,78,76,68,64
74.5,86,79,76,68,64
75.0,77,80,76,68,64
75.5,74,76,77,67,63
76.0,85,80,75,67,63
76.5,85,79,77,66,63
77.0,73,78,76,67,63
77.5,77,79,74,67,63
78.0,73,79,76,68,64
78.5,83,77,75,67,63
79.0,88,77,75,67,63
79.5,82,77,75,66,63
80.0,83,77,76,67,63
80.5,75,76,76,66,63
81.0,76,76,74,67,63
81.5,81,79,75,67,63
82.0,83,78,75,66,63
82.5,77,76,74,67,63
83.0,79,76,74,66,63
83.5,79,77,75,66,63
84.0,77,74,73,66,63
84.5,79,76,74,66,63
85.0,85,79,75,66,63
85.5,83,75,73,65,63
86.0,80,76,73,66,62
86.5,75,73,72,66,62
87.0,80,75,72,66,62
87.5,75,75,72,66,63
88.0,76,73,72,66,62
88.5,74,77,73,66,62
89.0,81,75,72,66,62
89.5,83,77,73,66,62
90.0,76,75,73,66,63
90.5,75,75,73,66,62
91.0,81,75,72,66,62
91.5,79,77,72,66,62
92.0,73,75,73,66,62
92.5,75,73,72,66,62
93.0,79,73,71,65,62
93.5,80,75,72,66,61
94.0,80,74,72,65,62
94.5,73,72,71,65,61
95.0,73,73,71,65,61
95.5,76,73,70,65,61
96.0,77,73,72,65,61
96.5,79,74,69,65,61
97.0,79,72,72,65,61
97.5,77,73,71,65,61
98.0,75,72,71,65,61
98.5,79,73,71,65,61
99.0,73,72,71,65,61
99.5,73,72,70,65,61
100.0,72,72,71,64,61
100.5,77,73,71,65,61
101.0,73,73,72,65,61
101.5,73,72,71,65,61
102.0,76,73,71,65,61
102.5,75,70,70,65,60
103.0,77,73,71,65,61
103.5,76,72,71,65,61
104.0,76,72,71,65,61
104.5,73,72,71,65,61
105.0,72,71,71,64,61
105.5,74,71,70,64,61
106.0,73,72,70,64,61
106.5,70,70,70,64,60
107.0,73,70,70,64,60
107.5,72,71,69,64,60
108.0,70,69,70,64,60
108.5,67,71,70,63,60
109.0,72,70,70,62,60
109.5,70,69,69,63,60
110.0,71,69,69,63,60
110.5,72,70,69,62,59
111.0,70,70,69,63,60
111.5,69,69,69,62,59
112.0,72,70,69,63,60
112.5,72,70,69,62,60
113.0,71,70,69,63,60
113.5,69,70,69,62,59
114.0,70,70,69,62,59
114.5,70,69,68,62,59
115.0,70,70,69,63,59
115.5,71,70,69,63,60
116.0,71,69,68,63,59
116.5,70,70,68,63,59
117.0,69,69,70,62,60
117.5,70,70,69,63,59
118.0,70,70,69,63,59
118.5,72,69,69,62,59
119.0,71,69,67,61,59
119.5,71,70,69,62,59
120.0,70,69,67,62,59
120.5,70,70,68,62,59
121.0,68,68,68,62,59
121.5,70,70,68,62,59
122.0,70,69,68,62,59
122.5,69,69,68,62,59
123.0,70,69,68,62,59
123.5,70,70,69,62,59
124.0,70,70,69,62,59
124.5,70,68,69,62,59
125.0,70,69,68,62,59
125.5,69,69,68,62,59
126.0,71,67,68,62,59
126.5,68,68,67,62,59
127.0,67,69,68,61,59
127.5,69,69,68,62,59
128.0,70,69,68,62,59
128.5,68,68,68,62,59
129.0,69,69,68,61,59
129.5,70,69,68,61,59
130.0,70,69,67,62,59
130.5,69,69,68,61,59
131.0,71,68,67,62,58
131.5,69,68,67,61,58
132.0,70,67,66,61,59
132.5,67,67,68,62,59
133.0,70,67,68,61,58
133.5,69,69,68,62,59
134.0,71,69,68,61,59
134.5,72,69,67,61,59
135.0,70,69,66,61,58
135.5,69,69,67,61,58
136.0,70,68,67,61,58
136.5,70,69,67,61,58
137.0,70,68,67,62,59
137.5,69,68,67,62,58
138.0,69,69,68,61,58
138.5,69,68,68,61,58
139.0,69,68,67,61,58
139.5,68,68,68,61,58
140.0,69,68,67,61,58
140.5,69,68,67,61,58
141.0,67,67,66,61,58
141.5,66,67,67,61,58
142.0,67,67,67,61,58
142.5,67,66,66,60,57
143.0,67,66,66,60,57
143.5,66,66,66,60,58
144.0,66,66,66,61,57
144.5,66,67,66,61,57
145.0,65,66,66,60,57
145.5,66,66,66,61,57
146.0,66,66,66,60,57
146.5,66,66,66,61,57
147.0,66,66,66,59,57
147.5,66,66,66,60,57
148.0,66,67,66,59,57
148.5,65,65,65,59,57
149.0,65,66,66,60,57
149.5,64,65,65,59,57
150.0,63,65,65,59,56
150.5,65,65,65,59,57
151.0,65,65,65,59,56
151.5,64,65,65,59,56
152.0,64,64,65,59,56
152.5,65,65,65,59,56
153.0,64,65,65,59,56
153.5,63,65,65,59,56
154.0,64,64,65,59,56
154.5,63,65,65,59,56
155.0,64,64,65,59,56
155.5,63,64,64,59,56
156.0,63,64,65,59,56
156.5,63,64,64,59,56
157.0,63,64,65,59,56
157.5,64,64,65,59,56
158.0,63,64,64,59,56
158.5,63,64,64,59,56
159.0,64,64,64,59,56
159.5,63,64,65,58,56
160.0,63,65,65,58,56
160.5,63,63,64,58,56
161.0,63,65,64,58,56
161.5,63,64,64,58,56
162.0,63,64,65,58,56
162.5,63,64,64,58,56
163.0,63,63,64,58,56
163.5,63,63,64,58,56
164.0,63,64,64,58,56
164.5,63,63,64,58,56
165.0,62,63,64,58,55
165.5,63,63,64,58,55
166.0,63,63,64,58,56
166.5,63,64,65,58,56
167.0,62,63,64,58,56
167.5,62,63,64,58,55
168.0,63,63,65,58,56
168.5,63,64,64,58,56
169.0,63,64,64,58,55
169.5,63,63,64,58,56
170.0,63,64,64,58,56
170.5,62,63,64,58,56
171.0,63,63,64,58,56
171.5,63,64,64,58,56
172.0,63,64,64,58,56
172.5,63,63,64,58,56
173.0,62,63,64,58,55
173.5,62,63,64,58,55
174.0,63,63,64,57,55
174.5,62,62,64,58,55
175.0,62,63,64,57,55
175.5,63,63,64,57,55
176.0,63,63,63,57,55
176.5,66,65,65,58,55
177.0,66,66,65,58,56
177.5,67,66,65,59,56
178.0,65,66,65,59,56
178.5,65,66,65,59,56
179.0,67,67,66,59,56
179.5,68,66,65,59,56
180.0,67,65,66,59,56
180.5,65,67,65,59,57
181.0,67,66,66,59,57
181.5,66,67,66,60,57
182.0,68,67,66,59,57
182.5,69,66,66,59,57
183.0,68,66,67,61,57
183.5,67,67,66,60,57
184.0,70,67,66,59,57
184.5,69,67,66,60,57
185.0,66,67,66,61,57
185.5,70,67,66,60,57
186.0,67,66,66,60,57
186.5,69,67,66,60,57
187.0,68,68,66,60,57
187.5,69,67,67,60,57
188.0,68,67,66,60,57
188.5,70,66,67,61,57
189.0,69,67,67,61,57
189.5,69,68,67,60,57
190.0,69,67,67,61,57
190.5,69,67,66,61,58
191.0,66,67,66,61,57
191.5,70,67,66,61,57
192.0,68,68,67,61,57
192.5,69,68,67,61,57
193.0,70,69,66,61,57
193.5,68,67,66,61,57
194.0,70,68,68,61,58
194.5,69,68,66,61,57
195.0,68,68,67,61,58
195.5,69,69,66,61,57
196.0,69,67,66,59,57
196.5,68,67,67,60,57
197.0,67,66,66,61,58
197.5,68,67,68,61,57
198.0,69,67,67,61,58
198.5,67,69,68,61,58
199.0,70,68,66,61,57
199.5,66,67,68,61,57
200.0,69,67,67,61,58
200.5,67,67,67,61,58
201.0,69,69,67,61,57
201.5,71,67,67,61,58
202.0,69,67,66,61,58
202.5,69,67,68,61,57
203.0,69,67,66,61,58
203.5,69,68,68,62,58
204.0,72,69,68,61,58
204.5,69,69,67,61,58
205.0,66,67,67,62,58
205.5,69,68,68,61,58
206.0,69,69,67,61,58
206.5,69,69,67,62,58
207.0,69,68,68,61,58
207.5,70,69,68,62,59
208.0,70,68,68,62,58
208.5,67,69,68,62,59
209.0,67,69,68,61,58
209.5,69,69,68,62,59
210.0,69,67,68,62,59
210.5,70,68,68,61,58
211.0,69,68,67,62,59
211.5,70,68,67,62,58
212.0,71,70,68,62,59
212.5,70,69,68,62,59
213.0,67,68,68,62,59
213.5,70,69,68,62,59
214.0,70,69,68,61,59
214.5,70,70,68,61,59
215.0,68,70,68,62,58
215.5,70,69,68,62,59
216.0,70,69,67,62,59
216.5,71,69,68,62,59
217.0,69,67,68,62,59
217.5,68,69,68,62,58
218.0,67,68,67,61,59
218.5,70,69,68,62,59
219.0,70,68,67,62,58
219.5,70,67,67,62,58
220.0,69,67,67,61,58
220.5,68,69,68,62,59
221.0,68,68,67,61,58
221.5,68,67,68,61,58
222.0,70,67,67,61,58
222.5,69,67,67,61,58
223.0,68,67,67,61,58
223.5,67,69,67,61,58
224.0,68,67,66,61,58
224.5,69,67,67,61,59
225.0,69,68,67,61,58
225.5,68,67,66,61,57
226.0,67,67,67,60,58
226.5,67,66,66,61,57
227.0,66,66,67,60,57
227.5,67,66,66,60,57
228.0,66,66,66,61,57
228.5,67,66,66,60,57
229.0,66,66,65,60,57
229.5,66,66,66,59,57
230.0,66,66,66,59,57
230.5,67,66,66,60,57
231.0,67,66,66,59,57
231.5,66,66,66,59,57
232.0,65,66,66,60,57
232.5,65,65,65,59,57
233.0,64,65,65,59,57
233.5,63,65,65,59,57
234.0,64,65,65,58,56
234.5,64,65,65,59,56
235.0,65,64,64,59,56
235.5,64,64,65,58,56
236.0,63,65,65,58,56
236.5,63,65,65,59,56
237.0,64,64,65,58,56
237.5,64,64,65,59,56
238.0,63,64,65,58,56
238.5,63,65,64,59,56
239.0,64,64,65,58,56
239.5,64,64,65,58,56
240.0,64,64,65,58,56
