time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,64,50,54,39,37
1.0,75,65,65,44,40
1.5,81,72,67,47,42
2.0,84,78,74,50,45
2.5,81,73,73,51,46
3.0,59,72,71,50,47
3.5,56,71,68,50,47
4.0,77,68,70,50,47
4.5,64,68,66,50,48
5.0,77,68,70,50,48
5.5,58,70,69,51,48
6.0,67,70,71,51,48
6.5,56,70,71,51,49
7.0,62,75,69,51,49
7.5,72,68,66,51,49
8.0,69,76,73,52,50
8.5,65,71,70,52,50
9.0,69,74,73,52,50
9.5,60,72,71,52,50
10.0,66,71,73,53,50
10.5,69,72,73,53,51
11.0,75,73,73,54,51
11.5,71,74,72,54,51
12.0,80,72,72,54,52
12.5,71,75,73,54,52
13.0,59,72,71,54,52
13.5,86,74,72,55,52
14.0,79,76,72,55,52
14.5,74,72,75,55,52
15.0,68,74,72,55,52
15.5,82,74,73,55,53
16.0,72,75,76,55,52
16.5,80,75,72,55,53
17.0,70,75,73,55,53
17.5,65,74,74,55,53
18.0,73,79,73,55,53
18.5,65,76,76,56,53
19.0,82,89,85,59,55
19.5,77,80,79,60,56
20.0,83,77,78,61,56
20.5,82,83,74,62,57
21.0,85,79,76,61,57
21.5,85,79,76,62,58
22.0,80,72,76,62,58
22.5,79,77,76,62,57
23.0,80,80,75,62,58
23.5,73,82,77,63,59
24.0,74,78,78,63,59
24.5,74,83,71,64,59
25.0,85,78,72,64,59
25.5,86,81,78,64,60
26.0,78,81,74,64,59
26.5,74,83,74,64,60
27.0,77,73,77,65,60
27.5,80,81,80,64,60
28.0,84,82,77,64,60
28.5,79,78,83,65,60
29.0,96,85,76,65,60
29.5,92,87,82,65,60
30.0,83,79,77,65,60
30.5,84,80,80,65,60
31.0,76,80,82,64,60
31.5,86,75,76,65,61
32.0,79,77,76,65,60
32.5,85,79,76,65,61
33.0,87,80,78,65,61
33.5,92,74,82,65,61
34.0,73,82,79,66,61
34.5,76,84,75,66,61
35.0,83,77,76,65,61
35.5,76,83,82,66,62
36.0,86,82,77,66,61
36.5,83,75,83,65,61
37.0,76,75,80,66,61
37.5,92,81,82,66,62
38.0,81,79,76,66,61
