time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,62,59,54,40,37
1.0,74,67,64,44,40
1.5,81,72,70,47,42
2.0,83,77,73,50,45
2.5,89,83,79,52,48
3.0,89,86,79,55,49
3.5,85,82,79,55,50
4.0,88,78,76,56,52
4.5,72,77,76,55,52
5.0,66,74,73,54,52
5.5,72,74,75,54,52
6.0,70,74,75,54,52
6.5,62,75,73,54,51
7.0,75,74,73,54,51
7.5,61,74,71,54,51
8.0,67,75,71,54,52
8.5,76,74,76,54,52
9.0,70,74,76,55,52
9.5,81,74,71,55,52
10.0,60,71,73,54,52
10.5,64,75,71,55,52
11.0,70,74,73,55,52
11.5,75,77,74,55,53
12.0,66,75,74,55,53
12.5,69,77,73,56,53
13.0,64,77,72,56,53
13.5,66,76,73,56,54
14.0,72,77,76,57,53
14.5,80,75,75,56,53
15.0,75,75,76,56,53
15.5,79,75,74,56,53
16.0,79,75,76,56,53
16.5,81,76,77,57,54
17.0,66,76,78,57,54
17.5,68,78,78,57,55
18.0,68,78,76,57,55
18.5,76,79,78,57,55
19.0,66,76,79,57,55
19.5,68,78,76,57,55
20.0,81,77,77,57,55
20.5,77,78,78,58,55
21.0,85,79,78,59,56
21.5,70,75,80,61,57
22.0,83,78,77,62,57
22.5,72,82,73,62,57
23.0,72,73,82,63,58
23.5,85,83,78,64,59
24.0,81,77,74,64,59
24.5,75,77,82,64,59
25.0,73,80,82,64,59
25.5,73,76,79,64,60
26.0,76,77,72,64,59
26.5,70,73,77,64,60
27.0,75,80,76,64,60
27.5,90,75,73,64,60
28.0,84,72,83,65,60
28.5,87,85,81,65,60
29.0,78,80,74,65,61
29.5,87,80,77,65,61
30.0,80,77,83,66,60
30.5,84,77,76,65,61
31.0,83,73,83,65,61
31.5,73,83,78,65,60
32.0,75,78,76,65,61
32.5,75,79,83,66,61
33.0,76,83,80,65,61
33.5,89,76,79,66,61
34.0,82,75,78,66,61
34.5,85,80,79,66,61
35.0,83,88,84,66,62
35.5,84,78,78,67,62
36.0,78,83,77,66,62
36.5,80,79,80,66,62
37.0,90,80,80,66,62
37.5,74,80,80,66,63
38.0,83,82,75,67,62
38.5,86,82,83,67,63
39.0,77,81,76,66,63
39.5,83,84,81,68,62
40.0,95,82,82,66,63
40.5,87,87,79,66,63
41.0,76,80,76,67,63
41.5,88,83,80,67,63
42.0,95,86,79,66,63
42.5,90,80,83,68,63
43.0,85,83,86,68,63
43.5,92,81,79,68,63
44.0,82,82,82,68,63
44.5,80,82,80,68,63
45.0,77,75,83,68,64
45.5,88,85,81,68,64
