time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,64,56,51,38,36
1.0,73,68,64,43,39
1.5,79,73,68,47,42
2.0,85,77,74,50,45
2.5,91,83,79,52,47
3.0,77,75,79,53,49
3.5,73,75,76,53,50
4.0,79,75,78,54,50
4.5,73,74,70,53,50
5.0,74,74,73,53,50
5.5,67,74,74,53,50
6.0,61,74,72,53,50
6.5,66,72,72,52,50
7.0,79,72,71,52,50
7.5,60,72,70,53,50
8.0,69,75,72,53,51
8.5,66,74,73,54,51
9.0,71,74,72,54,52
9.5,59,75,73,54,52
10.0,78,74,73,54,52
10.5,67,75,71,54,52
11.0,59,75,74,54,52
11.5,70,76,73,54,52
12.0,63,73,75,54,52
12.5,76,74,72,55,52
13.0,63,75,74,55,52
13.5,82,71,74,55,53
14.0,62,75,75,55,53
14.5,82,76,74,55,53
15.0,61,75,72,55,53
15.5,65,75,75,55,53
16.0,72,76,74,56,53
16.5,82,76,75,56,53
17.0,68,74,74,56,54
17.5,67,75,76,57,53
18.0,83,76,76,57,54
18.5,73,83,73,57,53
19.0,69,77,77,58,55
19.5,90,83,79,59,56
20.0,73,75,71,61,56
20.5,80,78,72,61,56
21.0,81,70,74,61,57
21.5,85,73,78,61,57
22.0,75,76,71,61,57
22.5,80,72,75,62,57
23.0,75,77,79,62,58
23.5,78,76,72,63,58
24.0,85,74,80,63,59
24.5,70,85,78,63,59
25.0,82,76,78,64,59
25.5,80,77,79,64,59
26.0,69,75,78,64,59
26.5,86,73,80,64,59
27.0,81,79,76,64,60
27.5,84,80,76,64,60
28.0,82,77,79,64,60
28.5,83,79,76,64,60
29.0,72,80,79,65,60
29.5,77,77,82,65,60
30.0,79,84,74,65,60
30.5,94,82,77,65,60
31.0,77,77,79,65,60
31.5,78,76,80,65,60
32.0,74,79,76,65,61
32.5,97,80,79,66,61
33.0,89,83,81,65,61
33.5,80,79,79,65,61
34.0,89,75,81,66,61
34.5,79,77,80,65,61
35.0,92,89,84,65,61
35.5,89,77,79,65,61
36.0,79,80,76,66,61
36.5,85,80,78,66,61
37.0,80,81,78,66,61
37.5,79,75,78,66,61
38.0,83,80,77,66,61
38.5,89,85,74,65,61
39.0,82,81,81,66,62
39.5,99,78,80,65,61
40.0,83,76,79,66,61
40.5,73,76,79,66,62
41.0,82,78,80,66,62
41.5,79,85,79,66,62
42.0,78,80,80,66,62
42.5,83,81,82,66,62
43.0,87,85,85,66,62
43.5,82,82,81,67,63
44.0,82,82,80,67,63
44.5,83,77,83,68,63
45.0,102,82,82,67,63
45.5,80,86,87,67,63
46.0,87,75,82,66,63
46.5,90,83,83,68,63
47.0,85,82,80,68,63
47.5,91,85,83,68,63
48.0,80,82,83,68,63
48.5,77,80,82,68,63
49.0,86,80,81,67,63
49.5,79,76,81,67,63
50.0,79,79,81,68,63
50.5,90,82,79,68,63
51.0,78,80,79,68,64
51.5,76,85,79,68,64
52.0,79,77,82,68,63
52.5,90,79,82,68,64
53.0,76,78,79,68,63
53.5,77,85,78,68,63
54.0,76,83,80,68,64
54.5,87,79,83,68,64
55.0,75,82,80,68,64
55.5,87,86,78,69,64
56.0,99,83,81,68,64
56.5,80,91,86,68,64
57.0,91,86,82,68,64
57.5,78,80,87,69,64
58.0,80,82,83,69,64
58.5,90,83,86,69,64
59.0,85,87,79,69,64
59.5,87,88,85,69,64
60.0,86,84,79,69,64
60.5,78,85,84,69,64
61.0,77,87,85,69,64
61.5,76,85,85,69,64
62.0,82,85,87,69,64
62.5,85,84,80,69,65
63.0,88,85,83,69,65
63.5,76,83,80,69,65
64.0,85,86,82,69,65
64.5,79,82,82,69,65
65.0,80,83,83,69,65
65.5,80,86,83,69,65
66.0,81,87,86,70,65
66.5,89,83,79,70,65
67.0,93,79,83,70,65
67.5,79,84,82,71,65
68.0,82,84,83,70,65
68.5,83,85,85,70,65
69.0,79,81,82,69,65
69.5,79,87,82,70,65
70.0,95,85,89,70,65
70.5,86,80,85,70,66
71.0,83,80,84,71,65
71.5,78,84,82,70,66
72.0,93,80,85,71,65
72.5,77,79,86,71,65
73.0,83,78,87,69,65
73.5,93,86,85,71,65
74.0,86,86,80,70,65
74.5,94,78,81,70,65
75.0,79,83,79,70,65
75.5,77,82,82,69,65
76.0,81,80,80,69,65
76.5,85,77,78,69,64
77.0,80,84,78,69,64
77.5,79,75,79,69,65
78.0,79,80,77,68,64
78.5,77,80,79,68,64
79.0,85,80,78,68,64
79.5,76,77,74,68,64
80.0,82,81,76,68,64
80.5,85,83,78,68,64
81.0,78,78,76,67,63
81.5,76,78,78,67,63
82.0,80,75,75,67,63
82.5,82,78,75,66,63
83.0,77,79,76,67,63
83.5,74,76,76,66,63
84.0,76,76,76,66,63
84.5,80,75,75,66,63
85.0,76,76,74,66,62
85.5,77,77,75,66,63
86.0,79,77,74,66,63
86.5,84,73,75,66,63
87.0,72,76,75,66,63
87.5,78,77,76,65,62
88.0,75,76,75,66,62
88.5,79,77,74,66,63
89.0,86,78,73,67,63
89.5,75,77,72,66,62
90.0,82,79,74,66,62
90.5,77,73,74,66,62
91.0,80,75,75,66,62
91.5,84,73,73,66,62
92.0,79,76,72,66,62
92.5,86,76,74,66,62
93.0,83,76,75,65,62
93.5,84,76,74,66,63
94.0,77,76,72,65,62
94.5,77,77,74,66,62
95.0,77,75,72,66,62
95.5,75,77,76,65,62
96.0,80,73,74,66,62
96.5,76,72,75,66,62
97.0,79,79,73,65,61
97.5,70,75,72,65,61
98.0,80,72,74,65,61
98.5,81,78,72,66,62
99.0,73,77,71,65,62
99.5,75,76,72,65,61
100.0,75,76,72,65,62
100.5,75,75,74,66,62
101.0,81,72,74,66,62
101.5,82,79,73,66,62
102.0,74,76,75,66,61
102.5,76,75,74,66,62
103.0,76,75,72,66,62
103.5,80,75,71,65,62
104.0,76,76,72,66,62
104.5,85,76,72,65,61
105.0,75,76,70,66,61
105.5,78,76,72,66,61
106.0,76,73,72,65,61
106.5,83,75,72,65,61
107.0,83,73,70,65,61
107.5,77,72,70,65,61
108.0,77,73,71,66,61
108.5,78,74,71,65,61
109.0,75,74,71,65,61
109.5,83,76,72,65,61
110.0,74,73,71,65,61
110.5,75,72,71,65,61
111.0,75,74,71,65,61
111.5,73,72,71,65,60
112.0,75,73,71,64,61
112.5,72,71,71,65,61
113.0,78,73,71,65,60
113.5,76,73,71,65,60
114.0,76,71,70,64,61
114.5,75,73,71,64,60
115.0,76,71,68,64,61
115.5,73,70,71,65,61
116.0,76,75,70,64,60
116.5,73,70,70,64,60
117.0,72,71,70,64,60
117.5,70,70,70,64,60
118.0,73,72,69,63,60
118.5,69,72,70,63,60
119.0,70,70,69,64,60
119.5,75,71,69,62,60
120.0,72,70,69,63,60
120.5,75,70,69,62,59
121.0,74,69,70,62,59
121.5,72,70,69,62,59
122.0,71,70,67,62,59
122.5,73,72,68,63,59
123.0,75,68,69,62,59
123.5,73,71,68,62,59
124.0,70,69,68,62,59
124.5,71,70,69,62,59
125.0,69,69,68,62,59
125.5,69,69,68,62,59
126.0,71,69,68,62,59
126.5,70,70,68,62,59
127.0,71,70,68,62,59
127.5,70,70,69,62,59
128.0,69,69,69,62,59
128.5,67,68,67,62,58
129.0,69,67,68,61,59
129.5,67,68,68,61,58
130.0,69,69,68,61,59
130.5,70,68,68,61,58
131.0,70,69,67,60,58
131.5,68,67,67,61,58
132.0,69,69,67,61,58
132.5,69,69,67,61,58
133.0,66,67,67,61,58
133.5,69,67,67,61,58
134.0,68,67,67,61,58
134.5,71,68,67,61,57
135.0,69,67,67,61,57
135.5,67,67,67,61,58
136.0,69,69,67,61,57
136.5,70,68,67,61,58
137.0,70,69,67,61,57
137.5,68,67,67,61,57
138.0,69,68,67,61,58
138.5,67,67,67,61,57
139.0,70,67,68,61,58
139.5,68,68,67,61,58
140.0,68,67,67,61,57
140.5,67,67,67,61,58
141.0,70,68,67,61,58
141.5,67,67,67,61,58
142.0,70,68,67,60,57
142.5,67,68,67,61,57
143.0,71,68,68,61,58
143.5,69,68,66,61,57
144.0,69,68,67,61,57
144.5,69,69,67,61,57
145.0,69,67,67,61,57
145.5,67,68,67,61,58
146.0,69,68,67,61,58
146.5,69,67,66,61,58
147.0,71,69,67,61,57
147.5,69,68,66,61,58
148.0,70,68,67,61,58
148.5,70,67,67,61,58
149.0,68,67,67,61,57
149.5,68,68,68,61,58
150.0,68,67,66,61,58
150.5,66,67,68,61,57
151.0,68,67,67,61,57
151.5,67,66,65,61,57
152.0,69,67,66,61,57
152.5,67,67,67,61,57
153.0,69,67,65,61,57
153.5,66,67,66,61,57
154.0,68,67,66,61,57
154.5,68,67,66,61,57
155.0,69,68,67,60,57
155.5,70,69,67,61,57
156.0,69,67,66,61,58
156.5,69,67,66,61,57
157.0,69,68,68,61,57
157.5,66,67,68,60,57
158.0,69,67,66,61,57
158.5,66,67,66,61,57
159.0,68,69,67,61,57
159.5,69,68,68,61,57
160.0,69,67,67,61,57
160.5,70,69,66,61,57
161.0,70,67,67,61,57
161.5,69,68,67,61,57
162.0,67,67,67,61,57
162.5,67,68,67,61,57
163.0,68,69,66,61,57
163.5,68,67,68,61,57
164.0,69,67,67,61,57
164.5,70,68,67,61,58
165.0,66,67,67,61,57
165.5,68,66,66,61,57
166.0,70,68,67,61,57
166.5,68,67,67,61,57
167.0,69,68,67,61,58
167.5,66,68,65,61,57
168.0,69,68,67,60,57
168.5,69,68,67,60,57
169.0,68,68,66,61,57
169.5,69,67,67,61,57
170.0,67,67,67,61,57
170.5,69,68,67,61,57
171.0,69,66,67,61,57
171.5,69,67,67,61,57
172.0,69,67,67,61,57
172.5,68,67,67,61,58
173.0,66,69,66,61,57
173.5,67,68,66,61,57
174.0,67,67,67,60,57
174.5,67,67,67,61,57
175.0,69,68,66,61,57
175.5,70,67,67,61,57
176.0,67,67,66,60,57
176.5,70,67,67,61,57
177.0,67,67,66,61,57
177.5,69,67,66,60,57
178.0,67,66,65,60,57
178.5,65,66,67,60,57
179.0,68,67,66,61,57
179.5,68,67,66,60,57
180.0,68,67,67,60,57
180.5,67,66,67,60,57
181.0,69,67,66,60,57
181.5,67,69,67,60,57
182.0,69,68,66,60,57
182.5,70,67,65,60,57
183.0,66,67,67,60,57
183.5,67,67,67,60,57
184.0,70,67,67,60,57
184.5,69,67,66,61,57
185.0,67,68,67,60,57
185.5,67,67,66,60,57
186.0,68,66,66,60,57
186.5,68,67,67,61,57
187.0,68,66,67,61,57
187.5,70,67,67,61,57
188.0,67,67,65,60,57
188.5,67,68,67,61,57
189.0,68,67,66,59,57
189.5,67,67,68,60,57
190.0,69,67,65,60,57
190.5,68,66,67,61,57
191.0,65,67,65,61,57
191.5,69,68,67,61,57
192.0,66,68,66,61,57
192.5,69,68,67,61,57
193.0,69,68,67,61,57
193.5,68,67,66,61,57
194.0,70,67,67,61,58
194.5,69,68,67,61,58
195.0,69,67,67,61,57
195.5,66,69,66,61,58
196.0,68,68,67,62,57
196.5,69,67,68,61,58
197.0,68,67,67,61,57
197.5,68,69,66,61,57
198.0,69,67,67,61,58
198.5,68,68,66,61,57
199.0,66,67,67,61,57
199.5,68,67,67,61,57
200.0,69,67,66,61,57
200.5,69,67,68,61,57
201.0,69,68,67,61,58
201.5,70,68,67,61,57
202.0,67,67,67,61,57
202.5,68,68,67,61,58
203.0,68,67,67,61,58
203.5,71,69,67,61,57
204.0,67,68,67,61,58
204.5,70,68,67,61,58
205.0,69,67,67,61,57
205.5,70,67,67,61,57
206.0,68,67,66,61,58
206.5,67,67,67,61,57
207.0,67,68,67,61,57
207.5,68,69,67,61,58
208.0,69,68,67,61,57
208.5,69,69,66,61,57
209.0,69,69,66,61,57
209.5,68,68,67,61,58
210.0,69,69,67,61,57
210.5,69,67,67,61,57
211.0,68,67,68,61,57
211.5,69,68,67,61,58
212.0,70,68,67,61,57
212.5,70,69,68,61,58
213.0,69,67,68,61,58
213.5,69,69,68,61,58
214.0,69,67,68,60,57
214.5,69,67,67,61,57
215.0,66,67,68,61,57
215.5,68,69,68,61,57
216.0,69,69,67,60,57
216.5,67,68,67,61,57
217.0,68,67,67,61,57
217.5,67,67,66,61,57
218.0,69,68,67,61,57
218.5,68,68,67,61,57
219.0,69,67,67,61,57
219.5,69,68,68,61,57
220.0,69,68,68,61,58
220.5,69,68,68,61,58
221.0,70,67,67,61,58
221.5,70,69,68,61,57
222.0,69,69,68,61,58
222.5,69,68,66,61,57
223.0,69,68,67,61,58
223.5,67,69,67,61,58
224.0,69,67,67,61,57
224.5,69,69,66,61,57
225.0,68,67,67,61,57
225.5,68,67,67,61,57
226.0,66,69,66,61,57
226.5,69,68,68,61,57
227.0,69,68,68,61,58
227.5,69,68,67,61,58
228.0,69,68,67,61,57
228.5,68,68,67,61,58
229.0,68,68,67,61,57
229.5,67,67,67,61,58
230.0,69,68,67,61,58
230.5,70,68,67,61,57
231.0,66,69,68,61,58
231.5,69,67,66,61,57
232.0,69,68,67,60,57
232.5,70,68,67,60,58
233.0,70,68,67,61,57
233.5,67,67,66,61,58
234.0,68,68,67,61,58
234.5,69,67,65,61,58
235.0,68,68,66,59,58
235.5,67,67,66,61,57
236.0,70,67,67,61,57
236.5,69,68,67,61,57
237.0,67,69,65,61,57
237.5,69,67,67,61,58
238.0,67,67,67,61,57
238.5,69,69,67,61,58
239.0,69,68,67,61,57
239.5,67,66,67,61,58
240.0,69,67,67,61,57
