time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,63,57,55,39,37
1.0,75,70,64,44,40
1.5,84,76,68,47,42
2.0,85,79,75,50,45
2.5,83,80,78,52,47
3.0,78,80,78,54,49
3.5,85,79,77,55,49
4.0,63,75,74,53,50
4.5,67,72,73,52,50
5.0,69,72,72,52,49
5.5,71,75,71,53,50
6.0,65,72,69,53,50
6.5,80,72,72,54,50
7.0,77,74,75,53,50
7.5,73,73,72,53,50
8.0,60,77,75,54,51
8.5,70,75,72,54,52
9.0,63,71,70,54,51
9.5,68,75,74,54,52
10.0,69,74,72,54,52
10.5,73,74,75,55,52
11.0,68,75,74,55,52
11.5,76,75,75,55,52
12.0,77,74,75,55,52
12.5,70,74,71,55,52
13.0,79,75,72,55,52
13.5,69,75,72,55,53
14.0,82,74,75,55,53
14.5,72,73,75,55,53
15.0,76,75,73,56,53
15.5,69,75,73,56,53
16.0,67,75,75,56,53
16.5,69,78,74,56,53
17.0,72,76,75,56,53
17.5,74,76,76,57,54
18.0,75,74,72,57,54
18.5,71,78,75,57,54
19.0,77,76,78,56,54
19.5,82,79,74,57,55
20.0,76,74,78,57,55
20.5,77,83,81,60,56
21.0,79,75,74,61,57
21.5,77,79,75,62,57
22.0,80,73,79,62,57
22.5,70,80,71,62,58
23.0,86,79,78,64,59
23.5,86,78,80,64,59
24.0,72,75,77,63,59
24.5,83,79,78,64,59
25.0,89,79,79,64,60
25.5,70,82,75,64,59
26.0,72,76,79,64,60
26.5,79,76,78,64,60
27.0,72,77,75,64,60
27.5,77,79,78,64,60
28.0,74,76,72,64,60
28.5,80,80,72,65,60
29.0,72,79,73,65,60
29.5,84,83,80,65,60
30.0,75,77,73,65,60
30.5,84,77,75,65,60
31.0,72,79,80,64,60
31.5,92,89,78,65,61
32.0,89,82,80,65,61
32.5,76,82,79,65,61
33.0,76,79,79,66,61
33.5,77,76,83,66,61
34.0,95,78,81,66,61
34.5,84,79,81,66,61
35.0,85,90,85,66,62
35.5,80,76,79,66,61
36.0,86,87,83,66,62
36.5,86,84,83,66,62
37.0,97,77,80,67,62
37.5,90,79,83,66,62
38.0,88,81,78,66,62
