time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,63,59,57,40,37
1.0,74,67,63,43,39
1.5,81,72,68,46,42
2.0,80,80,74,49,44
2.5,79,82,77,51,47
3.0,87,83,81,54,48
3.5,78,79,78,54,49
4.0,70,76,76,55,50
4.5,76,75,71,53,50
5.0,69,76,72,53,50
5.5,77,75,73,53,50
6.0,68,74,73,53,50
6.5,66,73,71,52,50
7.0,68,73,73,52,50
7.5,70,72,73,53,50
8.0,85,77,72,54,51
8.5,62,73,75,54,51
9.0,66,74,75,54,51
9.5,73,75,74,54,51
10.0,79,71,75,54,51
10.5,72,74,74,54,52
11.0,70,75,72,54,52
11.5,63,74,69,54,52
12.0,70,74,72,55,52
12.5,80,75,73,54,52
13.0,75,74,73,54,52
13.5,75,75,76,55,52
14.0,75,75,72,55,53
14.5,70,76,72,55,53
15.0,73,75,73,55,53
15.5,60,75,76,55,53
16.0,65,76,76,55,53
16.5,68,75,78,56,53
17.0,76,75,76,56,53
17.5,73,75,73,56,53
18.0,64,73,78,56,53
18.5,73,79,80,58,55
19.0,82,72,76,60,56
19.5,82,75,72,61,56
20.0,66,76,74,60,56
20.5,68,72,76,61,56
21.0,76,73,79,61,57
21.5,72,75,75,61,57
22.0,85,72,73,62,57
22.5,79,73,79,61,57
23.0,86,76,82,62,58
23.5,77,85,80,63,59
24.0,73,75,71,63,59
24.5,72,72,75,63,59
25.0,74,79,76,63,59
25.5,79,75,77,64,59
26.0,81,80,78,64,59
26.5,76,76,74,64,59
27.0,71,76,73,63,60
27.5,79,73,75,64,60
28.0,80,78,76,64,60
28.5,76,82,77,64,60
29.0,77,75,74,64,59
29.5,81,76,82,64,59
30.0,77,80,81,64,60
30.5,85,79,74,65,60
31.0,79,83,79,65,60
31.5,72,76,78,65,60
32.0,81,80,81,65,61
32.5,79,82,76,65,60
33.0,77,77,78,65,61
33.5,74,78,80,65,61
34.0,78,79,80,66,61
34.5,83,79,80,65,61
35.0,86,75,82,66,61
35.5,85,80,80,66,61
36.0,92,82,79,66,61
36.5,79,80,82,66,62
37.0,89,80,85,66,62
37.5,76,82,82,66,62
38.0,85,76,84,66,62
38.5,77,78,83,66,62
39.0,76,75,81,66,61
39.5,89,80,76,66,62
40.0,83,78,82,66,62
40.5,77,85,84,66,62
41.0,81,79,76,66,62
41.5,79,82,81,66,62
42.0,83,84,79,67,63
42.5,89,83,82,68,63
43.0,80,84,80,68,63
43.5,95,87,83,67,63
44.0,85,82,80,68,63
44.5,81,80,77,68,63
45.0,83,79,80,68,63
45.5,77,85,82,68,63
46.0,83,83,82,68,63
46.5,85,86,85,68,63
47.0,88,81,81,68,63
47.5,84,80,84,68,64
48.0,88,78,80,68,63
48.5,90,83,80,68,63
49.0,76,86,82,68,64
49.5,77,85,80,68,64
50.0,83,83,86,68,64
50.5,90,87,81,68,63
51.0,90,79,85,68,63
51.5,75,85,78,68,64
52.0,87,79,86,68,64
52.5,89,81,80,68,64
53.0,76,89,84,68,64
53.5,78,90,85,69,64
54.0,82,79,76,69,64
54.5,80,84,82,69,64
55.0,76,83,85,68,64
55.5,86,82,82,69,64
56.0,92,85,80,68,64
56.5,83,85,83,69,64
57.0,82,87,84,69,64
57.5,87,86,82,69,65
58.0,92,87,84,69,64
58.5,95,82,79,69,65
59.0,90,90,83,69,65
59.5,80,92,81,69,65
60.0,79,87,78,69,64
60.5,77,86,81,70,64
61.0,83,76,81,69,65
61.5,80,83,83,69,65
62.0,82,79,82,69,65
62.5,92,83,84,69,65
63.0,81,77,83,70,65
63.5,79,86,83,69,65
64.0,84,89,82,69,65
64.5,80,79,82,70,65
65.0,86,80,83,70,65
65.5,81,82,79,70,65
66.0,92,82,80,69,65
66.5,80,86,80,69,65
67.0,86,84,80,69,65
67.5,83,83,82,69,65
68.0,90,87,85,69,65
68.5,79,85,85,71,65
69.0,86,86,86,70,65
69.5,77,89,85,70,65
70.0,82,82,83,70,65
70.5,77,89,85,70,65
71.0,79,85,86,71,65
71.5,87,90,86,71,66
72.0,91,92,83,71,65
72.5,87,84,86,71,65
73.0,87,84,87,71,65
73.5,83,83,87,71,65
74.0,88,84,87,71,66
74.5,77,82,83,71,65
75.0,87,89,88,70,65
75.5,90,84,80,70,66
76.0,90,87,85,70,65
76.5,84,86,84,71,65
77.0,78,83,89,70,66
77.5,85,89,85,70,65
78.0,80,86,86,71,66
78.5,92,89,83,70,65
79.0,88,83,85,70,65
79.5,85,84,81,70,65
80.0,82,79,80,70,65
80.5,86,83,84,69,65
81.0,83,79,82,70,65
81.5,88,83,88,70,65
82.0,85,90,83,70,65
82.5,86,83,85,70,65
83.0,90,82,83,70,65
83.5,87,89,84,70,65
84.0,85,79,82,71,65
84.5,77,82,81,70,65
85.0,93,79,83,70,65
85.5,82,83,76,69,65
86.0,77,89,79,69,65
86.5,79,78,80,69,65
87.0,79,80,80,69,64
87.5,77,79,80,69,65
88.0,82,80,80,69,65
88.5,79,82,79,69,65
89.0,80,81,78,69,65
89.5,79,82,78,68,64
90.0,77,80,80,68,64
90.5,77,78,79,68,64
91.0,81,79,79,68,64
91.5,80,82,80,68,64
92.0,79,77,77,68,64
92.5,80,81,75,68,64
93.0,87,82,78,68,64
93.5,76,77,78,68,64
94.0,80,76,77,68,64
94.5,82,79,75,66,64
95.0,81,74,78,68,63
95.5,78,80,76,68,63
96.0,74,76,74,67,63
96.5,74,77,77,68,63
97.0,73,77,75,67,63
97.5,76,79,77,67,63
98.0,73,77,73,67,63
98.5,81,75,74,68,63
99.0,80,77,75,68,63
99.5,74,80,77,68,63
100.0,80,75,75,67,63
100.5,78,77,75,66,63
101.0,73,79,72,68,63
101.5,81,75,78,68,63
102.0,79,75,75,67,63
102.5,79,76,74,68,63
103.0,80,77,77,68,63
103.5,77,77,73,67,63
104.0,77,78,77,68,63
104.5,81,79,74,67,63
105.0,77,77,76,67,63
105.5,80,79,73,68,63
106.0,83,77,75,67,63
106.5,71,75,76,67,63
107.0,76,76,73,67,63
107.5,82,77,74,66,63
108.0,82,76,75,66,63
108.5,77,75,75,66,63
109.0,77,76,75,66,63
109.5,79,76,73,66,63
110.0,79,76,73,66,62
110.5,76,77,75,66,62
111.0,79,77,75,67,63
111.5,79,75,75,66,63
112.0,74,76,76,66,62
112.5,75,76,74,67,63
113.0,75,77,76,66,63
113.5,77,76,75,66,63
114.0,79,73,74,66,63
114.5,82,76,73,66,62
115.0,77,75,73,66,62
115.5,76,75,72,66,61
116.0,79,76,73,66,62
116.5,72,76,71,66,62
117.0,75,75,71,65,61
117.5,73,73,72,66,61
118.0,74,74,72,65,61
118.5,75,73,71,65,61
119.0,73,75,72,65,61
119.5,76,73,71,65,61
120.0,81,75,72,65,61
120.5,76,75,71,65,61
121.0,76,72,69,65,61
121.5,76,73,72,65,61
122.0,75,72,70,64,61
122.5,78,71,71,64,61
123.0,79,73,71,65,61
123.5,78,75,72,64,61
124.0,79,72,71,65,61
124.5,76,74,70,65,61
125.0,73,72,69,65,61
125.5,75,72,71,64,60
126.0,79,72,70,65,61
126.5,79,72,71,64,60
127.0,72,72,69,64,60
127.5,77,72,70,64,60
128.0,72,72,70,64,60
128.5,74,72,70,64,60
129.0,75,73,69,63,60
129.5,73,72,69,64,60
130.0,74,72,70,63,60
130.5,73,71,70,63,60
131.0,73,70,69,63,60
131.5,72,71,70,63,60
132.0,69,70,69,63,60
132.5,69,71,70,62,60
133.0,73,71,69,63,60
133.5,73,72,69,64,59
134.0,73,71,70,63,59
134.5,74,70,69,63,60
135.0,71,70,68,62,59
135.5,70,70,69,63,60
136.0,69,70,69,62,59
136.5,70,70,69,62,59
137.0,72,69,68,62,59
137.5,67,67,68,62,59
138.0,69,69,68,62,59
138.5,70,70,68,62,59
139.0,67,69,69,62,59
139.5,69,70,68,62,59
140.0,70,69,69,62,59
140.5,70,70,69,62,59
141.0,71,69,67,62,59
141.5,68,70,68,62,59
142.0,69,69,68,62,59
142.5,67,69,67,62,59
143.0,69,69,68,62,58
143.5,67,69,69,61,59
144.0,66,67,68,61,59
144.5,70,69,68,62,58
145.0,70,67,67,62,58
145.5,70,68,67,62,59
146.0,69,68,68,61,59
146.5,67,69,66,61,59
147.0,69,67,68,62,59
147.5,69,68,68,61,58
148.0,70,68,67,61,59
148.5,67,67,68,61,58
149.0,70,68,68,62,59
149.5,70,69,68,62,59
150.0,70,69,68,61,58
150.5,67,68,68,62,59
151.0,69,67,65,62,58
151.5,68,69,67,62,58
152.0,69,67,67,61,58
152.5,69,69,68,61,58
153.0,70,69,68,61,58
153.5,70,69,68,62,58
154.0,67,68,68,61,58
154.5,70,67,67,61,58
155.0,69,70,68,62,58
155.5,67,67,67,61,58
156.0,69,68,68,61,58
156.5,71,67,68,62,58
157.0,67,68,68,61,58
157.5,69,68,68,61,58
158.0,67,69,68,61,58
158.5,69,69,67,61,58
159.0,69,69,67,61,57
159.5,69,69,67,61,58
160.0,67,67,67,61,57
160.5,69,68,67,61,58
161.0,70,67,67,61,58
161.5,67,68,67,62,57
162.0,68,67,67,61,57
162.5,70,67,67,61,58
163.0,70,65,67,61,57
163.5,70,66,67,60,57
164.0,66,68,66,61,58
164.5,70,67,67,61,57
165.0,68,67,67,61,57
165.5,68,67,67,61,57
166.0,69,68,67,61,57
166.5,69,67,67,60,57
167.0,70,67,66,61,57
167.5,70,67,67,60,57
168.0,70,67,67,61,57
168.5,67,66,66,61,57
169.0,66,67,67,61,57
169.5,69,68,68,61,57
170.0,69,67,67,61,58
170.5,67,67,66,61,57
171.0,67,68,67,61,57
171.5,67,67,67,61,57
172.0,69,67,67,61,57
172.5,67,67,67,61,57
173.0,70,68,66,59,57
173.5,66,67,66,61,57
174.0,69,67,68,60,57
174.5,68,66,66,61,57
175.0,70,68,67,60,57
175.5,69,68,67,61,57
176.0,67,65,67,61,57
176.5,69,69,66,61,57
177.0,69,68,67,61,57
177.5,68,67,67,61,57
178.0,69,67,66,60,57
178.5,67,67,67,61,57
179.0,67,67,65,60,57
179.5,67,66,66,61,57
180.0,66,67,67,60,57
180.5,66,67,67,60,57
181.0,67,69,66,60,57
181.5,67,67,66,60,57
182.0,67,68,65,61,57
182.5,68,67,67,61,57
183.0,69,68,67,61,57
183.5,69,67,67,61,57
184.0,69,67,67,60,57
184.5,69,67,67,61,57
185.0,69,68,68,61,57
185.5,69,68,66,61,57
186.0,69,67,66,61,57
186.5,67,68,66,61,57
187.0,70,68,67,61,57
187.5,68,67,67,61,57
188.0,66,67,67,61,57
188.5,66,67,66,61,57
189.0,69,66,66,61,57
189.5,67,68,66,61,57
190.0,68,68,67,61,58
190.5,70,69,66,61,58
191.0,69,67,67,61,57
191.5,69,67,67,61,57
192.0,69,68,67,61,58
192.5,70,67,67,61,57
193.0,67,67,67,61,57
193.5,69,68,67,61,57
194.0,67,68,66,61,57
194.5,69,68,67,61,58
195.0,70,67,67,61,58
195.5,68,66,68,61,57
196.0,70,68,67,61,57
196.5,70,66,66,61,58
197.0,67,67,66,61,57
197.5,69,68,67,61,57
198.0,68,67,67,61,57
198.5,67,68,67,61,57
199.0,67,67,67,61,58
199.5,67,67,67,61,57
200.0,69,69,66,61,57
200.5,69,68,66,61,57
201.0,66,68,67,61,57
201.5,66,68,66,61,57
