time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,67,60,52,39,37
1.0,69,69,64,44,40
1.5,77,70,68,47,42
2.0,83,76,75,50,44
2.5,79,79,78,51,46
3.0,88,82,80,54,49
3.5,84,76,79,54,50
4.0,83,79,79,55,50
4.5,63,75,73,54,51
5.0,66,74,71,54,50
5.5,66,75,75,54,50
6.0,63,73,72,53,50
6.5,61,74,72,53,50
7.0,65,74,74,53,50
7.5,70,73,73,53,50
8.0,64,74,71,54,51
8.5,69,72,72,54,50
9.0,68,73,72,54,50
9.5,67,72,72,54,52
10.0,69,74,71,55,52
10.5,70,75,74,54,52
11.0,74,74,72,54,52
11.5,65,72,73,54,52
12.0,67,72,73,55,52
12.5,66,76,76,54,52
13.0,77,75,72,55,53
13.5,70,73,73,55,53
14.0,73,75,73,55,53
14.5,66,77,73,55,53
15.0,66,75,75,55,53
15.5,83,76,72,55,53
16.0,80,75,73,56,53
16.5,82,77,76,56,53
17.0,69,76,76,56,54
17.5,75,75,75,56,54
18.0,74,76,76,57,53
18.5,72,77,76,57,54
19.0,67,77,76,57,54
19.5,68,76,73,57,54
20.0,69,78,75,57,54
20.5,70,76,79,57,55
21.0,72,75,78,57,55
21.5,87,80,79,58,55
22.0,70,82,82,59,56
22.5,80,77,80,61,56
23.0,83,84,76,62,57
23.5,74,76,77,62,57
24.0,70,78,79,62,58
24.5,87,80,76,63,59
25.0,79,79,73,63,59
25.5,76,72,74,63,59
26.0,92,79,74,64,59
26.5,84,76,81,64,59
27.0,81,72,76,64,59
27.5,73,72,76,64,59
28.0,72,86,75,64,59
28.5,77,79,72,65,60
29.0,91,79,79,64,60
29.5,92,83,79,64,60
30.0,80,72,78,64,60
30.5,83,77,77,64,60
31.0,75,75,78,65,60
31.5,83,73,78,65,60
32.0,81,83,75,64,60
32.5,73,82,82,65,60
33.0,72,83,83,65,61
33.5,84,83,80,65,61
34.0,80,85,83,66,61
34.5,89,73,79,66,61
35.0,80,77,79,65,61
35.5,76,79,79,66,61
36.0,82,75,79,66,61
36.5,84,84,80,67,61
37.0,79,77,79,66,61
37.5,93,85,81,67,62
38.0,78,78,82,67,62
38.5,80,78,82,66,62
39.0,83,80,77,66,62
39.5,86,76,79,66,62
40.0,88,77,75,67,63
40.5,75,87,80,66,62
41.0,92,83,84,65,62
41.5,79,81,81,66,62
42.0,84,83,85,67,62
42.5,85,80,78,66,63
43.0,82,83,82,66,63
43.5,80,77,79,67,63
44.0,88,91,79,67,63
44.5,80,79,79,66,63
45.0,75,79,83,67,63
45.5,77,82,78,67,63
46.0,83,89,82,67,63
46.5,83,86,79,67,63
47.0,75,79,85,68,63
47.5,80,79,87,68,63
48.0,78,82,86,68,63
48.5,78,80,82,68,63
49.0,82,78,86,68,63
49.5,81,84,79,67,63
50.0,97,82,78,67,64
50.5,82,79,86,67,63
51.0,77,82,80,68,63
51.5,75,85,82,68,64
52.0,86,86,80,68,63
52.5,79,84,82,68,64
53.0,92,83,83,68,64
53.5,89,90,78,68,64
54.0,77,86,88,68,64
54.5,80,82,83,68,64
55.0,79,84,81,68,64
55.5,82,78,79,68,64
56.0,79,81,83,68,64
56.5,83,83,83,68,64
57.0,96,86,85,69,64
57.5,87,85,84,69,64
58.0,83,84,84,69,64
58.5,80,78,82,69,64
59.0,78,82,82,68,64
59.5,93,86,82,69,64
60.0,93,83,78,69,64
60.5,77,83,83,69,64
61.0,82,83,80,69,64
61.5,87,82,87,69,64
62.0,80,83,82,69,65
62.5,76,82,81,69,65
63.0,91,77,80,69,64
63.5,81,87,85,69,65
64.0,97,82,79,69,65
64.5,86,85,83,70,65
65.0,80,82,83,70,65
65.5,75,83,85,69,65
66.0,87,84,80,69,65
66.5,82,87,79,71,65
67.0,85,84,86,70,65
67.5,90,87,85,69,65
68.0,86,82,83,70,65
68.5,92,87,89,71,65
69.0,78,80,83,70,65
69.5,86,78,83,69,65
70.0,85,81,79,70,65
70.5,79,83,80,71,65
71.0,85,81,90,70,65
71.5,97,80,83,69,65
72.0,80,85,83,71,65
