time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,60,55,57,38,37
1.0,69,63,64,43,40
1.5,83,72,70,47,42
2.0,83,78,73,50,45
2.5,87,80,78,52,47
3.0,86,82,81,54,49
3.5,80,73,76,53,50
4.0,77,75,77,55,51
4.5,77,74,76,54,51
5.0,69,72,70,53,50
5.5,73,74,72,53,50
6.0,66,74,71,53,50
6.5,64,75,74,52,50
7.0,73,72,71,53,51
7.5,63,72,75,53,50
8.0,74,74,72,53,51
8.5,72,72,74,53,51
9.0,83,76,72,54,51
9.5,67,75,72,54,52
10.0,72,73,72,54,51
10.5,63,74,70,54,52
11.0,61,73,74,55,52
11.5,73,74,71,55,52
12.0,66,76,73,54,52
12.5,63,76,71,55,52
13.0,66,77,77,55,52
13.5,70,75,76,55,53
14.0,77,76,75,55,52
14.5,80,76,76,55,53
15.0,70,77,71,56,53
15.5,76,75,75,56,53
16.0,72,75,75,55,53
16.5,69,78,78,56,53
17.0,79,78,76,56,53
17.5,62,76,74,56,53
18.0,79,77,78,57,54
18.5,73,76,76,57,54
19.0,72,78,79,57,54
19.5,85,83,78,59,55
20.0,76,70,76,60,56
20.5,82,77,74,61,56
21.0,75,69,76,61,57
21.5,73,72,76,61,57
22.0,85,76,73,61,57
22.5,79,71,74,61,57
23.0,80,80,77,62,58
23.5,80,72,78,62,58
24.0,76,79,76,62,58
24.5,72,78,71,62,58
25.0,75,73,76,62,58
25.5,75,82,74,63,59
26.0,79,77,73,64,59
26.5,85,81,74,64,59
27.0,76,77,71,64,59
27.5,89,79,81,64,60
28.0,84,77,78,64,60
28.5,81,80,80,64,60
29.0,92,81,79,65,60
29.5,83,72,80,64,60
30.0,89,75,80,64,60
30.5,93,83,79,64,60
31.0,89,79,80,65,60
31.5,79,73,82,65,61
32.0,87,80,79,65,61
32.5,80,81,80,65,61
33.0,87,77,82,65,61
33.5,83,75,82,65,61
34.0,83,77,76,66,61
34.5,81,80,83,66,61
35.0,84,83,80,66,61
35.5,80,79,83,66,61
36.0,86,76,79,67,62
36.5,86,82,80,66,61
37.0,88,76,80,67,62
37.5,86,76,82,67,61
38.0,93,78,78,66,62
38.5,81,83,83,65,62
39.0,82,81,80,66,62
39.5,87,77,82,66,62
40.0,82,75,80,66,63
40.5,80,82,81,67,63
41.0,95,80,86,66,62
41.5,86,79,80,66,63
42.0,87,83,82,66,62
42.5,82,85,83,67,62
43.0,76,83,79,67,63
43.5,81,79,77,67,63
44.0,83,81,78,67,63
44.5,84,81,78,68,63
45.0,92,82,82,68,63
45.5,87,76,79,68,63
46.0,80,83,79,68,63
46.5,86,77,81,68,63
47.0,81,84,82,68,64
47.5,79,87,81,66,63
48.0,88,89,84,68,63
48.5,83,85,79,68,63
49.0,85,82,79,67,63
49.5,86,84,82,68,63
50.0,90,88,86,68,63
50.5,77,79,83,68,64
51.0,84,82,81,68,63
51.5,95,89,85,68,64
52.0,89,84,78,68,63
52.5,78,87,81,68,63
53.0,75,85,81,68,63
53.5,91,80,81,68,63
54.0,95,85,85,68,64
54.5,78,79,85,68,63
55.0,88,85,83,69,64
55.5,85,82,80,68,63
56.0,87,88,83,68,64
56.5,83,82,85,68,64
57.0,75,82,83,68,64
57.5,83,88,82,69,64
58.0,91,82,80,69,64
58.5,82,84,79,69,64
59.0,76,86,85,69,64
59.5,76,83,80,69,64
60.0,90,85,79,69,64
60.5,84,84,82,69,64
61.0,80,83,86,69,65
61.5,78,86,80,69,64
62.0,92,86,79,69,64
62.5,88,90,83,69,65
63.0,90,83,80,70,65
63.5,84,79,81,69,65
64.0,78,85,82,69,64
64.5,81,81,80,69,65
65.0,91,85,81,70,65
65.5,95,91,86,70,65
