time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,60,53,53,40,37
1.0,66,67,65,43,40
1.5,75,67,67,46,42
2.0,86,79,73,50,44
2.5,83,79,75,51,47
3.0,63,73,71,51,48
3.5,64,71,69,50,48
4.0,57,71,69,50,47
4.5,74,68,69,49,48
5.0,72,68,68,50,48
5.5,73,73,68,51,48
6.0,72,73,69,51,49
6.5,65,70,68,51,49
7.0,70,71,70,51,49
7.5,69,71,68,51,49
8.0,74,72,72,52,50
8.5,71,72,72,52,50
9.0,77,71,72,52,50
9.5,75,71,72,52,50
10.0,65,74,70,54,50
10.5,73,72,69,52,50
11.0,70,74,71,53,50
11.5,63,74,69,54,51
12.0,73,74,71,53,51
12.5,64,74,68,54,51
13.0,65,75,71,54,51
13.5,64,76,75,55,52
14.0,70,73,73,55,52
14.5,71,76,73,55,52
15.0,64,75,74,55,52
15.5,72,75,76,55,53
16.0,62,75,72,55,53
16.5,76,74,76,55,53
17.0,62,79,75,55,53
17.5,65,82,79,55,53
18.0,79,79,79,57,53
18.5,95,86,84,60,55
19.0,72,83,75,60,56
19.5,86,72,73,61,56
20.0,76,73,78,61,57
20.5,69,76,76,62,57
21.0,77,76,80,62,57
21.5,72,83,79,62,58
22.0,75,76,75,62,58
22.5,69,76,75,62,59
23.0,75,83,82,63,59
23.5,82,74,79,63,59
24.0,82,77,78,64,59
24.5,75,79,78,64,59
25.0,74,80,76,64,59
25.5,77,76,78,64,60
26.0,83,80,80,64,59
26.5,72,79,79,64,60
27.0,70,75,79,64,60
27.5,90,85,76,64,60
28.0,82,77,74,64,60
28.5,89,78,76,64,60
29.0,80,79,77,65,60
29.5,82,79,74,65,60
30.0,93,76,76,65,61
30.5,75,77,78,65,61
31.0,92,87,75,65,61
31.5,75,80,77,65,61
32.0,86,84,80,66,61
32.5,96,77,76,66,61
33.0,82,85,80,66,61
33.5,82,79,82,66,62
34.0,92,83,79,66,61
34.5,79,79,80,66,61
35.0,91,82,82,66,62
35.5,80,80,80,66,62
36.0,75,82,79,66,62
36.5,83,77,81,66,61
37.0,75,81,76,66,62
37.5,89,79,81,66,62
38.0,84,75,85,66,62
38.5,92,86,80,67,63
39.0,86,82,82,67,63
39.5,76,80,82,66,62
40.0,77,82,79,66,62
40.5,79,79,78,67,62
41.0,90,88,78,67,62
41.5,83,85,74,67,63
42.0,76,83,78,66,62
42.5,77,82,83,68,63
43.0,82,84,80,68,63
43.5,80,86,82,68,63
44.0,77,80,84,68,63
44.5,95,80,76,68,63
45.0,79,87,80,68,64
45.5,75,82,82,68,64
46.0,90,76,84,68,63
46.5,82,86,78,68,64
47.0,75,88,84,68,64
47.5,89,80,80,69,64
48.0,76,82,81,68,64
48.5,77,81,82,68,64
49.0,76,80,78,68,64
49.5,83,79,80,68,64
50.0,87,77,83,68,64
50.5,84,86,85,68,64
51.0,89,82,80,68,64
51.5,80,84,80,68,63
52.0,80,87,82,67,64
52.5,81,77,76,68,64
53.0,99,83,81,68,64
53.5,80,80,83,68,63
54.0,88,80,82,68,63
54.5,83,83,79,68,64
55.0,88,83,79,69,64
55.5,83,79,82,69,64
56.0,78,80,79,68,64
56.5,84,80,85,68,64
57.0,89,88,80,69,64
57.5,92,85,84,69,64
58.0,75,87,79,69,64
58.5,78,82,78,69,64
59.0,85,83,78,69,64
59.5,75,81,84,69,64
60.0,80,82,80,69,64
60.5,81,80,81,69,64
61.0,76,80,83,69,65
61.5,77,83,87,69,65
62.0,87,79,81,70,65
62.5,87,84,82,70,65
63.0,79,86,80,70,64
63.5,85,86,80,69,65
64.0,100,82,85,70,65
64.5,92,79,82,71,65
65.0,92,79,85,70,65
65.5,77,83,86,69,65
66.0,84,85,80,69,65
66.5,80,81,86,69,65
67.0,80,82,82,70,65
67.5,87,89,84,70,65
68.0,87,79,83,70,65
68.5,97,89,79,70,65
69.0,95,86,90,71,65
69.5,79,89,83,70,65
70.0,83,82,79,70,65
70.5,91,78,84,70,65
71.0,90,88,85,71,65
71.5,86,88,84,70,65
72.0,81,85,83,71,65
72.5,80,80,87,70,65
73.0,82,89,81,70,65
73.5,82,90,87,71,66
74.0,87,79,90,71,66
74.5,85,86,82,71,66
75.0,82,85,84,70,66
75.5,88,88,84,71,66
76.0,83,83,86,71,65
76.5,77,86,82,71,66
77.0,99,84,87,70,65
77.5,92,81,87,69,65
78.0,88,79,82,69,65
78.5,79,83,80,69,65
79.0,82,82,80,69,65
79.5,87,82,85,70,65
80.0,79,82,80,70,65
80.5,80,82,82,69,65
81.0,83,76,79,69,64
81.5,81,83,76,69,64
82.0,77,80,78,68,64
82.5,80,86,80,68,64
83.0,76,80,76,68,64
83.5,78,80,81,68,64
84.0,80,77,78,68,64
84.5,79,79,78,68,64
85.0,80,78,80,68,64
85.5,79,78,77,68,64
86.0,83,85,77,68,64
86.5,76,77,79,68,64
87.0,82,74,75,66,63
87.5,74,77,78,66,63
88.0,86,78,74,67,63
88.5,75,77,75,67,63
89.0,83,80,76,68,63
89.5,79,77,75,67,63
90.0,75,79,76,68,63
90.5,83,74,77,66,63
91.0,77,78,76,67,63
91.5,79,79,78,68,63
92.0,76,76,75,67,63
92.5,78,77,75,67,63
93.0,74,77,76,66,63
93.5,85,77,76,67,63
94.0,77,75,75,66,63
94.5,77,76,74,67,63
95.0,79,76,73,66,63
95.5,85,74,75,66,62
96.0,85,78,73,65,63
96.5,89,80,74,65,62
97.0,77,77,75,66,63
97.5,82,75,76,66,62
98.0,82,75,74,66,62
98.5,85,72,74,66,62
99.0,81,76,74,66,63
99.5,77,76,73,66,62
100.0,73,75,73,66,62
100.5,80,77,74,67,62
101.0,83,73,73,66,62
101.5,75,79,74,66,63
102.0,76,76,74,66,62
102.5,82,77,74,66,61
103.0,77,74,74,66,62
103.5,77,76,73,67,62
104.0,71,73,72,66,62
104.5,75,76,74,66,62
105.0,84,74,74,66,62
105.5,80,76,74,66,62
106.0,74,72,73,66,62
106.5,76,76,74,66,63
107.0,73,75,75,66,63
107.5,74,75,74,66,62
108.0,85,73,73,66,62
108.5,82,76,72,66,62
109.0,77,74,71,66,62
109.5,76,73,72,66,62
110.0,77,72,73,65,61
110.5,77,75,73,65,62
111.0,80,73,72,66,61
111.5,78,76,72,65,61
112.0,75,75,74,65,62
112.5,76,74,72,65,61
113.0,75,74,73,65,61
113.5,79,75,70,65,61
114.0,80,73,70,65,61
114.5,73,73,71,65,61
115.0,79,73,70,65,61
115.5,77,73,70,65,61
116.0,73,72,71,65,61
116.5,78,75,70,65,61
117.0,74,73,70,65,61
117.5,75,72,68,64,61
118.0,73,72,68,64,61
118.5,77,71,70,64,61
119.0,73,73,70,65,60
119.5,75,74,70,64,60
120.0,74,70,70,64,60
120.5,75,72,70,64,60
121.0,73,72,70,64,60
121.5,78,71,70,64,60
122.0,76,69,70,64,60
122.5,76,71,69,64,60
123.0,71,71,69,63,60
123.5,73,70,70,62,60
124.0,73,70,69,63,60
124.5,75,72,69,63,60
125.0,72,70,69,63,60
125.5,72,70,70,63,59
126.0,74,73,69,63,60
