time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,65,60,52,43,42
1.0,72,64,60,47,44
1.5,80,67,62,50,46
2.0,83,75,70,52,48
2.5,75,79,79,54,49
3.0,87,84,82,55,51
3.5,76,77,80,57,52
4.0,78,79,80,58,53
4.5,79,79,79,58,54
5.0,65,76,76,57,54
5.5,75,80,80,57,54
6.0,81,79,79,58,55
6.5,69,77,76,57,55
7.0,70,78,74,58,55
7.5,72,76,75,57,55
8.0,83,80,79,58,55
8.5,75,79,77,58,55
9.0,76,77,79,58,55
9.5,69,79,78,58,56
10.0,72,79,75,58,56
10.5,71,76,78,58,56
11.0,66,78,78,58,56
11.5,66,79,79,58,56
12.0,73,79,76,58,56
12.5,66,80,78,59,56
13.0,73,78,76,58,56
13.5,73,78,79,59,57
14.0,67,75,72,59,57
14.5,75,73,72,59,56
15.0,67,74,72,59,57
15.5,69,73,72,59,56
16.0,72,74,71,59,56
16.5,73,73,71,59,56
17.0,78,72,72,59,56
17.5,66,74,71,59,57
18.0,69,73,71,58,56
18.5,75,72,73,59,56
19.0,76,72,73,58,56
19.5,71,75,73,59,57
20.0,73,72,71,59,57
20.5,81,72,74,59,57
21.0,73,70,69,59,57
21.5,67,71,71,59,56
22.0,68,70,71,59,57
22.5,68,70,71,59,57
23.0,77,74,70,59,57
23.5,84,69,68,59,57
24.0,86,74,73,62,57
24.5,72,72,72,62,59
25.0,88,76,72,62,59
25.5,78,72,71,63,59
26.0,76,70,72,62,59
26.5,73,75,69,62,59
27.0,73,71,71,63,60
27.5,83,77,70,62,59
28.0,73,72,72,63,59
28.5,77,73,72,63,59
29.0,81,74,69,64,60
29.5,85,75,71,64,60
30.0,78,76,71,64,60
30.5,69,75,71,64,60
31.0,76,75,71,64,60
31.5,78,78,74,64,60
32.0,72,76,71,64,61
32.5,76,77,71,64,61
33.0,79,74,73,64,61
33.5,71,75,75,64,61
34.0,72,75,75,65,61
34.5,77,72,71,65,61
35.0,79,77,72,64,61
35.5,77,76,74,65,61
36.0,76,73,72,65,61
36.5,79,76,72,65,61
37.0,76,76,72,65,61
37.5,74,76,71,65,61
38.0,78,76,71,65,61
38.5,77,73,74,65,61
39.0,82,79,72,65,61
39.5,71,73,71,65,61
40.0,70,75,74,65,61
40.5,82,75,72,65,61
41.0,80,73,74,65,61
41.5,79,76,73,65,61
42.0,85,76,72,65,61
42.5,87,73,72,66,61
43.0,76,73,72,65,61
43.5,78,76,73,66,61
44.0,78,70,71,64,61
44.5,73,74,71,65,61
45.0,74,76,73,65,61
45.5,74,75,72,65,61
46.0,76,75,70,65,61
46.5,79,76,72,65,61
47.0,82,75,72,65,61
47.5,78,74,71,65,61
48.0,73,75,71,65,61
48.5,82,76,72,65,61
49.0,87,72,72,65,61
49.5,80,75,71,65,61
50.0,79,72,72,65,62
50.5,75,73,72,66,61
51.0,72,74,72,66,62
51.5,77,76,71,66,61
52.0,83,77,72,65,61
52.5,76,72,72,66,62
53.0,79,73,72,65,62
53.5,78,75,72,66,61
54.0,80,76,71,65,62
54.5,77,75,71,65,61
55.0,77,73,71,66,61
55.5,77,75,73,65,61
56.0,72,73,72,65,61
56.5,73,74,72,65,61
57.0,79,72,72,65,62
57.5,80,75,73,65,61
58.0,75,73,73,65,61
58.5,79,75,71,65,61
59.0,76,75,72,65,61
59.5,76,73,71,65,61
60.0,79,74,74,65,61
60.5,76,73,71,65,61
61.0,77,74,72,65,61
61.5,75,73,71,65,61
62.0,80,74,72,65,61
62.5,72,72,72,65,61
63.0,75,73,72,65,61
63.5,77,74,71,65,61
64.0,73,72,71,64,61
64.5,73,70,71,64,61
65.0,74,73,71,64,61
65.5,74,72,71,65,61
66.0,72,72,71,65,61
66.5,70,71,70,64,61
67.0,74,72,70,65,61
67.5,72,72,71,65,61
68.0,76,73,70,65,61
68.5,75,72,71,64,61
69.0,75,73,71,65,60
69.5,74,72,69,65,61
70.0,72,71,69,64,61
70.5,70,70,69,64,60
71.0,72,71,69,64,61
71.5,72,71,69,64,60
72.0,71,70,69,64,60
72.5,73,70,69,64,60
73.0,71,70,69,64,60
73.5,72,70,68,64,60
74.0,70,70,68,63,60
74.5,69,70,69,64,60
75.0,69,70,68,64,60
75.5,71,70,68,63,60
76.0,70,69,68,63,60
