time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,63,59,52,40,37
1.0,70,70,64,44,40
1.5,79,70,68,48,43
2.0,83,80,75,50,45
2.5,90,83,80,53,48
3.0,67,76,79,53,49
3.5,83,80,77,55,50
4.0,80,79,78,55,51
4.5,65,75,74,54,51
5.0,71,75,70,54,51
5.5,69,75,72,54,51
6.0,72,75,72,54,51
6.5,60,75,75,54,52
7.0,72,76,73,54,52
7.5,73,72,75,54,52
8.0,79,76,76,55,52
8.5,73,75,72,55,52
9.0,76,74,75,55,52
9.5,76,74,74,55,53
10.0,76,74,72,55,53
10.5,65,76,72,55,53
11.0,77,76,74,56,53
11.5,61,75,76,55,53
12.0,79,76,75,56,53
12.5,76,75,78,56,53
13.0,70,75,77,56,54
13.5,83,75,78,56,54
14.0,75,75,72,57,53
14.5,83,76,78,57,54
15.0,76,77,79,57,54
15.5,79,76,73,57,55
16.0,71,78,76,57,55
16.5,79,79,76,57,55
17.0,80,77,78,57,55
17.5,68,78,75,58,55
18.0,69,77,76,58,55
18.5,75,79,77,58,55
19.0,78,82,80,58,55
19.5,77,78,79,59,55
20.0,82,84,79,61,57
20.5,87,80,78,62,58
21.0,72,76,78,62,58
21.5,83,80,78,63,59
22.0,80,75,71,63,59
22.5,92,83,75,64,59
23.0,90,82,81,65,60
23.5,83,73,78,65,60
24.0,77,80,73,64,60
24.5,84,77,76,64,60
25.0,76,79,78,65,60
25.5,85,75,80,65,60
26.0,74,80,79,65,60
26.5,76,82,79,65,60
27.0,83,83,80,65,61
27.5,85,74,82,66,61
28.0,83,77,79,65,61
28.5,79,90,79,66,61
29.0,79,73,77,66,61
29.5,87,84,82,66,61
30.0,78,77,83,65,61
30.5,79,83,83,66,61
31.0,73,85,80,66,62
31.5,80,79,80,67,62
32.0,85,74,82,66,62
32.5,80,79,83,67,62
33.0,76,77,76,67,62
33.5,83,78,84,66,62
34.0,73,82,79,66,62
34.5,80,83,79,68,62
35.0,83,83,82,67,63
35.5,79,88,78,66,63
36.0,87,77,78,67,63
36.5,87,83,77,68,63
37.0,87,84,80,67,63
37.5,84,81,76,67,63
38.0,82,83,85,68,63
38.5,86,83,83,68,63
39.0,90,86,83,68,63
39.5,86,80,79,68,63
40.0,96,83,85,68,63
40.5,87,87,80,68,64
41.0,74,80,80,68,63
41.5,89,85,80,68,63
42.0,81,82,83,68,63
42.5,93,87,83,68,63
43.0,81,81,82,68,64
43.5,79,82,76,68,64
44.0,77,79,81,68,64
44.5,96,87,87,68,64
45.0,83,80,88,69,64
45.5,87,80,84,69,64
46.0,88,81,83,69,64
46.5,78,83,88,69,64
47.0,75,77,82,68,64
47.5,79,85,89,69,64
48.0,83,79,78,69,64
48.5,89,83,85,69,64
49.0,83,81,79,69,64
49.5,85,88,79,68,64
50.0,82,81,83,68,64
50.5,87,82,85,68,64
51.0,79,87,83,68,64
51.5,91,82,85,69,64
52.0,83,80,83,69,64
52.5,86,85,88,69,65
53.0,82,85,81,69,64
53.5,80,87,86,69,65
54.0,82,84,85,69,65
54.5,82,83,90,69,64
55.0,93,87,88,69,65
55.5,88,85,83,70,65
56.0,97,82,85,69,65
56.5,76,87,84,69,65
57.0,80,87,82,69,65
57.5,79,87,87,69,65
58.0,87,86,82,71,65
58.5,79,85,82,70,65
59.0,80,79,83,70,65
59.5,84,80,88,70,65
60.0,77,85,80,71,65
60.5,84,84,82,70,65
61.0,95,87,79,71,66
61.5,86,83,85,71,66
62.0,86,86,85,71,65
62.5,82,85,78,70,65
63.0,86,81,88,71,66
63.5,82,82,80,70,66
64.0,86,86,83,70,65
64.5,80,86,85,71,66
65.0,89,86,82,71,65
65.5,80,80,82,71,65
66.0,82,83,80,71,65
66.5,82,85,83,71,65
67.0,85,80,81,69,65
67.5,95,82,80,70,65
68.0,82,85,80,69,65
68.5,81,81,79,69,65
69.0,82,85,80,69,65
69.5,77,85,78,68,64
70.0,79,80,81,68,64
70.5,84,83,78,68,64
71.0,82,81,79,68,64
71.5,77,80,80,68,64
72.0,82,79,77,69,64
72.5,75,80,79,68,64
73.0,77,79,79,69,64
73.5,86,81,78,68,64
74.0,76,80,77,69,64
74.5,77,75,76,68,64
75.0,73,77,76,68,64
75.5,75,79,76,68,63
76.0,82,79,76,68,64
76.5,77,76,75,67,63
77.0,80,73,75,68,63
77.5,77,76,76,67,64
78.0,74,76,73,67,63
78.5,78,79,76,65,63
79.0,79,76,76,66,63
79.5,80,76,73,66,63
80.0,78,77,76,67,63
80.5,77,77,76,67,63
81.0,79,79,74,66,63
81.5,76,79,74,67,63
82.0,76,76,75,66,63
82.5,86,78,75,66,63
83.0,79,79,73,66,63
83.5,75,76,75,66,63
84.0,79,77,75,67,63
84.5,86,77,76,67,63
85.0,84,75,75,67,63
85.5,76,78,74,66,62
86.0,80,79,74,67,63
86.5,73,78,75,67,63
87.0,74,79,73,66,63
87.5,72,77,75,66,63
88.0,77,77,75,66,63
88.5,75,76,74,66,62
89.0,82,79,75,67,62
89.5,82,78,74,67,63
90.0,79,76,75,66,63
