time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,59,59,52,40,38
1.0,71,70,65,44,41
1.5,80,74,68,47,43
2.0,85,79,73,51,46
2.5,93,82,79,53,48
3.0,79,76,75,54,49
3.5,59,73,73,52,49
4.0,75,72,73,52,49
4.5,73,73,68,51,49
5.0,70,72,72,51,49
5.5,65,72,73,52,50
6.0,68,71,73,52,50
6.5,69,73,71,52,50
7.0,72,72,71,52,50
7.5,65,73,75,54,50
8.0,73,75,75,54,51
8.5,75,73,73,54,51
9.0,60,75,72,54,52
9.5,78,74,73,54,52
10.0,69,72,72,54,52
10.5,80,75,72,54,52
11.0,71,74,74,54,52
11.5,66,72,73,55,52
12.0,76,75,71,55,53
12.5,65,74,76,55,53
13.0,63,73,76,55,53
13.5,76,77,73,56,53
14.0,68,75,73,56,53
14.5,78,76,75,56,53
15.0,78,74,77,56,53
15.5,61,76,75,56,53
16.0,74,75,76,56,53
16.5,68,79,78,56,54
17.0,73,81,80,58,55
17.5,84,81,72,60,56
18.0,81,79,74,61,57
18.5,71,83,75,62,57
19.0,90,75,72,62,57
19.5,71,74,79,62,58
20.0,73,75,76,62,58
20.5,87,79,79,63,59
21.0,93,78,79,63,59
21.5,88,82,80,64,59
22.0,73,80,74,64,59
22.5,81,83,78,64,60
23.0,73,83,79,64,60
23.5,76,79,76,65,60
24.0,88,74,77,65,60
24.5,76,74,75,65,60
25.0,72,79,76,65,60
25.5,80,79,80,65,61
26.0,85,79,79,65,61
26.5,82,82,78,65,61
27.0,83,81,80,66,61
27.5,83,79,78,66,61
28.0,82,78,80,66,61
28.5,74,80,79,66,61
29.0,90,84,75,66,62
29.5,79,76,80,66,61
30.0,89,83,78,66,62
30.5,77,77,83,67,62
31.0,86,79,82,66,62
31.5,86,83,78,67,62
32.0,79,77,82,67,62
32.5,79,80,79,66,62
33.0,84,75,80,67,63
33.5,88,82,75,67,63
34.0,77,86,82,67,63
34.5,91,80,82,67,63
35.0,75,86,79,66,63
35.5,79,79,82,68,63
36.0,75,79,86,68,63
36.5,75,82,83,68,63
37.0,83,83,80,67,63
37.5,82,80,80,67,63
38.0,80,84,78,67,63
38.5,83,80,85,68,63
39.0,87,85,83,67,63
39.5,84,82,84,68,63
40.0,85,77,81,68,63
40.5,81,86,79,67,63
