time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,64,58,51,39,38
1.0,76,70,64,45,41
1.5,79,75,69,49,44
2.0,86,81,75,51,46
2.5,83,83,78,54,49
3.0,92,80,82,55,50
3.5,81,83,78,55,51
4.0,85,78,80,57,52
4.5,76,78,78,55,52
5.0,70,74,75,55,52
5.5,71,76,77,55,52
6.0,68,74,76,55,52
6.5,66,74,73,55,52
7.0,85,75,75,55,52
7.5,82,74,76,55,53
8.0,74,78,73,55,53
8.5,62,77,76,56,53
9.0,72,76,73,56,53
9.5,71,76,73,55,53
10.0,77,76,74,56,53
10.5,83,75,74,56,53
11.0,76,78,77,56,54
11.5,69,75,76,56,53
12.0,75,78,73,57,54
12.5,72,76,73,56,54
13.0,84,77,76,57,55
13.5,77,79,75,57,55
14.0,66,76,78,58,55
14.5,72,78,76,58,55
15.0,73,78,76,57,55
15.5,65,75,80,58,55
16.0,85,78,78,58,55
16.5,66,79,76,57,55
17.0,67,79,78,58,55
17.5,65,78,75,58,55
18.0,77,78,78,58,56
18.5,67,78,76,58,56
19.0,72,75,76,58,56
19.5,72,77,80,61,57
20.0,74,73,75,62,58
20.5,76,73,79,62,58
21.0,73,86,76,62,59
21.5,83,75,76,63,59
22.0,89,84,81,63,59
22.5,74,79,74,64,60
23.0,94,84,80,65,60
23.5,72,82,81,65,60
24.0,76,79,77,65,60
24.5,89,74,78,65,60
25.0,83,76,82,65,61
25.5,91,85,80,66,61
26.0,83,82,79,65,61
26.5,79,81,80,66,61
27.0,86,75,76,66,61
27.5,79,77,82,66,61
28.0,73,87,79,66,61
28.5,89,77,82,66,62
29.0,89,75,76,66,62
29.5,80,81,76,66,62
30.0,80,87,79,66,62
30.5,78,79,80,66,62
31.0,86,77,80,66,63
31.5,99,83,82,67,63
32.0,80,82,80,67,63
32.5,90,76,80,68,63
33.0,83,82,79,67,63
33.5,83,80,84,67,63
34.0,90,82,82,67,63
34.5,85,85,82,68,63
35.0,88,80,82,68,63
35.5,79,77,85,68,63
36.0,82,77,79,68,64
36.5,83,79,82,68,64
37.0,79,85,87,68,64
37.5,85,83,82,68,64
38.0,84,88,79,68,64
38.5,90,77,85,68,64
39.0,76,88,82,68,64
39.5,103,84,79,68,64
40.0,75,82,85,68,63
40.5,85,82,83,68,64
41.0,82,83,80,69,64
41.5,82,88,85,69,64
42.0,89,85,81,68,64
42.5,85,86,82,69,64
43.0,86,83,81,69,64
43.5,82,85,78,69,64
44.0,92,89,85,69,64
44.5,77,87,86,69,64
45.0,81,82,83,69,64
45.5,97,84,82,69,64
46.0,79,84,85,69,65
46.5,80,83,83,69,65
47.0,85,92,89,70,65
47.5,84,82,88,70,65
48.0,76,80,84,69,65
48.5,88,88,79,69,65
49.0,81,87,83,70,65
49.5,82,88,85,70,65
50.0,80,77,82,70,65
50.5,86,83,81,70,65
51.0,80,80,82,69,65
51.5,84,86,79,70,65
52.0,90,83,80,70,65
52.5,78,85,83,69,65
53.0,85,80,79,71,65
53.5,78,81,83,69,65
54.0,83,88,81,69,65
54.5,77,82,81,69,65
55.0,79,77,83,69,65
55.5,77,84,78,69,65
56.0,80,83,82,69,65
56.5,83,80,82,69,65
57.0,80,77,79,69,65
57.5,79,77,80,69,65
58.0,88,80,79,69,65
58.5,79,80,78,69,65
59.0,78,78,79,68,64
59.5,79,82,79,69,64
60.0,75,79,80,68,64
60.5,79,76,78,68,64
61.0,75,81,78,68,64
61.5,83,83,78,68,64
62.0,82,80,80,68,64
62.5,77,80,77,68,64
63.0,79,76,78,68,64
63.5,87,78,80,68,64
64.0,80,79,77,68,64
64.5,82,79,76,68,64
65.0,76,77,74,68,63
65.5,79,77,76,68,64
66.0,80,78,74,68,63
66.5,75,79,75,67,64
67.0,80,74,74,67,63
67.5,79,76,75,67,63
68.0,85,76,77,67,63
68.5,78,83,76,67,63
69.0,83,75,75,67,63
69.5,80,76,76,68,63
70.0,75,77,76,67,63
70.5,79,76,75,66,63
71.0,82,77,77,68,63
71.5,79,79,74,68,63
72.0,83,75,76,68,63
72.5,79,78,76,68,63
73.0,76,77,76,67,63
73.5,79,77,76,67,63
74.0,80,77,78,67,63
74.5,78,78,74,68,63
75.0,82,76,75,68,63
75.5,78,77,74,68,63
76.0,76,77,75,67,63
76.5,72,77,75,67,63
77.0,81,79,74,68,63
77.5,74,75,75,66,63
78.0,77,75,75,66,63
78.5,79,79,75,67,63
79.0,82,79,75,66,63
79.5,72,74,71,66,63
80.0,75,77,72,66,63
80.5,79,73,75,66,63
81.0,74,75,73,66,63
81.5,78,76,74,66,62
82.0,77,77,74,66,63
82.5,75,74,75,66,63
83.0,75,75,73,66,62
83.5,76,72,75,66,63
84.0,74,73,72,66,62
84.5,78,76,73,65,62
85.0,74,73,74,66,62
85.5,76,74,72,66,63
86.0,80,75,72,66,62
86.5,75,72,72,65,62
87.0,75,76,72,65,62
87.5,73,73,71,65,61
88.0,72,72,72,65,62
88.5,74,75,73,66,61
89.0,75,73,70,65,61
89.5,75,70,71,65,61
90.0,76,73,71,65,61
90.5,77,73,70,65,61
91.0,73,75,72,65,61
91.5,79,72,72,65,61
92.0,79,72,71,65,61
92.5,75,73,71,65,61
93.0,73,73,71,65,61
93.5,75,73,71,65,61
94.0,72,73,71,65,61
94.5,73,73,71,65,61
95.0,73,72,71,65,61
95.5,76,70,71,64,61
96.0,70,71,70,65,60
96.5,76,73,71,64,61
97.0,75,73,71,65,61
97.5,75,72,70,65,61
98.0,71,71,70,64,60
