time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,70,60,50,40,38
1.0,77,67,65,44,41
1.5,79,73,71,48,44
2.0,91,81,75,50,45
2.5,85,79,79,52,48
3.0,92,83,81,56,50
3.5,80,78,81,55,51
4.0,91,75,79,57,52
4.5,79,76,73,55,52
5.0,82,76,73,54,52
5.5,82,77,78,55,52
6.0,69,72,74,54,52
6.5,75,74,75,55,52
7.0,73,75,71,55,52
7.5,76,78,70,55,52
8.0,74,75,74,55,53
8.5,67,74,73,55,53
9.0,73,76,72,55,53
9.5,76,76,71,55,53
10.0,61,74,76,55,53
10.5,67,76,76,55,53
11.0,73,75,73,56,53
11.5,70,76,76,56,54
12.0,66,76,76,57,54
12.5,80,75,73,58,54
13.0,70,76,75,57,55
13.5,62,77,79,57,55
14.0,65,77,74,57,55
14.5,73,76,78,57,55
15.0,83,76,76,57,55
15.5,77,76,75,58,55
16.0,77,76,78,58,55
16.5,83,78,75,58,55
17.0,68,77,78,58,55
17.5,77,76,77,58,56
18.0,78,78,76,58,56
18.5,71,79,78,58,55
19.0,81,78,78,58,56
19.5,72,79,80,58,56
20.0,89,82,83,62,57
20.5,87,80,77,63,58
21.0,82,75,74,62,58
21.5,79,79,75,62,59
22.0,79,80,75,63,59
22.5,72,75,82,64,60
23.0,79,83,80,64,59
23.5,76,84,74,65,60
24.0,78,77,73,64,60
24.5,94,73,80,64,60
25.0,88,84,76,65,60
25.5,76,79,79,66,61
26.0,85,82,79,65,61
26.5,88,83,79,65,61
27.0,92,76,80,65,61
27.5,86,80,80,66,61
28.0,80,79,75,65,61
28.5,83,75,80,66,61
29.0,87,79,79,66,61
29.5,73,82,80,66,62
30.0,91,78,83,66,62
30.5,78,79,82,66,62
31.0,86,84,80,66,62
31.5,85,83,78,66,63
32.0,83,77,82,66,62
32.5,79,85,85,67,62
33.0,83,86,78,66,63
33.5,83,87,86,68,63
34.0,85,85,79,68,63
34.5,88,78,86,68,63
35.0,83,83,81,68,63
35.5,79,80,78,68,63
36.0,89,82,84,68,63
36.5,86,85,81,68,63
37.0,81,91,80,68,64
37.5,81,77,80,68,64
38.0,79,85,80,68,64
38.5,88,86,82,69,64
39.0,77,78,82,68,64
39.5,89,88,77,68,64
40.0,96,85,80,68,64
40.5,77,86,83,69,64
41.0,79,85,80,68,64
41.5,75,85,81,69,64
42.0,75,86,84,68,64
42.5,75,80,85,68,64
43.0,83,82,79,68,64
43.5,78,90,83,69,64
44.0,75,80,81,69,64
44.5,89,84,82,68,64
45.0,80,87,86,69,64
45.5,87,87,82,69,64
46.0,76,86,80,69,65
46.5,86,85,84,69,64
47.0,77,86,85,69,65
47.5,80,87,83,69,65
48.0,81,86,83,68,64
48.5,82,81,85,69,65
49.0,86,85,80,69,65
49.5,96,80,90,69,65
50.0,78,82,84,69,65
50.5,83,82,82,69,65
51.0,85,82,87,69,65
51.5,77,80,82,69,65
52.0,77,83,82,69,65
52.5,83,76,83,69,65
53.0,82,79,80,69,65
53.5,82,85,87,69,65
54.0,86,83,80,69,65
54.5,76,82,85,69,65
55.0,79,79,81,69,64
55.5,81,77,80,68,65
56.0,86,80,79,69,64
56.5,84,79,80,69,65
57.0,92,84,79,68,64
57.5,80,81,78,68,64
58.0,81,79,78,69,64
58.5,79,79,78,68,64
59.0,77,75,79,68,64
59.5,80,82,78,68,64
60.0,75,78,79,68,64
60.5,79,76,80,68,64
61.0,81,81,78,68,64
61.5,83,82,75,68,64
62.0,77,77,77,68,64
62.5,86,76,75,68,64
63.0,78,75,75,68,64
63.5,83,80,75,68,64
64.0,77,77,75,68,63
64.5,75,76,76,68,64
65.0,76,77,79,68,64
65.5,77,76,75,68,63
66.0,85,80,75,68,64
66.5,85,76,74,68,63
67.0,79,76,76,67,63
67.5,77,77,73,68,63
68.0,75,79,74,67,63
68.5,80,78,78,68,63
69.0,76,77,73,67,63
69.5,79,79,74,68,63
70.0,77,74,75,66,63
70.5,76,78,76,66,63
71.0,80,79,75,68,63
71.5,79,80,76,67,63
72.0,75,78,75,66,63
72.5,78,77,75,67,63
73.0,79,77,74,66,63
73.5,79,75,75,67,63
74.0,80,78,75,67,63
74.5,79,78,73,67,63
75.0,78,77,76,66,63
75.5,82,73,75,67,63
76.0,82,77,74,67,63
76.5,80,76,74,68,63
77.0,74,74,73,66,63
77.5,82,77,74,66,62
78.0,79,76,72,67,63
78.5,75,76,71,66,63
79.0,83,77,74,66,62
79.5,81,75,74,66,62
80.0,74,76,73,66,62
80.5,80,78,74,66,62
81.0,83,72,73,66,63
81.5,83,76,73,66,63
82.0,83,77,72,66,62
82.5,72,75,74,66,62
83.0,78,75,72,65,63
83.5,81,75,72,66,62
84.0,76,73,71,66,61
84.5,77,75,72,66,62
85.0,76,74,72,65,62
85.5,76,75,71,65,61
86.0,76,74,72,65,61
86.5,75,73,72,65,61
87.0,74,73,71,65,61
87.5,75,73,71,65,61
88.0,75,75,71,65,61
88.5,77,74,72,65,61
89.0,75,75,71,66,61
89.5,79,73,72,65,61
90.0,76,74,72,65,61
90.5,77,73,71,64,61
91.0,72,71,70,64,61
91.5,74,73,72,64,61
92.0,75,72,71,64,61
92.5,73,71,70,64,60
93.0,73,72,69,64,60
93.5,73,72,70,64,60
94.0,76,73,71,64,60
94.5,74,73,71,64,60
95.0,76,73,71,64,61
95.5,76,73,71,64,60
96.0,76,72,71,64,60
96.5,74,71,68,64,60
97.0,73,72,70,64,60
97.5,72,72,70,63,60
98.0,70,71,69,63,60
98.5,71,70,69,63,60
99.0,69,70,70,63,60
99.5,72,72,70,62,60
100.0,72,70,68,63,60
100.5,69,69,68,62,59
101.0,69,70,70,62,59
101.5,69,69,68,62,59
102.0,69,70,68,62,59
102.5,71,69,68,63,59
103.0,70,69,69,63,60
103.5,70,69,69,63,59
104.0,69,70,69,62,59
104.5,70,71,69,62,59
105.0,67,69,68,63,59
105.5,71,69,68,63,60
106.0,70,68,68,62,59
106.5,72,70,69,63,59
107.0,71,70,69,63,59
107.5,70,69,69,62,59
108.0,70,69,69,62,59
108.5,70,69,69,63,59
109.0,71,69,69,63,59
109.5,69,69,68,63,59
110.0,69,67,68,62,59
110.5,70,70,69,62,59
111.0,69,70,68,62,59
111.5,67,69,68,62,59
112.0,71,70,68,63,59
112.5,69,69,68,62,60
113.0,72,70,69,62,59
113.5,70,70,68,62,59
114.0,70,70,69,62,59
114.5,69,69,68,63,59
115.0,71,69,68,62,59
115.5,72,69,68,62,59
116.0,69,69,68,62,59
116.5,71,69,68,62,59
117.0,68,69,68,62,59
117.5,70,70,69,62,59
118.0,71,69,68,62,59
118.5,71,70,68,62,59
119.0,68,69,67,62,59
119.5,69,70,68,62,59
120.0,70,70,68,62,59
120.5,70,69,68,62,59
121.0,69,68,67,62,59
121.5,69,69,68,62,59
122.0,70,69,67,62,59
122.5,70,69,68,62,59
123.0,69,69,68,62,59
123.5,71,69,68,63,59
