time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,57,53,52,40,37
1.0,70,67,64,43,39
1.5,74,72,67,46,42
2.0,89,77,73,49,45
2.5,86,79,76,51,46
3.0,67,70,72,50,47
3.5,66,70,68,50,47
4.0,71,68,68,50,47
4.5,69,68,69,49,47
5.0,72,72,69,50,48
5.5,67,74,69,51,48
6.0,68,70,70,51,48
6.5,63,69,72,51,49
7.0,64,70,67,51,49
7.5,67,70,70,51,49
8.0,62,73,68,52,49
8.5,76,71,72,51,49
9.0,60,71,73,52,50
9.5,66,71,68,52,50
10.0,80,72,69,52,50
10.5,68,73,73,53,50
11.0,72,71,73,53,51
11.5,70,74,71,53,50
12.0,79,72,73,54,51
12.5,62,74,69,53,50
13.0,72,74,75,54,51
13.5,59,75,73,54,52
14.0,72,73,73,54,52
14.5,67,71,72,54,52
15.0,76,73,75,55,52
15.5,77,74,71,54,52
16.0,67,73,71,55,52
16.5,72,73,73,55,53
17.0,60,75,76,55,52
17.5,69,76,72,55,52
18.0,79,79,73,55,53
18.5,86,80,77,57,53
19.0,90,80,80,59,55
19.5,84,80,83,61,56
20.0,89,79,77,61,57
20.5,80,80,77,62,57
21.0,82,81,77,61,57
21.5,69,76,79,62,58
22.0,80,72,74,62,58
22.5,80,76,76,62,58
23.0,92,79,77,62,58
23.5,70,74,78,63,58
24.0,78,72,75,63,59
24.5,72,78,78,64,59
25.0,85,76,73,64,59
25.5,90,77,76,64,59
26.0,76,77,76,64,59
26.5,79,78,78,64,59
27.0,75,84,81,64,60
27.5,81,82,73,64,60
28.0,80,85,80,64,60
28.5,84,78,78,64,60
29.0,85,77,78,65,60
29.5,76,75,82,64,60
30.0,79,80,79,65,60
30.5,72,82,80,64,60
31.0,77,82,78,65,60
31.5,74,82,81,65,60
32.0,82,79,80,65,61
32.5,89,83,76,65,60
33.0,77,74,74,65,60
33.5,78,76,79,65,61
34.0,85,80,78,65,61
34.5,75,79,78,65,61
35.0,82,84,83,66,61
35.5,86,85,79,66,61
36.0,86,82,84,66,61
36.5,76,80,85,66,62
37.0,73,77,80,66,61
37.5,73,89,82,66,62
38.0,78,78,82,66,61
38.5,79,84,83,66,62
39.0,80,79,78,65,61
39.5,75,84,75,66,61
40.0,80,81,83,66,62
40.5,82,77,86,66,61
41.0,77,83,78,66,61
41.5,89,73,86,66,62
42.0,82,82,85,65,61
42.5,80,80,82,66,62
43.0,92,84,82,66,62
43.5,76,85,79,67,62
44.0,81,82,82,67,63
44.5,75,86,77,67,63
45.0,80,78,84,67,63
45.5,88,89,79,66,63
46.0,88,83,82,67,63
46.5,94,84,79,68,63
47.0,77,83,82,68,63
47.5,85,87,84,68,63
48.0,82,79,80,66,63
48.5,75,83,80,67,63
49.0,83,83,83,67,63
49.5,86,79,85,67,63
50.0,77,77,80,67,63
50.5,80,83,79,68,63
51.0,90,89,80,68,63
51.5,75,80,78,68,63
52.0,84,79,78,68,63
52.5,80,85,82,68,63
53.0,83,82,79,67,63
53.5,89,87,78,67,63
54.0,79,79,81,68,63
54.5,92,82,86,68,63
55.0,86,80,81,68,63
55.5,82,80,79,68,63
56.0,82,81,83,68,64
56.5,80,76,81,68,64
57.0,81,77,82,68,63
57.5,82,86,85,67,64
58.0,87,84,82,68,64
58.5,78,77,84,68,64
59.0,83,85,79,68,64
59.5,83,82,85,69,64
60.0,87,80,83,69,64
60.5,81,86,80,69,64
61.0,90,78,83,69,64
61.5,92,85,81,69,64
62.0,79,81,85,69,64
62.5,79,86,83,69,64
63.0,92,90,82,69,64
63.5,90,87,79,69,64
64.0,86,87,81,69,64
64.5,89,85,78,69,64
65.0,84,84,82,69,65
65.5,76,87,83,69,65
66.0,85,82,81,70,65
66.5,86,84,83,69,65
67.0,83,79,84,69,65
67.5,89,80,82,69,65
68.0,82,80,84,69,65
68.5,79,89,83,70,65
69.0,76,92,83,70,65
69.5,89,87,83,69,65
70.0,76,85,83,70,65
70.5,85,86,83,69,65
71.0,92,83,89,70,65
71.5,76,88,85,70,65
72.0,83,85,86,70,65
72.5,86,85,81,70,65
73.0,80,84,85,69,65
73.5,77,93,84,71,65
74.0,85,80,82,71,65
74.5,86,85,86,70,65
75.0,92,85,83,70,65
75.5,86,83,86,70,65
76.0,77,87,86,71,65
76.5,92,85,85,71,66
77.0,83,90,82,70,66
77.5,88,84,82,71,65
78.0,86,84,81,69,65
78.5,87,89,81,70,65
79.0,76,85,86,69,65
79.5,83,85,85,69,65
80.0,85,79,83,70,65
80.5,81,86,86,69,65
81.0,76,89,85,70,65
81.5,89,80,78,69,65
82.0,84,86,81,69,65
82.5,90,80,78,69,65
83.0,92,81,83,70,65
83.5,90,81,85,69,65
84.0,81,84,81,69,65
84.5,76,84,80,69,65
85.0,82,85,80,69,65
85.5,75,86,80,69,65
86.0,83,79,79,69,65
86.5,84,81,82,69,65
87.0,84,82,79,69,65
87.5,76,77,78,68,64
88.0,80,77,79,68,64
88.5,79,79,81,69,64
89.0,82,80,77,68,64
89.5,85,82,80,68,64
90.0,83,76,73,68,63
90.5,76,80,74,67,64
91.0,76,82,79,68,64
91.5,78,77,81,68,63
92.0,80,79,77,68,64
92.5,79,82,78,68,63
93.0,81,77,76,67,63
93.5,80,79,76,68,63
94.0,80,79,77,68,63
94.5,74,76,75,66,63
95.0,86,76,78,68,63
95.5,82,78,74,67,63
96.0,80,77,77,67,63
96.5,88,74,76,66,63
97.0,85,76,75,66,63
97.5,83,79,74,66,63
98.0,87,79,75,66,63
98.5,75,77,75,66,63
99.0,79,79,72,66,63
99.5,74,76,75,66,63
100.0,80,77,75,67,62
100.5,73,76,75,67,63
101.0,79,77,75,66,63
101.5,80,76,76,66,63
102.0,78,74,75,66,63
102.5,75,76,73,66,63
103.0,75,76,75,66,62
103.5,79,76,73,67,62
104.0,72,75,73,66,63
104.5,83,76,75,66,63
105.0,81,77,73,66,63
105.5,77,73,77,67,62
106.0,73,76,75,66,63
106.5,77,75,75,66,63
107.0,83,77,76,66,62
107.5,75,76,73,66,63
108.0,87,79,75,66,63
108.5,75,74,74,66,63
109.0,77,76,73,66,62
109.5,83,73,72,66,62
110.0,84,75,75,66,62
110.5,81,78,75,66,63
111.0,73,76,73,66,62
111.5,79,77,75,66,62
112.0,79,74,75,66,63
112.5,80,76,76,66,63
113.0,77,77,74,66,62
113.5,78,76,73,66,62
114.0,81,73,72,66,62
114.5,82,77,72,66,62
115.0,76,72,72,66,62
115.5,75,74,74,66,63
116.0,76,74,72,66,62
116.5,79,77,72,66,61
117.0,83,75,72,65,61
117.5,81,75,71,66,61
118.0,74,74,71,65,61
118.5,77,75,72,64,61
119.0,76,74,72,65,61
119.5,76,73,71,65,61
120.0,75,73,72,65,60
120.5,79,74,71,65,61
121.0,74,72,71,64,61
121.5,75,73,70,64,61
122.0,76,73,72,64,60
122.5,79,71,70,64,60
123.0,75,75,71,64,61
123.5,72,73,71,64,60
124.0,75,73,70,64,60
124.5,76,69,71,64,60
125.0,75,73,71,64,60
125.5,75,73,71,64,60
126.0,77,72,70,64,60
126.5,72,71,71,64,60
127.0,75,72,70,64,60
127.5,73,71,70,63,60
128.0,76,72,70,64,60
128.5,70,70,68,63,59
129.0,70,71,68,62,59
129.5,72,70,69,62,59
130.0,73,72,69,62,59
130.5,73,70,69,63,59
131.0,72,71,69,62,59
131.5,71,71,69,62,59
132.0,71,70,70,62,59
132.5,73,70,70,62,59
133.0,72,69,68,62,59
133.5,70,70,69,62,59
134.0,72,71,68,62,59
134.5,73,69,68,62,59
135.0,71,70,69,62,59
135.5,69,69,68,62,59
136.0,71,70,68,62,59
136.5,70,70,69,62,59
137.0,72,70,68,62,59
137.5,69,69,68,62,59
138.0,71,69,69,62,59
138.5,70,70,68,61,58
139.0,70,69,68,62,59
139.5,71,70,68,61,58
140.0,70,69,67,61,58
140.5,72,69,67,62,59
141.0,69,69,68,62,59
141.5,68,70,68,61,58
142.0,66,68,68,62,58
142.5,67,69,68,62,59
143.0,69,69,68,62,58
143.5,71,69,67,62,59
144.0,70,68,69,62,59
144.5,69,67,67,61,58
145.0,67,69,66,62,58
145.5,68,67,68,61,58
146.0,69,68,67,61,58
146.5,71,68,67,62,58
147.0,69,68,67,62,58
147.5,70,68,67,61,58
148.0,67,69,67,62,58
148.5,70,69,68,61,58
149.0,69,67,68,61,58
149.5,68,69,67,61,59
150.0,67,68,67,61,58
150.5,70,68,67,61,57
151.0,68,67,67,61,58
151.5,68,68,67,61,58
152.0,67,67,67,61,57
152.5,69,68,67,61,57
153.0,70,68,67,61,57
153.5,65,67,67,61,57
154.0,69,68,68,60,57
154.5,69,68,66,61,58
155.0,70,69,67,61,58
155.5,70,69,66,61,57
156.0,70,67,67,61,57
156.5,69,67,66,61,57
157.0,66,67,67,61,58
157.5,68,68,67,61,57
158.0,69,68,67,61,57
158.5,66,67,67,61,57
159.0,69,68,67,61,57
159.5,68,67,67,61,57
160.0,67,68,67,61,57
160.5,69,67,67,61,58
161.0,69,67,65,60,57
161.5,69,68,67,61,57
162.0,69,67,67,61,57
162.5,69,68,68,60,57
163.0,68,67,67,61,58
163.5,69,68,67,61,57
164.0,69,67,68,61,57
164.5,70,67,67,60,57
165.0,68,67,67,60,57
165.5,67,66,66,60,57
166.0,70,67,66,60,57
166.5,69,67,67,60,57
167.0,69,67,67,60,57
167.5,69,67,66,60,57
168.0,68,68,67,60,57
168.5,68,67,66,60,57
169.0,67,67,65,59,57
169.5,69,67,66,60,57
170.0,70,67,67,60,57
170.5,66,66,66,60,57
171.0,68,67,67,60,57
171.5,67,67,66,60,57
172.0,65,67,66,60,57
172.5,68,67,66,60,57
173.0,69,68,66,60,57
173.5,70,67,66,61,57
174.0,68,67,67,60,57
174.5,67,67,68,61,57
175.0,70,66,66,60,57
175.5,69,67,65,59,57
176.0,66,66,65,59,57
176.5,68,67,66,60,57
177.0,67,67,66,60,57
177.5,68,67,66,60,57
178.0,66,67,67,61,57
178.5,68,68,67,60,57
179.0,69,66,67,60,57
179.5,66,69,67,60,57
180.0,67,66,66,61,57
180.5,69,69,67,60,57
181.0,69,67,67,60,57
181.5,68,66,66,60,57
182.0,67,67,66,60,57
182.5,67,66,67,59,57
183.0,67,67,66,59,57
183.5,70,67,65,59,57
184.0,69,67,66,60,57
184.5,67,66,66,60,57
185.0,66,67,66,60,57
185.5,67,67,65,60,56
186.0,69,67,66,59,57
186.5,69,67,65,59,57
187.0,67,66,66,60,57
187.5,67,67,66,60,57
188.0,67,67,66,61,57
188.5,67,67,66,60,57
189.0,68,67,67,61,57
189.5,68,67,67,61,57
190.0,69,67,67,60,57
190.5,68,67,67,61,57
191.0,69,67,66,61,57
