time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,67,59,53,38,36
1.0,73,65,63,43,39
1.5,79,75,68,47,42
2.0,90,78,75,49,45
2.5,83,79,78,51,47
3.0,85,80,80,53,48
3.5,89,78,78,54,49
4.0,79,75,75,55,50
4.5,67,72,72,53,50
5.0,67,71,74,52,50
5.5,76,72,74,52,50
6.0,67,71,72,52,50
6.5,69,74,74,52,50
7.0,59,73,72,52,50
7.5,72,74,71,52,50
8.0,68,73,74,53,51
8.5,62,72,72,53,50
9.0,78,72,68,54,50
9.5,65,74,74,54,52
10.0,61,74,73,54,52
10.5,73,74,74,54,51
11.0,61,75,73,54,52
11.5,70,76,69,55,52
12.0,69,72,71,55,52
12.5,61,75,71,55,52
13.0,69,75,72,55,52
13.5,84,74,71,55,52
14.0,68,74,74,55,53
14.5,82,75,73,55,53
15.0,75,76,76,55,52
15.5,67,77,72,55,53
16.0,76,75,73,55,53
16.5,76,76,75,55,53
17.0,81,75,76,56,53
17.5,64,76,77,56,54
18.0,73,75,75,56,53
18.5,80,78,73,56,53
19.0,70,77,78,56,53
19.5,71,80,78,59,55
20.0,82,76,72,60,56
20.5,70,74,75,61,56
21.0,75,73,70,61,57
21.5,81,76,75,61,57
22.0,69,79,72,61,57
22.5,81,75,76,61,57
23.0,85,80,79,62,57
23.5,69,76,78,63,58
24.0,73,77,74,62,58
24.5,76,73,76,63,59
25.0,86,81,78,62,59
25.5,81,71,77,63,59
26.0,84,76,80,64,59
26.5,83,76,76,64,59
27.0,82,75,76,64,60
27.5,95,82,75,64,59
28.0,83,79,77,64,60
28.5,77,79,82,64,60
29.0,84,74,78,65,60
29.5,89,76,79,64,60
30.0,92,85,79,64,60
30.5,77,80,81,64,60
31.0,87,73,82,65,60
31.5,73,80,78,65,60
32.0,96,76,78,65,60
32.5,85,76,78,65,60
33.0,77,82,83,65,61
33.5,83,79,78,64,60
34.0,73,75,82,66,61
34.5,91,75,80,65,61
35.0,90,77,84,66,61
35.5,76,79,75,65,61
36.0,82,79,76,66,61
36.5,90,84,83,66,61
37.0,77,75,81,66,61
37.5,83,75,80,65,61
38.0,82,85,74,66,61
38.5,85,77,80,65,61
39.0,76,76,78,66,62
39.5,86,82,75,66,62
40.0,86,89,83,66,61
40.5,92,87,77,66,62
41.0,73,82,83,66,62
41.5,76,84,79,66,61
42.0,90,87,77,66,62
42.5,90,86,83,67,62
43.0,85,80,84,67,63
43.5,75,84,84,66,63
44.0,86,79,77,67,62
44.5,78,76,79,66,62
45.0,81,81,86,67,63
45.5,88,79,85,68,63
46.0,83,79,76,67,63
46.5,79,84,80,68,63
47.0,80,79,80,68,63
47.5,87,85,80,68,63
48.0,83,84,82,68,63
48.5,80,79,85,68,63
49.0,92,82,78,68,63
49.5,82,79,80,68,64
50.0,93,86,80,68,64
50.5,80,82,80,68,64
51.0,79,85,84,67,63
51.5,85,80,84,68,63
52.0,87,86,87,68,63
52.5,78,79,82,68,63
53.0,79,82,84,68,64
53.5,92,88,85,68,64
54.0,80,79,85,68,63
54.5,83,79,80,68,64
55.0,87,79,85,68,64
55.5,83,82,79,68,64
56.0,86,83,82,68,64
56.5,92,84,82,68,64
57.0,89,84,82,69,64
57.5,81,82,82,68,64
58.0,93,88,85,68,64
58.5,87,80,82,69,64
59.0,85,82,78,69,64
59.5,81,81,84,69,64
60.0,83,83,83,69,64
60.5,81,90,79,69,64
61.0,80,85,83,68,64
61.5,91,81,80,69,64
62.0,81,85,87,69,64
62.5,91,78,83,69,64
63.0,82,84,84,69,65
63.5,87,87,79,69,65
64.0,91,88,81,69,65
64.5,90,83,84,69,65
65.0,82,81,83,69,64
65.5,79,87,83,69,65
66.0,77,83,82,69,64
66.5,80,86,81,69,65
67.0,84,83,78,69,64
67.5,77,83,86,69,65
68.0,90,87,83,70,65
68.5,92,79,83,69,65
69.0,80,85,80,70,65
69.5,89,84,84,70,65
70.0,89,89,80,69,65
70.5,88,90,81,70,65
71.0,89,85,84,71,65
71.5,79,85,86,70,65
72.0,80,79,83,70,65
72.5,84,82,83,70,66
73.0,80,88,89,71,65
73.5,96,85,91,71,65
74.0,86,86,85,71,66
74.5,80,80,85,71,66
75.0,85,89,89,71,66
75.5,89,86,86,71,66
76.0,79,83,86,71,66
76.5,87,88,83,71,66
77.0,80,85,82,70,65
77.5,77,82,83,71,65
78.0,82,80,85,69,65
78.5,89,83,84,70,65
79.0,91,85,82,70,65
79.5,80,86,83,70,65
80.0,95,86,85,69,65
80.5,86,86,84,70,65
81.0,84,81,80,70,66
81.5,84,85,83,71,65
82.0,84,81,81,71,65
82.5,80,83,83,70,66
83.0,84,82,85,70,66
83.5,79,83,83,70,66
84.0,79,88,80,70,65
84.5,86,86,78,70,65
85.0,81,80,80,70,65
85.5,81,82,82,69,65
86.0,86,82,84,70,65
86.5,82,78,86,69,65
87.0,86,82,82,69,65
87.5,85,85,77,69,65
88.0,85,82,79,69,65
88.5,85,82,80,70,65
89.0,84,81,77,69,65
89.5,81,76,82,69,65
90.0,75,80,78,68,64
90.5,76,80,79,69,64
91.0,84,82,78,68,64
91.5,80,80,77,68,64
92.0,81,80,78,68,64
92.5,78,76,78,68,64
93.0,80,77,79,68,64
93.5,80,81,78,68,64
94.0,81,79,79,68,64
94.5,79,79,74,68,63
95.0,80,77,74,68,64
95.5,83,80,77,67,63
96.0,77,79,75,67,64
96.5,80,79,75,68,63
97.0,80,75,77,67,63
97.5,86,78,78,66,63
98.0,75,79,76,66,63
98.5,73,77,76,68,64
99.0,79,79,76,67,63
99.5,80,79,75,67,63
100.0,76,76,76,67,63
100.5,75,80,76,67,63
101.0,80,79,76,67,63
101.5,87,77,76,66,63
102.0,79,80,76,66,63
102.5,77,79,74,66,63
103.0,83,77,75,66,63
103.5,75,77,74,67,63
104.0,81,75,75,66,63
104.5,77,75,75,66,63
105.0,76,76,75,67,63
105.5,79,77,76,66,63
106.0,75,76,74,66,62
106.5,76,74,72,66,63
107.0,80,76,73,67,63
107.5,85,79,74,66,63
108.0,82,76,74,66,62
108.5,75,77,76,66,63
109.0,77,75,75,66,62
109.5,80,77,73,66,63
110.0,80,73,75,66,63
110.5,82,76,75,67,62
111.0,76,77,75,66,63
111.5,81,73,74,66,62
112.0,80,75,73,66,62
112.5,77,75,75,66,62
113.0,73,76,75,66,63
113.5,71,75,73,66,63
114.0,79,75,75,66,62
114.5,80,77,74,66,62
115.0,75,76,75,66,62
115.5,78,76,73,66,62
116.0,79,75,72,66,62
116.5,77,74,73,65,62
117.0,82,75,72,65,62
117.5,80,73,74,65,61
118.0,80,74,71,65,61
118.5,77,76,72,66,61
119.0,82,75,72,66,61
119.5,79,74,72,66,61
120.0,75,72,72,65,61
120.5,78,76,73,65,61
121.0,79,71,71,65,61
121.5,75,73,72,65,61
122.0,79,73,70,65,60
122.5,76,73,72,64,61
123.0,75,73,71,64,61
123.5,72,73,72,64,61
124.0,76,75,71,65,61
124.5,72,75,70,65,61
125.0,76,76,72,65,61
125.5,74,73,71,65,61
126.0,77,73,71,65,61
126.5,73,72,71,64,61
127.0,79,72,70,64,61
127.5,79,71,71,64,60
128.0,75,73,71,64,60
128.5,75,74,70,64,60
129.0,74,72,71,64,60
129.5,72,72,71,64,60
130.0,75,71,71,64,60
130.5,75,71,70,64,60
131.0,73,72,70,64,60
131.5,72,70,69,63,60
132.0,72,70,70,64,60
132.5,73,70,68,63,59
133.0,72,70,68,63,59
133.5,72,70,69,63,59
134.0,71,70,69,62,59
134.5,73,71,70,62,60
135.0,69,69,68,63,59
135.5,69,69,69,63,59
136.0,71,70,69,62,59
136.5,71,70,69,63,59
137.0,69,70,68,62,59
