time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,61,60,55,38,37
1.0,74,69,64,44,40
1.5,79,72,69,47,42
2.0,87,77,77,50,45
2.5,88,80,78,52,48
3.0,92,83,80,54,49
3.5,83,80,79,54,50
4.0,82,83,82,55,51
4.5,80,73,76,55,51
5.0,65,75,75,54,51
5.5,70,75,76,54,51
6.0,73,74,71,54,51
6.5,80,74,72,53,50
7.0,67,76,74,54,51
7.5,64,74,71,54,51
8.0,67,75,76,54,51
8.5,62,74,72,54,52
9.0,63,74,71,54,52
9.5,69,75,73,54,52
10.0,62,74,72,54,52
10.5,69,72,73,54,52
11.0,77,74,74,54,52
11.5,75,74,75,55,52
12.0,67,74,72,55,52
12.5,79,74,75,55,52
13.0,76,75,72,55,52
13.5,60,75,75,55,53
14.0,73,76,72,55,53
14.5,67,74,73,55,53
15.0,75,76,76,55,53
15.5,62,76,74,55,53
16.0,79,76,77,55,53
16.5,76,76,77,56,53
17.0,79,75,78,56,54
17.5,82,76,72,57,53
18.0,71,78,75,57,53
18.5,75,77,73,57,54
19.0,65,76,76,57,54
19.5,80,76,74,57,54
20.0,73,77,76,57,55
20.5,73,76,77,58,54
21.0,82,79,80,57,55
21.5,72,77,79,59,55
22.0,74,79,77,61,56
22.5,75,77,72,61,57
23.0,80,73,78,62,57
23.5,80,79,73,62,58
24.0,70,80,77,62,58
24.5,79,71,73,62,58
25.0,77,73,73,62,58
25.5,83,74,79,63,59
26.0,87,75,75,63,59
26.5,71,85,76,63,59
27.0,85,74,75,64,59
27.5,81,79,79,63,59
28.0,72,77,77,64,60
28.5,87,86,76,64,59
29.0,89,76,79,64,60
29.5,70,76,78,64,60
30.0,83,79,82,65,60
30.5,78,81,74,64,60
31.0,86,79,78,64,60
31.5,89,82,75,65,60
32.0,87,77,74,65,60
32.5,71,76,82,65,60
33.0,72,82,84,65,61
33.5,86,75,78,65,61
34.0,85,78,82,65,61
34.5,82,82,79,65,61
35.0,79,78,79,66,61
35.5,79,81,75,65,61
36.0,87,82,77,66,61
36.5,86,84,85,65,61
37.0,85,80,78,66,61
37.5,97,79,78,66,61
38.0,86,75,80,66,61
38.5,98,77,81,66,61
39.0,96,80,82,66,62
39.5,80,80,79,67,62
40.0,79,79,77,66,63
40.5,86,80,76,66,62
41.0,77,79,80,66,62
41.5,80,82,79,66,62
42.0,90,77,76,66,62
42.5,76,86,86,67,62
43.0,78,79,79,67,63
43.5,82,85,83,66,63
44.0,76,75,79,67,63
44.5,83,83,85,66,63
45.0,84,79,83,68,63
45.5,86,80,78,67,63
46.0,90,84,82,67,63
46.5,87,81,81,67,63
47.0,91,87,82,68,63
47.5,89,86,81,68,63
48.0,90,84,80,68,63
48.5,95,79,79,68,64
49.0,80,85,87,68,63
49.5,87,77,81,67,63
50.0,83,82,87,68,63
50.5,76,82,84,68,64
51.0,80,83,85,68,64
51.5,79,77,80,68,63
