time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,63,56,57,38,37
1.0,68,65,64,43,40
1.5,65,70,69,47,42
2.0,82,76,74,50,45
2.5,84,77,77,52,47
3.0,84,77,80,53,49
3.5,80,79,76,54,49
4.0,77,79,80,55,50
4.5,79,74,74,54,50
5.0,76,74,73,53,50
5.5,72,75,73,54,50
6.0,69,72,73,53,50
6.5,65,72,75,53,50
7.0,79,73,75,53,50
7.5,58,74,71,53,50
8.0,74,74,74,54,50
8.5,66,74,73,54,51
9.0,72,74,73,54,51
9.5,77,71,74,54,52
10.0,61,75,72,54,51
10.5,65,74,76,54,52
11.0,60,72,75,54,52
11.5,78,74,72,54,52
12.0,68,76,76,55,52
12.5,75,75,72,55,52
13.0,79,74,74,55,52
13.5,70,76,76,55,53
14.0,77,75,74,55,53
14.5,72,76,77,56,53
15.0,82,75,74,55,53
15.5,78,74,76,55,53
16.0,76,75,74,56,53
16.5,79,76,76,56,53
17.0,62,76,77,57,54
17.5,77,74,77,56,53
18.0,70,76,73,56,54
18.5,62,77,76,57,54
19.0,69,76,72,57,54
19.5,76,78,79,58,54
20.0,77,80,80,61,56
20.5,72,76,76,61,56
21.0,82,75,71,62,57
21.5,89,75,75,62,57
22.0,86,72,75,62,58
22.5,78,81,77,62,58
23.0,85,78,76,63,58
23.5,77,83,72,64,59
24.0,81,84,74,63,59
24.5,76,75,77,63,59
25.0,78,76,79,63,59
25.5,75,79,78,64,59
26.0,93,80,76,65,60
26.5,82,86,80,65,60
27.0,85,73,80,65,60
27.5,91,85,78,64,60
28.0,87,85,76,65,60
28.5,76,78,73,65,60
29.0,73,79,80,65,61
29.5,77,76,78,65,61
30.0,87,81,76,64,60
30.5,83,82,78,65,60
31.0,92,79,82,65,60
31.5,76,85,78,65,61
32.0,80,75,78,66,61
32.5,93,82,81,66,61
33.0,83,80,78,66,61
33.5,84,75,74,66,61
34.0,77,76,80,66,62
34.5,87,80,76,65,62
35.0,73,82,76,66,62
35.5,95,79,83,66,61
36.0,82,86,78,66,61
36.5,79,86,75,66,61
37.0,74,79,81,66,62
37.5,73,82,78,66,62
38.0,79,85,84,67,62
38.5,77,82,76,66,62
39.0,88,82,78,66,62
39.5,85,80,83,66,61
40.0,95,76,75,66,61
40.5,89,81,74,66,62
41.0,78,85,82,66,62
41.5,82,84,77,66,62
42.0,74,79,86,66,62
42.5,76,85,83,68,63
43.0,77,76,81,67,63
43.5,81,82,83,66,63
44.0,79,77,83,67,62
44.5,87,84,79,67,63
45.0,78,80,82,68,63
45.5,79,75,80,68,63
46.0,81,83,79,67,63
46.5,83,83,80,68,63
47.0,79,79,82,68,63
47.5,93,85,86,67,63
48.0,83,82,80,68,63
48.5,85,78,80,67,63
49.0,95,79,77,67,63
49.5,83,84,87,68,63
50.0,82,82,82,68,63
50.5,82,83,78,68,63
51.0,75,82,79,68,63
51.5,92,80,85,68,63
52.0,97,83,84,68,63
52.5,74,78,79,68,63
53.0,87,82,84,68,63
53.5,85,82,80,68,64
54.0,85,92,86,68,63
54.5,86,78,86,68,63
55.0,88,82,82,68,64
55.5,84,80,82,68,64
56.0,78,83,83,68,64
56.5,87,80,82,69,64
