time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,64,60,55,44,41
1.0,78,73,69,48,44
1.5,81,75,72,51,47
2.0,83,77,80,54,49
2.5,81,81,80,55,51
3.0,79,82,82,57,52
3.5,73,80,79,58,53
4.0,78,77,78,58,54
4.5,67,75,76,57,54
5.0,69,75,73,57,55
5.5,73,74,75,57,54
6.0,66,72,75,57,54
6.5,70,74,75,57,54
7.0,72,74,71,57,54
7.5,69,72,74,56,54
8.0,73,74,72,57,55
8.5,67,74,75,57,55
9.0,71,75,72,57,55
9.5,70,73,71,57,55
10.0,65,73,69,57,55
10.5,62,71,71,57,55
11.0,77,71,72,57,55
11.5,67,72,68,57,55
12.0,68,70,71,57,55
12.5,62,71,72,57,55
13.0,66,72,70,57,55
13.5,76,75,71,57,55
14.0,65,72,69,57,56
14.5,79,73,72,58,56
15.0,67,72,71,58,55
15.5,68,71,69,57,55
16.0,62,73,69,58,55
16.5,64,71,71,58,56
17.0,63,72,68,58,56
17.5,65,70,69,58,56
18.0,76,72,68,58,55
18.5,67,69,69,57,56
19.0,75,68,67,57,55
19.5,65,71,68,58,55
20.0,62,72,71,58,56
20.5,66,69,68,58,56
21.0,66,69,69,58,56
21.5,67,70,70,58,55
22.0,78,71,69,57,56
22.5,77,73,69,59,56
23.0,75,73,72,61,57
23.5,70,71,72,61,57
24.0,79,70,67,61,57
24.5,72,73,68,61,57
25.0,73,70,67,61,58
25.5,78,75,70,62,58
26.0,69,69,68,62,58
26.5,81,69,69,62,59
27.0,75,71,68,62,59
27.5,75,71,69,62,59
28.0,73,72,68,63,59
28.5,71,71,69,62,59
29.0,73,69,68,62,59
29.5,71,69,70,63,59
30.0,82,72,69,63,59
30.5,72,72,70,64,59
31.0,70,71,70,64,59
31.5,76,69,69,63,59
32.0,71,71,68,63,59
32.5,72,70,68,63,59
33.0,80,72,70,63,59
33.5,77,74,68,63,60
34.0,72,70,69,63,59
34.5,74,71,71,63,59
35.0,74,73,68,64,59
35.5,81,73,70,63,60
36.0,75,73,69,64,59
36.5,79,72,71,63,60
37.0,79,72,70,64,60
37.5,69,69,70,64,60
38.0,75,71,70,64,60
38.5,74,71,70,64,60
39.0,75,73,68,64,60
39.5,77,72,69,64,60
40.0,70,73,69,64,60
40.5,76,69,70,64,60
41.0,70,70,69,64,60
41.5,74,72,69,64,60
42.0,76,72,70,64,60
42.5,72,72,70,64,60
43.0,72,72,70,64,60
43.5,74,73,70,64,60
44.0,71,72,70,64,60
44.5,77,72,70,64,60
45.0,75,72,69,63,60
45.5,70,70,70,63,60
46.0,74,71,69,63,60
46.5,73,70,69,63,60
47.0,69,70,68,63,59
47.5,76,72,70,63,60
48.0,72,70,68,64,60
48.5,72,69,69,63,60
49.0,73,70,69,62,60
49.5,72,70,69,63,59
50.0,69,71,69,63,60
50.5,73,72,69,64,59
51.0,72,70,69,63,59
51.5,73,72,69,63,59
52.0,69,69,69,63,60
52.5,70,69,68,63,60
53.0,71,70,70,62,59
53.5,72,71,68,62,59
54.0,68,68,68,62,59
54.5,70,69,68,62,59
55.0,68,69,69,62,59
55.5,70,70,68,62,59
56.0,71,68,68,62,59
56.5,70,68,68,62,59
57.0,70,69,68,62,59
57.5,70,69,69,62,59
58.0,70,69,68,62,59
58.5,72,70,68,62,59
59.0,70,70,68,62,59
59.5,70,70,70,62,59
60.0,69,69,68,62,59
60.5,69,69,68,62,59
61.0,71,70,69,62,59
61.5,69,70,69,62,59
62.0,70,70,67,62,59
62.5,70,69,69,62,59
63.0,70,70,69,62,59
63.5,71,70,69,62,59
64.0,69,69,69,62,59
64.5,72,69,69,62,59
65.0,69,70,69,62,59
65.5,71,69,68,62,59
66.0,70,70,68,63,59
66.5,70,70,68,63,60
67.0,71,69,68,62,59
67.5,70,69,68,63,60
68.0,71,69,68,63,59
68.5,70,70,69,63,60
69.0,71,70,69,63,60
69.5,70,70,68,63,59
70.0,72,69,69,62,60
70.5,71,70,68,63,60
71.0,71,69,69,63,59
71.5,71,70,68,62,59
72.0,69,69,68,63,60
72.5,71,69,68,63,60
73.0,67,69,67,63,60
73.5,69,67,68,63,59
74.0,67,68,67,62,59
74.5,66,67,67,62,59
75.0,68,67,67,62,59
75.5,68,67,66,62,59
76.0,67,67,67,61,58
76.5,67,67,66,62,59
77.0,66,67,66,61,59
77.5,67,66,66,61,59
78.0,67,66,66,61,58
78.5,66,66,66,61,59
79.0,67,67,66,61,58
79.5,67,66,66,61,59
80.0,65,66,66,61,59
80.5,65,66,65,60,58
81.0,65,65,66,60,58
81.5,65,66,65,60,57
82.0,65,66,65,61,57
82.5,65,65,66,61,57
83.0,65,65,65,59,57
83.5,65,65,65,60,58
84.0,65,65,66,60,57
84.5,65,65,65,60,57
85.0,65,65,65,60,57
85.5,64,65,65,60,58
86.0,65,65,65,59,57
86.5,64,65,65,60,57
87.0,65,66,65,59,57
87.5,64,65,65,59,57
88.0,64,65,65,60,57
88.5,64,65,65,59,57
89.0,64,65,65,59,57
89.5,64,64,65,59,57
90.0,65,65,65,59,57
90.5,65,65,65,59,57
91.0,63,65,64,59,57
91.5,64,65,64,59,57
92.0,63,65,65,59,57
92.5,64,65,65,59,57
93.0,64,64,64,59,57
93.5,65,65,65,59,57
94.0,64,64,65,59,57
94.5,64,64,65,59,56
95.0,64,65,64,59,57
95.5,64,65,64,58,57
96.0,64,64,65,59,56
96.5,64,65,64,59,56
97.0,64,65,64,59,56
97.5,64,64,64,59,56
98.0,64,65,64,58,56
98.5,62,64,64,59,56
99.0,63,64,64,59,56
99.5,63,64,64,58,56
100.0,63,64,64,59,56
100.5,64,65,64,59,56
101.0,63,64,64,59,56
101.5,63,65,64,59,56
102.0,63,64,64,59,56
102.5,63,64,64,59,56
103.0,63,64,64,59,56
103.5,63,64,65,59,57
104.0,65,64,65,59,56
104.5,63,64,65,58,56
105.0,64,64,64,58,56
105.5,63,63,64,59,56
106.0,64,65,64,59,56
106.5,63,65,64,59,57
107.0,63,64,64,59,56
107.5,63,64,64,59,56
108.0,64,64,64,59,57
108.5,63,64,64,59,56
109.0,63,64,64,59,56
109.5,63,65,64,59,57
110.0,64,64,64,59,57
110.5,63,64,64,59,57
111.0,65,64,65,58,56
111.5,63,64,64,58,56
112.0,63,64,64,59,56
112.5,64,64,64,58,56
113.0,63,64,64,59,56
113.5,64,64,64,59,56
114.0,63,64,65,58,57
114.5,64,63,64,59,56
115.0,63,63,64,59,56
115.5,63,63,64,58,56
116.0,62,63,64,58,56
116.5,62,63,63,59,56
117.0,63,63,63,59,56
117.5,63,63,63,59,56
118.0,63,63,63,58,56
118.5,63,63,63,58,56
119.0,63,63,63,58,56
119.5,62,63,63,58,56
120.0,62,62,63,58,56
120.5,62,63,63,58,56
121.0,62,63,63,58,56
121.5,63,63,63,58,56
122.0,63,63,63,59,56
122.5,62,63,63,59,56
123.0,63,63,63,58,56
123.5,63,63,63,58,56
124.0,62,63,63,58,56
124.5,63,63,63,58,56
125.0,63,63,63,59,56
125.5,62,63,63,58,56
126.0,63,63,63,58,56
126.5,63,63,63,58,56
127.0,63,63,63,57,56
127.5,62,63,63,58,56
128.0,63,63,63,58,56
128.5,62,63,63,58,56
129.0,63,63,63,58,56
129.5,62,63,63,58,56
130.0,63,63,63,58,56
130.5,63,63,62,58,56
131.0,62,63,63,58,56
131.5,62,63,63,59,56
132.0,63,63,63,59,56
132.5,62,63,63,58,56
133.0,62,63,63,58,56
133.5,63,63,63,58,56
134.0,62,63,63,58,56
134.5,63,63,63,58,56
135.0,63,63,63,58,56
135.5,63,63,63,59,56
136.0,62,63,63,58,56
136.5,62,63,63,59,56
137.0,62,63,63,59,56
137.5,63,63,63,58,56
138.0,63,63,63,59,56
138.5,62,63,63,58,56
139.0,63,63,63,59,56
139.5,63,63,63,58,56
140.0,63,63,63,58,56
140.5,63,63,63,58,56
141.0,62,63,63,59,56
141.5,63,63,63,59,56
142.0,63,63,63,58,56
142.5,63,63,63,59,56
143.0,63,63,63,59,56
143.5,63,63,63,58,56
144.0,62,63,63,58,56
144.5,62,63,63,58,56
145.0,63,63,63,59,56
145.5,63,63,63,58,56
146.0,63,63,63,58,56
146.5,63,63,63,59,56
147.0,63,63,63,59,56
147.5,62,63,63,58,56
148.0,62,63,64,59,56
148.5,62,63,63,58,56
149.0,62,63,63,59,56
149.5,63,64,63,58,56
150.0,63,63,63,59,56
150.5,63,63,63,58,56
151.0,63,63,63,59,56
151.5,63,63,64,58,56
152.0,63,63,63,58,56
152.5,63,63,63,58,56
153.0,63,63,63,58,56
153.5,63,63,64,58,56
154.0,63,63,63,59,56
154.5,63,63,64,58,56
155.0,63,63,63,58,56
155.5,63,63,63,58,56
156.0,63,63,63,59,56
156.5,63,63,63,59,56
157.0,63,63,63,58,56
157.5,63,63,64,58,56
158.0,63,63,63,58,56
158.5,63,63,63,58,56
159.0,63,63,63,59,56
159.5,63,63,63,58,56
160.0,63,63,63,58,56
160.5,63,63,63,58,56
161.0,63,63,63,58,56
161.5,62,63,63,58,56
162.0,63,63,63,58,56
162.5,63,63,63,58,56
163.0,62,63,63,59,56
163.5,63,63,63,58,56
164.0,63,63,64,58,56
164.5,63,63,63,59,56
165.0,63,63,63,58,56
165.5,63,63,63,58,56
166.0,63,63,63,57,56
166.5,62,63,63,58,56
167.0,62,63,63,58,56
167.5,62,63,63,58,56
168.0,63,63,63,58,56
168.5,63,63,63,58,56
169.0,62,63,63,58,56
169.5,63,62,63,58,56
170.0,63,62,63,58,56
170.5,63,63,63,59,56
