time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,70,62,59,42,41
1.0,79,70,68,48,45
1.5,86,76,73,52,46
2.0,82,80,79,54,49
2.5,79,80,79,56,51
3.0,82,81,81,57,52
3.5,83,82,80,58,53
4.0,82,82,80,58,55
4.5,68,78,78,58,55
5.0,72,76,78,57,55
5.5,79,78,78,58,55
6.0,76,76,76,57,55
6.5,75,78,74,57,55
7.0,71,79,78,57,55
7.5,69,77,75,57,55
8.0,77,79,75,58,55
8.5,63,77,76,58,55
9.0,69,79,76,58,56
9.5,68,79,73,58,55
10.0,69,78,77,58,55
10.5,71,78,75,58,56
11.0,66,79,75,58,56
11.5,70,79,76,59,56
12.0,77,78,74,58,56
12.5,77,78,80,59,57
13.0,72,76,76,59,57
13.5,72,76,74,59,57
14.0,79,75,75,59,57
14.5,72,72,74,59,56
15.0,70,73,72,59,57
15.5,74,74,75,60,57
16.0,67,73,72,60,57
16.5,73,74,73,59,56
17.0,70,73,71,59,57
17.5,63,74,73,59,57
18.0,71,73,72,58,56
18.5,71,72,70,59,56
19.0,64,72,73,59,56
19.5,67,72,73,59,56
20.0,76,74,71,59,57
20.5,71,73,70,59,57
21.0,64,71,71,59,57
21.5,85,76,72,61,57
22.0,75,73,72,62,58
22.5,72,72,70,62,58
23.0,77,75,71,63,58
23.5,71,71,73,63,59
24.0,72,71,72,63,59
24.5,72,71,73,64,59
25.0,75,76,69,64,60
25.5,70,77,72,64,60
26.0,76,73,71,64,60
26.5,83,76,71,64,60
27.0,78,70,72,64,60
27.5,75,74,72,64,60
28.0,72,74,72,64,60
28.5,76,72,71,64,60
29.0,79,74,72,64,60
29.5,79,72,72,64,60
30.0,69,72,72,64,60
30.5,73,73,72,64,60
31.0,83,72,72,65,60
31.5,76,71,70,65,60
32.0,77,73,72,65,61
32.5,80,72,73,64,60
33.0,87,75,71,65,61
33.5,73,77,71,65,61
34.0,76,75,71,65,61
34.5,76,73,73,65,61
35.0,76,75,71,65,61
35.5,78,73,72,65,61
36.0,76,73,71,65,61
36.5,78,76,72,65,61
37.0,82,73,70,65,61
37.5,75,72,71,65,61
38.0,80,74,72,65,61
38.5,76,74,72,65,61
39.0,78,75,72,65,61
39.5,74,74,71,65,61
40.0,80,74,71,65,61
40.5,86,73,70,65,61
41.0,76,76,71,65,61
41.5,76,76,71,66,61
42.0,84,75,71,64,61
42.5,76,73,72,65,61
43.0,78,76,71,65,61
43.5,75,75,72,65,61
44.0,79,73,71,65,61
44.5,80,74,71,65,61
45.0,79,75,73,65,61
45.5,77,73,73,65,61
46.0,76,74,72,65,61
46.5,75,76,73,65,61
47.0,73,73,71,65,62
47.5,79,75,71,65,61
48.0,79,75,72,65,61
48.5,76,73,72,65,61
49.0,78,73,71,65,61
49.5,78,72,71,66,61
50.0,73,73,71,65,61
50.5,77,73,71,65,61
51.0,76,72,71,65,61
51.5,72,73,70,65,61
52.0,72,71,68,64,61
52.5,73,72,71,65,61
53.0,76,72,70,65,61
53.5,75,73,71,65,61
54.0,72,72,72,64,61
54.5,77,72,71,65,61
55.0,77,72,71,65,61
55.5,75,72,71,65,61
56.0,72,72,69,64,60
56.5,73,71,70,64,60
57.0,74,71,69,64,60
57.5,72,71,70,64,60
58.0,73,72,70,64,60
58.5,72,71,69,64,60
59.0,73,72,70,64,60
59.5,70,70,69,64,60
60.0,72,70,70,64,60
60.5,71,73,70,64,60
61.0,72,72,70,64,60
61.5,71,71,70,64,60
62.0,75,72,70,63,60
62.5,72,70,68,64,60
63.0,72,70,68,64,60
63.5,72,70,68,63,60
64.0,70,70,68,63,60
64.5,72,69,68,64,60
65.0,70,69,68,64,60
65.5,69,68,68,63,60
66.0,70,69,68,63,60
66.5,70,70,68,63,60
67.0,71,69,68,64,59
67.5,70,69,68,64,60
68.0,70,69,67,63,60
68.5,70,69,68,63,59
69.0,70,69,68,63,60
69.5,69,67,67,62,59
70.0,67,68,67,62,59
70.5,68,68,67,62,59
71.0,68,67,67,62,59
71.5,68,67,67,62,59
72.0,67,67,67,61,59
72.5,69,67,67,62,59
73.0,67,67,66,61,59
73.5,68,67,67,62,59
74.0,67,67,67,61,58
74.5,69,67,67,61,59
75.0,67,67,66,62,59
75.5,67,66,66,62,58
76.0,66,67,67,61,58
76.5,66,66,66,61,59
77.0,65,66,66,61,58
77.5,64,65,66,61,58
78.0,65,66,66,61,59
78.5,65,65,66,61,58
79.0,65,66,65,60,58
79.5,65,65,66,60,59
80.0,64,66,66,60,58
80.5,65,65,65,59,57
81.0,65,65,65,60,57
81.5,65,66,65,59,57
82.0,65,65,65,59,57
82.5,64,65,65,59,57
83.0,65,65,65,60,57
83.5,64,65,65,60,57
84.0,65,65,65,59,57
84.5,65,65,65,60,57
85.0,65,65,65,59,57
85.5,64,65,65,60,57
86.0,65,65,65,60,57
86.5,65,65,65,59,57
87.0,65,65,65,59,57
87.5,64,65,65,59,57
88.0,63,65,65,59,57
88.5,64,65,65,59,57
89.0,64,65,65,59,57
89.5,65,65,64,59,57
90.0,65,65,64,60,57
90.5,64,64,64,59,57
91.0,64,64,64,59,57
91.5,64,64,64,59,57
92.0,63,63,64,59,57
92.5,64,64,64,59,57
93.0,63,64,64,59,57
93.5,63,63,64,59,57
94.0,63,64,64,59,57
94.5,63,64,64,59,57
95.0,63,64,64,58,56
95.5,63,63,64,58,56
96.0,63,63,63,58,56
96.5,63,63,63,58,56
97.0,63,63,63,58,56
97.5,63,63,63,59,56
98.0,63,63,64,58,56
98.5,63,63,63,59,56
99.0,63,63,63,58,56
99.5,63,63,63,59,56
100.0,62,63,64,58,56
100.5,63,63,63,58,56
101.0,63,62,63,59,56
101.5,63,63,63,58,56
102.0,63,63,63,59,56
102.5,63,63,63,58,56
103.0,63,63,63,59,56
103.5,63,63,63,58,56
104.0,63,63,63,58,56
104.5,63,63,63,59,56
105.0,63,63,63,58,56
105.5,63,63,63,58,56
106.0,63,63,63,58,56
106.5,63,63,63,58,56
107.0,62,63,63,58,56
107.5,63,63,63,58,55
108.0,63,62,63,59,56
108.5,62,63,63,58,56
109.0,63,63,63,58,56
109.5,63,63,63,59,56
110.0,63,63,64,58,56
110.5,62,63,63,58,56
111.0,63,63,63,58,56
111.5,62,63,63,57,56
112.0,63,63,63,58,56
112.5,62,62,62,58,56
113.0,63,62,63,58,56
113.5,63,62,63,58,56
114.0,63,63,63,58,56
114.5,62,63,63,58,56
115.0,63,63,63,58,56
115.5,62,62,63,58,56
116.0,62,63,63,58,56
116.5,62,63,63,58,56
117.0,62,63,63,58,56
117.5,62,63,63,58,56
118.0,62,63,63,58,56
118.5,62,63,63,58,56
119.0,63,63,63,58,56
119.5,63,63,62,58,56
120.0,62,63,63,57,56
120.5,62,63,63,58,56
121.0,63,63,63,58,56
121.5,63,62,63,58,56
122.0,62,63,63,58,56
122.5,63,63,63,58,56
123.0,62,63,63,58,56
123.5,62,63,63,58,56
124.0,63,63,63,58,56
124.5,62,63,63,58,56
125.0,63,63,62,58,56
125.5,62,63,63,58,56
126.0,62,63,62,58,56
126.5,62,63,63,58,56
127.0,63,63,63,58,56
127.5,63,63,63,58,56
128.0,62,63,63,57,56
128.5,62,63,62,58,55
129.0,62,63,62,58,56
129.5,62,63,63,58,56
130.0,63,63,63,58,56
130.5,62,63,63,58,56
131.0,63,63,63,58,56
131.5,62,63,63,58,56
132.0,63,63,63,58,56
132.5,62,63,63,58,56
133.0,62,63,63,58,56
133.5,63,63,63,58,56
134.0,63,63,63,59,56
134.5,62,63,63,58,56
135.0,63,63,62,58,56
135.5,63,63,62,58,56
136.0,63,63,63,58,56
136.5,62,63,63,58,56
137.0,62,63,63,59,56
137.5,63,63,63,58,56
138.0,62,63,63,58,56
138.5,63,63,63,58,56
139.0,62,63,63,58,56
139.5,62,63,63,58,56
140.0,63,63,63,58,56
140.5,62,63,63,59,56
141.0,63,63,63,58,56
141.5,63,63,63,58,56
142.0,63,63,63,58,56
142.5,62,63,63,58,56
143.0,63,63,63,58,56
143.5,63,63,63,58,56
144.0,63,63,63,58,56
144.5,62,63,63,58,56
145.0,63,62,63,58,55
145.5,63,63,63,58,56
146.0,62,63,63,58,56
146.5,62,63,63,58,56
147.0,63,63,63,58,56
147.5,63,63,63,59,56
148.0,63,63,63,59,56
148.5,63,63,63,58,56
149.0,63,63,63,58,56
149.5,63,63,63,58,56
150.0,63,63,63,58,56
150.5,63,63,63,58,56
151.0,63,63,63,58,56
151.5,63,63,63,58,56
152.0,63,63,64,58,56
152.5,63,63,63,58,56
153.0,63,63,63,58,56
153.5,62,63,63,58,56
154.0,63,63,63,58,56
154.5,63,63,63,58,56
155.0,63,63,63,59,56
155.5,63,63,63,58,56
156.0,63,63,63,59,56
156.5,63,63,63,58,56
157.0,63,63,63,58,56
157.5,63,63,64,58,56
158.0,63,63,63,58,56
158.5,63,63,63,58,56
159.0,63,63,63,58,56
159.5,63,63,63,58,56
160.0,63,62,63,58,56
160.5,62,63,63,58,56
161.0,62,62,62,58,56
161.5,62,62,62,58,56
162.0,62,62,62,58,56
162.5,62,62,62,58,56
163.0,63,62,62,58,56
163.5,62,62,62,58,56
164.0,62,62,62,58,56
164.5,62,62,62,57,56
165.0,62,62,62,58,56
165.5,63,62,61,58,56
166.0,62,62,62,58,56
166.5,62,62,62,58,55
167.0,62,62,61,58,56
167.5,62,62,61,57,56
168.0,62,62,62,57,55
168.5,62,62,61,57,55
169.0,62,61,61,57,55
169.5,61,62,61,57,56
170.0,61,62,61,57,55
170.5,61,61,61,58,55
171.0,61,62,61,58,55
171.5,62,62,61,58,55
172.0,61,62,61,57,55
172.5,61,61,61,58,55
173.0,61,61,61,57,55
173.5,61,61,61,57,55
174.0,61,62,61,57,55
174.5,61,60,61,57,55
175.0,61,61,61,57,55
175.5,61,61,61,57,55
176.0,60,61,60,57,55
176.5,61,61,61,57,55
177.0,60,60,60,57,55
177.5,60,60,60,57,55
178.0,61,60,60,57,55
178.5,60,60,60,57,55
179.0,60,61,60,57,55
179.5,60,60,60,57,55
180.0,60,60,60,57,55
180.5,60,60,60,57,55
181.0,61,60,60,57,55
181.5,60,60,60,57,55
182.0,60,60,60,57,54
182.5,60,61,60,57,55
183.0,60,60,60,57,55
183.5,60,60,60,56,55
184.0,60,60,60,57,55
184.5,61,60,60,56,55
185.0,60,60,60,57,55
185.5,60,60,60,56,55
186.0,61,60,60,57,55
186.5,60,60,60,56,55
187.0,59,60,60,57,55
187.5,60,60,60,57,54
188.0,60,60,60,57,55
188.5,60,60,60,56,54
189.0,60,60,61,56,54
189.5,60,60,60,56,54
190.0,60,60,60,57,55
190.5,60,60,60,56,55
191.0,60,60,60,57,55
191.5,60,60,60,56,55
192.0,60,60,60,56,54
192.5,60,60,60,56,55
193.0,60,60,60,57,54
193.5,61,60,60,57,55
194.0,60,61,60,57,54
194.5,60,60,60,56,54
195.0,60,60,60,56,54
195.5,60,60,60,56,54
196.0,59,60,60,56,54
196.5,60,60,60,56,54
197.0,61,60,60,56,54
197.5,60,60,60,57,54
198.0,60,60,60,56,55
198.5,60,60,60,56,54
199.0,60,60,60,56,54
