time (s),BIG,MID,LITTLE,G3D,soc_therm
0.5,66,57,56,44,41
1.0,75,67,70,47,44
1.5,74,74,74,51,47
2.0,85,79,78,53,49
2.5,80,82,80,55,51
3.0,78,80,81,57,52
3.5,79,80,81,58,53
4.0,75,80,80,58,54
4.5,68,78,78,58,55
5.0,70,79,76,57,55
5.5,82,79,78,57,55
6.0,63,79,78,57,55
6.5,70,75,76,57,55
7.0,66,79,73,57,55
7.5,70,78,76,57,55
8.0,79,78,77,58,55
8.5,69,77,78,58,56
9.0,73,80,76,58,56
9.5,70,79,74,58,56
10.0,72,77,79,58,56
10.5,75,79,76,58,56
11.0,70,78,75,58,56
11.5,70,75,73,59,56
12.0,75,77,75,58,56
12.5,73,76,76,58,56
13.0,75,76,72,58,56
13.5,72,75,75,59,56
14.0,70,76,75,58,56
14.5,67,77,75,58,56
15.0,68,76,72,59,56
15.5,66,76,75,58,57
16.0,77,77,74,59,56
16.5,63,76,76,58,56
17.0,74,75,75,59,56
17.5,73,77,73,59,57
18.0,71,73,73,59,57
18.5,75,72,70,59,57
19.0,72,72,71,59,57
19.5,65,69,69,58,56
20.0,68,70,69,58,56
20.5,69,71,71,59,56
21.0,72,70,69,58,56
21.5,67,71,68,58,56
22.0,77,70,71,58,56
22.5,78,75,72,61,57
23.0,75,73,71,62,58
23.5,72,73,72,63,59
24.0,75,72,70,62,59
24.5,81,70,71,64,59
25.0,79,76,71,63,59
25.5,79,73,71,64,60
26.0,76,73,71,64,60
26.5,75,73,71,64,60
27.0,72,76,73,64,60
27.5,73,70,70,64,60
28.0,75,72,71,64,60
28.5,70,71,71,64,60
29.0,72,70,72,64,60
29.5,74,73,73,65,60
30.0,75,76,71,64,61
30.5,83,78,70,64,60
31.0,75,73,69,64,60
31.5,73,75,72,65,60
32.0,71,76,72,65,61
32.5,79,74,72,65,61
33.0,78,77,72,64,61
33.5,72,70,73,65,61
34.0,81,77,72,65,61
34.5,82,73,72,65,61
35.0,77,78,74,65,61
35.5,76,76,72,65,61
36.0,73,75,72,65,61
36.5,80,77,73,65,61
37.0,78,72,73,65,61
37.5,72,74,73,65,61
38.0,76,76,72,65,61
38.5,76,73,74,66,61
39.0,75,76,73,65,62
39.5,73,72,72,66,61
40.0,75,75,72,65,61
40.5,79,72,72,65,61
41.0,75,74,72,65,61
41.5,75,73,72,64,61
42.0,77,72,72,65,61
42.5,80,75,71,64,61
43.0,76,73,72,65,61
43.5,78,75,72,65,61
44.0,71,73,70,65,61
44.5,76,74,70,65,61
45.0,79,73,72,65,61
45.5,77,73,72,65,61
46.0,77,73,71,65,61
46.5,77,73,72,65,61
47.0,75,72,71,65,61
47.5,75,73,71,64,61
48.0,76,73,71,65,61
48.5,71,72,71,65,61
49.0,77,72,71,65,61
49.5,72,72,71,65,61
50.0,71,73,71,65,61
50.5,75,71,71,64,61
51.0,76,74,70,65,61
51.5,76,72,71,65,61
52.0,76,73,70,65,61
52.5,73,70,71,64,61
53.0,74,73,70,64,60
53.5,71,72,70,64,61
54.0,75,71,70,64,61
54.5,72,71,70,64,61
55.0,74,72,69,64,60
55.5,73,70,71,64,60
56.0,72,71,70,63,60
56.5,72,71,70,64,60
57.0,71,70,70,63,60
57.5,73,71,70,64,60
58.0,71,70,70,64,60
58.5,74,71,70,64,60
59.0,74,69,69,63,60
59.5,73,69,69,63,60
60.0,70,69,69,64,60
60.5,72,70,68,63,60
61.0,72,71,68,63,60
61.5,70,70,68,63,60
62.0,73,70,69,63,60
62.5,71,70,68,64,60
63.0,72,69,68,62,60
63.5,70,70,69,63,60
64.0,71,70,67,63,60
64.5,72,70,68,63,60
65.0,68,70,69,62,60
65.5,70,70,68,63,60
66.0,72,69,67,62,59
66.5,70,69,68,62,59
67.0,71,69,68,63,60
67.5,68,69,67,63,60
68.0,69,69,68,63,60
68.5,72,69,68,64,60
69.0,70,70,67,62,59
69.5,67,67,68,62,59
70.0,69,69,67,63,60
70.5,68,69,68,62,59
71.0,70,68,68,62,59
71.5,71,69,68,62,60
72.0,70,69,67,63,60
72.5,69,69,67,63,59
73.0,70,69,67,63,59
73.5,69,68,68,63,60
74.0,68,67,67,62,59
